title,GDA Quiz 3 (Summer 2016),gda,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
At what age does the female growth spurt reach its peak?,10 years old,12 years old,14 years old,16 years old,,B,
Which of the following changes in the profile is NOT seen in the adolescent years?,Increased prominence of the the brow area,Increased prominence of the nose,Increased prominence of the chin,Increased prominence of the lips,Face becomes more concave,D,
Which of the following is true regarding caries management in the adolescent patient?,Topical fluoride should only be placed on patients under the age of 12,Adolescent patients do not need to be educated in oral hygiene,Acidic drinks can be consumed reguarly because all permanent teeth have erupted,"Sealants can be placed on patients throughout adolescence, if the need arises due to poor oral hygiene and increaed caries risk",,D,
Which of the following is NOT a growth site of the mandible?,Symphysis menti,Condylar cartilages,Alveolar ridges,Zygomatic arch,,D,
Which of the following is NOT true regarding occlusal management of the adolescent patient?,Malocclusion should be recognized early and appropriate specialist referrals made,Patients should be evaluated for symptoms related to TMJD including a bruxing (grinding) habit,If third molars are not erupted then they do not need to be evaluated for extraction,Patients with congenitally missing teeth should have long-term treatment plan in place for replacement of teeth,,C,
What part of the brain is responsible for stimulating pituitary cells to release gonadotropins?,Hypothalamus,Thalamus,Medulla Oblongata,Pons,Cerebellum,A,
Which part of the body experiences the most rapid growth in size during adolescence?,Head,Trunk,Legs,Upper limbs,,C,
What kind of growth is displayed in the figure?,Sutural growth,Appositional growth,Intramembranous growth,Endochondral growth,,B,images/gda-quiz-summer-2016-3/fig8.jpeg
Which skeletal deformity is shown in the photo?,Bilateral prognathism,Mandibular prognathism,Maxillary retrognathism,Mandibular retrognathism,Bilateral retrognathism,D,images/gda-quiz-summer-2016-3/fig9.jpeg
What part of the mandible is the arrow pointing to in the figure?,Ramus,Symphysis,Coronoid process,Condyle,Angle,C,images/gda-quiz-summer-2016-3/fig10.jpeg
"During the growth spurt, the peak growth for girls is how many centimeters per year?",8cm,9cm,10cm,12cm,,B,
Please choose the answer choice that gives the correct cranial nerve with its name and function.,CN I Olfactory; Sense of sight,CN III Trochlear; Downward and Inward Eye Movement,CN X Vagus; Visceral Muscle Movement,CN VIII Vestibulocochlear; Taste on the posterior tongue,CN XII Hypoglossal; Facial Expression,C,
