title,Periodontics I Final Exam (Spring 2017),perio1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
When documenting a new patient's first visit what information do you ask about after documenting the patient's identifying information?,The patient's Medical History,The patient's Social History,The patient's Chief Complaint,The patient's Past Dental History,,C,
Which of the following is not true regarding Gingivitis?,Gingivitis always precedes Periodontitis,Gingivitis may remain stable for many years but will always progress to Periodontitis,Bacterial plaque will induce overt gingivitis,The degree of host response will determine whether or not chronic periodontitis will develop,,B,
When describing Periodontitis the extent and severity are described as follows:,Extent is Localized when >30% of sites are involved,Severity is moderate when there is >5mm of clinical attachment loss,Severity is slight when there is 50% bone loss,Severity is moderate when there is 30% bone loss,,D,
"According to Lang 1999, which of the following are common features of Aggressive Periodontitis",There is familial aggregation of cases,There is slow attachment loss and bone destruction,There is a contributory medical history,All of the above,,A,
Which of the following is a secondary feature of Aggressive Periodontitis,The progression of attachment loss is never self-arresting,There may be elevated production of prostaglandin E2 and interleukin-1B in response to bacterial endotoxin,Phagocytes are normal,The amount of plaque buildup is consistent with the severity of tissue destruction,,B,
What is true regarding Generalized Aggressive Periodontitis?,There is a good serum antibody response to infecting agents,It is when there is only attachment loss around the first molars and incisor teeth,It usually affects people under the age of 30 years old,The nature of the attachment loss is in a linear fashion,,C,
Which is true regarding the Theories of Periodontal Disease Progression?,"The Random burst theory is when the activity is random, there can be multiple bursts, and the attachment loss varies with the site.",The Continuous Paradigm theory is when all sites show progressive loss of attachment over time.,The Asynchronous Multiple Burst theory is when several sites exhibit bursts over a finite period and then there is no longer any attachment loss.,None of the above,,A,
What are features of the periodontal probe?,It is held with a modified pen grasp,"It can be flat, oval, or round",It is the only reliable method to detect periodontal pockets,All of the above,,D,
What is true when measuring periodontal attachment levels?,It is a measure in millimeters from the gingival margin to the deepest point reached by the probe,The attachment level will serve as a baseline,It is affected by the position of the gingival margin,None of the above,,B,
When probing around a tooth which is the least important factor for obtaining an accurate measurement?,The marking system on the probe,The angulation of the probe when probing,The diameter of the probe,The force used when probing,,A,
When a tooth is depressible in its socket what Miller's Classification is it?,Class I,Class II,Class III,Class IV,,C,
When a molar tooth has a horizontal component of attachment loss into the furcation areas and there is no communication with each other what Glickman Classification is it?,Grade I,Grade II,Grade III,Grade IV,,B,
With respect to types of probes what is unique about the UNC (University of North Carolina) probe?,"It has 3,6, and 8mm markings",It has markings that are in 3mm increments,"It is 15mm long with colored 5, 10, and 15mm markings","It has “Williams” markings (1,2,3,5,7,8,9,10mm)",,C,
What is special about the Naber's Probe?,It is used to measure recession,It is used to detect furcation grade,It is a Marquis color-coded,b. and c.,,B,
What is a disadvantage of Oral Irrigation Devices?,They can remove debris around orthodontic appliances,They can be used to deliver chemotherapeutic liquids,They may disrupt plaque,Transient bacteremia has been found following irrigation,,D,
"For the Silness and Loe Plaque Index what score would there be when there is moderate plaque accumulation visible to the naked eye within the crevice, on the gingival margin and/or adjacent to the tooth surface?",0,1,2,3,,C,
Which of the following is part of the Ultrasonic Scaling technique?,"Using slow, overlapping strokes","Using a modified pen grasp, finger rests, and fulcrum",Leaving the tip in one place for a long time to remove calculus,None of the above,,B,
What are the benefits of Hand Scaling over Sonic/Ultrasonic Scaling?,Area specific designs of scalers provide greater access,There is decreased tactile sensitivity,Operator has greater control,a. and c.,,D,
Which of the following statements is true?,Gingivitis is when there is gingival inflammation with loss of connective tissue attachment,Periodontitis is when there is gingival inflammation and there is probing depth greater than 4mm,"Plaque induced periodontal diseases is traditionally divided into two categories, Gingivitis and Periodontitis",None of the above,,C,
When using a periodontal probe which of the following is correct?,The probe shaft should be close to the contact point to be more accurate,The probe should be perpendicular to the vertical axis of the tooth,To detect an interdental crater the probe only needs to be inserted obliquely from the buccal aspect of the tooth,All of the above,,A,
What is a feature of the Automatic Constant Force Probe?,The handpiece is not sterilizable,There is a digital readout,It is precise up to 0.5mm,The force used is based on whether the gingiva is inflamed,,B,
The periodontal probe can be used to determine the following?,The thickness of the soft tissue,The width of the gingiva,The relationship of the pocket depth to the mucogingival junction,All of the above,,D,
The “Sonicare” Powered Toothbrush has which of the following features?,"The bristles vibrate at 10,000 strokes per minute",The fluid dynamic forces can disrupt plaque bacteria up to 4mm beyond the end of the bristles,Plaque and debris are disrupted by mechanical means and as a result of dynamic fluid activity,b. and c.,,D,
How does the “Interclean” Toothbrush work?,The tip is placed just beneath the contact point of the tooth,A rotating filament emerges from the tip and enters the interdental space,The filament rotates about 3500 times per minute,None of the above,,B,
The following conditions are an indication for the use of Interdental Aids:,The presence of orthodontic appliances,The presence of fixed prosthesis,Large interdental spaces,All of the above,,D,
After Scaling and Root Planing how long does it take for re-epithelialization to take place?,1-2 weeks,4-6 weeks,9-12 months,None of the above,,A,
Which of the following is true regarding calculus?,Calculus has no effect on plaque removal,Calculus is the direct cause of Gingivitis,Calculus retains plaque more readily and provides a greater surface area for plaque accumulation,Calculus does not act as a mechanical irritant against the sulcular lining.,,C,
What is true regarding Endotoxin?,Endotoxin is a lipopolysaccharide complex that is found in many Gram (+) bacteria,Endotoxin can penetrate up to 12 microns beneath the cementum surface,"Endotoxin attracts inflammatory cells, activates the complement system, and stimulates bone resorption",b. and c.,"a., b., and c.",D,
What is true regarding Cementum?,Coronal Cementum has a width of 500 microns,Cementum is thinnest near the CEJ and increases in thickness apically,The severity of bone loss has no effect on the number of strokes needed to remove cervical cementum,All of the above,,B,
According to the 1982 Lindhe article “Critical Probing Depth” what is the probing depth below which there is attachment loss for Modified Widman surgery?,4.2mm,2.9mm,5.5mm,None of the above,,A,
Which of the following is true regarding factors that limit the effectiveness of non-surgical therapy?,The skill of the therapist does not limit the effectiveness,Disease activity of the patient does not limit the effectiveness,The type of instruments used limits the effectiveness,Good home care limits the effectiveness,,C,
What factors are responsible for reduced pocket depths after Scaling and Root Planing?,Loss of attachment level,Recession of the gingiva,Inability to probe a pocket due to close adaptation of gingiva to tooth,b and c,"a, b, and c",D,
According to Proye (1982) what is true regarding pocket depth following one visit of scaling and root planning?,There is an average of 0.84mm of recession,There is an average of 0.52mm of attachment gain,Recession was noticed after one week and gain in attachment after three weeks,All of the above,,D,
Which of the following is true regarding calculus removal prior to surgery?,There is no effect on the amount of time the flap needs to be open,There is a decrease in inflammation which changes the quality of the tissue which makes it easier to incise and reflect,There is a decrease in the band of attached gingiva,There is no change in the need for surgery,,B,
What is true regarding shank flexibility hand scalers/curettes?,A flexible shank is used for detection of subgingival calculus,A moderately flexible shank is used for heavy calculus,A universal curette is an example of an instrument with a rigid shank,All of the above,,A,
Regarding patient/operator position which of the following is true?,When working on the mandible the patient is usually supine,"For a left-handed operator, the position is usually between ten and two o'clock",When working on the maxilla the back of the chair is raised approximately 30 to 40 degrees,The operator should have feet flat on the floor and a straight back,,D,
What is true regarding “Secondary Intention” with respect to Wound Healing?,An example of “Secondary Intention” is a paper cut.,The wound must be cleaned first and observed for several days to ensure that there is no infection before being surgically treated,It is when the wound edges cannot be approximated,All of the above,,C,
Normal wound healing consists of three phases. What is true regarding these phases?,The proliferation phase can be from 4-24 days,The inflammation phase can last up to two weeks,Wound contraction begins during the inflammation phase,The remodeling (maturation) phase can be from 14 days to 2 years,,A,
Which of the following definitions is true?,New Attachment is when you have the reunion of epithelium and connective tissue with root surfaces that occurs after an incision or injury,Reattachment is the reunion of epithelium and connective tissue to a root surface and bone,Regeneration is the union of connective tissue or epithelium with a root surface that has been deprived of its original attachment,All of the above,,B,
What factors affect wound healing?,Systemic Conditions,Vascularity,Stress,All of the above,,D,
