title,TMD & Orofacial Pain Midterm Exam (Spring 2019),tmd,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Temporomandibular disorders are part of a broader category of pain conditionscalled:,Neuropathic pain,Fibromyalgia,Orofacial Pain,Atypical pain,,,C,
The term Temporomandibular Disorders refers to:,Temporomandibular joint problems only.,All head and neck pain.,Generalized symptoms of facial pain,"Problems involving the masticatory muscles, the temporomandibular joint or both.",,,D,
A scalloped border on the tongue may be an indication of:,Bruxing habit,Fungal infection,Genetic variation,Glossopharyngeal neuralgia,,,A,
Development of an anterior open bite can result from,Degeneration of the condyle,Enlargement of the condyle,Osteochondroma,TM joint effusion,,,A,
Development of a posterior open bite can result from:,Degeneration of the condyle,Enlargement of the condyle,Bruxing habit,Failure of the condyle to develop,,,B,
Attached to every toothache is:,A primordial sac,A phantom pain,A ghost pain,A person experiencing pain,,,D,
"TM disorders are not distributed equally in the population. Of the choices below, which group has the highest prevalence rate?",woman,men,Children under 15,people over 75,,,A,
A clicking TM joint indicates:,A muscle spasm,A vascular problem,An unstable disc,Condylar displacement,,,C,
Disc displacement in the TMJ with reduction and without reduction can result in:,Jaw locking,Jaw clicking,Jaw pain,All of the above,,,D,
Crepitus in the TMJ sounds like:,A grating sound,A clicking sound,A pulsating sound,A hissing sound,,,A,
Crepitus sound in a joint may indicate:,Synovial bubbling,Increased neural firing,Muscle fasciculation,Degenerative joint disease,,,D,
The most definitive way to image the disc in the TMJ is:,Panorex x-ray,MRI,Cone beam CT,Transcranial x-ray,,,B,
A change in someone' s bite may be due to,Rheumatoid arthritis of the TMJ,Osteo Arthritis of the TMJ,A muscle spasm,All of the above,,,D,
Jaw muscle pain may be due to:,Muscle overuse,Muscle guarding related to TMJ disturbance,Trauma,All of the above,,,D,
Referred pain is:,Perceived at a site distant from the source of the pain.,A pain the patient refers to in describing their pain.,A pain several different patients have referred to.,Pains in several different organs,,,A,
TM joint problems are characterized by:,Well localized pain,A change in the range of jaw motion,Positive findings on MRI,All of the above,,,D,
"If a patient has a disc anteriorly displaced without reduction in the right TM joint, then the patient will deviate toward the ______ [right /left] when opening their mouth and have an inability to move into _____[right/left] lateral excursion. Choices:","right, right","left, left","right, left","left, right",,,C,
Severe rheumatoid arthritis of the TM joint is most likely to result in:,Over contracted jaw muscles,Laxity of ligaments,Anterior open bite,Degeneration of jaw muscles,,,C,
