title,Pain & Anxiety Control Exam 2 (Spring 2020),painanx,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,option_j,correct,image
There are distinct levels of sedation.,True,False,,,,,,,,,B,
Titration is possible in which of the following methods? (select all that may apply),Oral,Intravenous,Rectal,Inhalational,Sublingual,,,,,,D,
You are the anesthesiologist for a pediatric dental case.  Your patient is a non-cooperative 3 year old and you decide that you will give an intranasal dose of midazolam for sedation.  Administering midazolam via this route is an example of parenteral drug administration.,True,False,,,,,,,,,A,
"If you are an anesthesiologist providing anesthesia care to your patients, the route with the most predictability is:",Intramuscular,Intranasal,Intravenous,Sublingual,,,,,,,C,
Statement 1: The benefit of having an intravenous line in place is the ability to reverse the action of any drug that is administered. Statement 2: Another benefit of an intravenous line is being able to provide emergency intravenous medications.,Both statements are true,Statement 1 is true. Statement 2 is false.,Statement 1 is false.  Statement 2 is true.,Both statements are false.,,,,,,,C,
Statement 1: A blood pressure cuff should be placed on the same side as the pulse oximeter. Statement 2: A blood pressure cuff will have a higher than normal reading if placed over a thick shirt or sweater.,Both statements are true,Statement 1 is true. Statement 2 is false.,Statement 1 is false.  Statement 2 is true.,Both statements are false.,,,,,,,C,
What are the 3 most common EKG leads: (select 3),RA,LA,LL,RL,V1,V2,V3,V4,V5,V6,C,
"When patients are under deep sedation or general anesthesia, which effects will you typically observe first?  Respiratory effects or cardiovascular effects?",Respiratory,Cardiovascular,,,,,,,,,A,
Which of the following actions would you take in the management of a laryngospasm?,"Suction airway, positive pressure ventilation, 100% oxygen, deepen anesthetic, administer neuromuscular blocking agent","Deepen anesthetic, positive pressure ventilation, 100% oxygen, administer neuromuscular blocking agent","Suction airway, positive pressure ventilation, 100% oxygen, deepen anesthetic","Suction airway, positive pressure ventilation, administer neuromuscular blocking agent, deepen anesthetic",,,,,,,A,
Capnometry:,Measures inspiratory carbon dioxide,Measures expiratory carbon dioxide,Is an instantaneous measurement of the patient’s breathing pattern,Is shown as a waveform on the patient monitor,All of the answer choices,,,,,,E,
Statement 1: Patient movement can affect the accuracy of pulse oximetry readings.  Statement 2: Certain nail polish colors can affect the accuracy of pulse oximetry readings.,Both statements are true,Statement 1 is true. Statement 2 is false.,Statement 1 is false.  Statement 2 is true.,Both statements are false.,,,,,,,A,
"When recording vital signs on an anesthesia record, the downward facing arrow represents:",Heart Rate,Systolic Blood Pressure,Diastolic Blood Pressure,Temperature,End Tidal CO2,,,,,,B,
What ASA classification is a 27 year old female patient who is pregnant and without any other known medical conditions?,ASA 1,ASA 2,ASA 3,ASA 4,,,,,,,B,
The American Medical Association and the American Dental Association credits Dr. William Morton with the discovery and introduction of anesthesia in the United States.,True,False,,,,,,,,,B,
"According to Guedel’s stages of anesthesia, which of the following stages are possible to achieve with nitrous oxide?  (select all that may apply)",Stage I,Stage II,Stage III,Stage IV,,,,,,,B,
Which of the following is (are) true regarding nitrous oxide?,"It is a colorless, irritating gas with a pleasant odor and taste",It is insoluble in blood,It cannot solely be used as a general anesthetic agent,It does not provide good analgesia,All of the answer choices are true,"“It is a colorless, irritating gas with a pleasant odor and taste” AND “It is insoluble in bloo”d are true","“It is a colorless, irritating gas with a pleasant odor and taste” AND “It cannot solely be used as a general anesthetic agent” are true",“It is insoluble in blood” AND “It does not provide good analgesia” are true,,,C,
What color is a nitrous oxide tank?,Black,Blue,Green,Yellow,,,,,,,B,
Statement 1: Asthma is not a contraindication for the use of nitrous oxide. Statement 2: Anxiety can exacerbate an asthma attack therefore nitrous oxide sedation is beneficial for these patients.,Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,C,
Which of the following is (are) true regarding nitrous oxide?,Nausea and vomiting is the most common adverse effect,Fasting is required prior to patients undergoing nitrous oxide sedation,All patients will experience tingling in their fingertips and/or toes,Nitrous oxide works well as a sedative for all patients,,,,,,,A,
"Assuming you’re an anesthesiologist in an Operating Room procedure and there is no fail safe mechanism installed in your anesthesia machine, what is the absolute minimum level of oxygen a patient must receive when delivering nitrous oxide?",21%,30%,40%,50%,,,,,,,A,
What is the MAC (minimum alveolar concentration) of nitrous oxide?,104%,6.0%,2.0%,1.71%,,,,,,,A,
What is the recommended gas combination in order to achieve conscious sedation with nitrous oxide?,50% oxygen; 50% nitrous oxide,60% oxygen; 40% nitrous oxide,40% oxygen; 60% nitrous oxide,30% oxygen; 70% nitrous oxide,varies depending on individual patient response,,,,,,E,
Nitrous oxide should be avoided in the following situations:,Pneumothorax,Middle ear disturbance,Gastrointestinal obstructions,All of the answer choices,,,,,,,D,
Statement 1: Nitrous oxide has high blood solubility.  Statement 2: This high blood solubility allows for a shorter onset of action of the inhalational agent.,Statement 1 is true. Statement 2 is false,Statement 1 is false.  Statement 2 is true,Both statements are true,Both statements are false,,,,,,,D,
Which of the following is true regarding nitrous oxide exposure to health care providers?,The incidence of spontaneous abortion is increased,Neuropathies resembling vitamin B6 deficiency can arise,Short term exposure produces bone marrow suppression,All of the above are true,,,,,,,A,
"In premature infants requiring supportive oxygen therapy, the delivery of high concentrations of oxygen can have long term deleterious effects.",True,False,,,,,,,,,A,
What sized oxygen cylinder is typically kept on hand with portable emergency carts in dental offices?,E,B,C,D,,,,,,,A,
The associated image is an example of a safety system.  Which safety system(s) does this image represent?,Pin Index Safety System,Diameter Index Safety System,Color Coding,All of the answer choices,“Pin Index Safety System” AND “Diameter Index Safety System”,“Diameter Index Safety System” AND “Color Coding”,Pin Index Safety System” AND “Color Coding”,,,,G,images/painanx-exam2-spring-2020/fig28.jpeg
A full E tank of oxygen contains how many liters of O2?,660,1900,1600,750,,,,,,,A,
The advantage of many intravenous medications given during sedation is the retrograde amnesia they produce.,True,False,,,,,,,,,B,
Which of the following medications can be administered to control secretions?,Atropine,Scopolamine,Glycopyrrolate,All of the answer choices,,,,,,,D,
"You are the dentist anesthesiologist for a full mouth rehabilitation case on a 4 yo F patient. The patient has no significant past medical history. It is 8 am, you have completed your pre-op assessment of the patient, verified NPO status and obtained consents. As you're bringing the patient back to the treatment room, dad tells you “I forgot to mention, my daughter had a cup of milk at 5 am.” What do you do?","Proceed with the case, as this is within NPO guidelines of fasting","Cancel the case and re schedule, reinforcing NPO guidelines",Delay the case for three hours in order to be within NPO guidelines of fasting,None of the answer choices,,,,,,,C,
Which of the following are benzodiazepines?,Midazolam,Diazepam,Lorazepam,Flumazenil,All of the answer choices,“Midazolam” AND “Diazepam”,"“Midazolam”, “Diazepam” AND “Lorazepam”",,,,G,
You are an anesthesiologist and you have administered moderate IV sedation for a patient to undergo dental treatment in the office.  You have administered propofol and midazolam.  The procedure is completed and the patient has been in recovery for the past 45 minutes.  You notice that their respirations are still severely depressed and they continue to require supplemental O2 therapy to support them.  You decide to administer naloxone.  Do you expect to see an improvement in respiratory depression after administration of this medication?,Yes,No,,,,,,,,,B,
Diazepam has several ingredients.  Which ingredient contributes to the sensation of burning on injection?,Ethyl alcohol,Sodium benzoate,Benzoic acid,Propylene glycol,,,,,,,D,
Diazepam may have a longer duration of action than midazolam.  Which of the following is a reason for diazepam’s long duration of action?,Active metabolites,More potent,More blood soluble,Less blood soluble,,,,,,,A,
