title,Fixed Prosthodontics Midterm Exam (Fall 2023),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following are Intracoronal restorations:,Crown,Inlay,Laminate,Onlay,a and c,b and d,F,
"When fabricating provisionals for # 8 and # 9, the facial height of contour is located in the:",Incisal 1/3,Middle 1/3,Cervical 1/3,None of the above,,,C,
"Assuming a cusp-marginal ridge occlusal scheme, the mesiolingual cusp of the maxillary second molar will occlude with:",Central fossa of the first mandibular premolar,Mesial marginal ridge of the second mandibular molar,Central fossa of the mandibular first molar,None of the above,,,C,
"When treatment planning for a fixed prosthesis, which of the following can NOT be obtained from diagnostic casts:",The length of the clinical crown,The inclination of the abutment teeth,Mesial-distal drifting,Extruded teeth,None of the above,,E,
Protrusive movements of the mandible require only translation of the condyles:,True,False,,,,,B,
The height of contour of a provisional is the point of greatest concavity of that tooth:,True,False,,,,,B,
"When preparing a crown with short axial walls, the taper of the axial walls should be:",Average taper,Maximal for proper convenience form,Minimal to assure maximum retention,None of the above,,,C,
You recently fabricated a provisional for teeth # 3 and # 14.these teeth are wider m-d than b-l:,True,False,,,,,B,
"Periodontal health of the gingival tissues is a major concern when treatment planning a fixed prosthesis. For optimal periodontal health, the restoration finish line (margin) should ideally be placed:",Terminated at free gingival margin,As far subgingivally as possible,Supragingival whenever possible,None of the above,,,C,
"When using your reduction matrix to measure the amount of axial reduction, you would measure only at the cervical margin:",True,False,,,,,B,
Bis-Acryl sets via a free radical polymerization reaction:,True,False,,,,,B,
"Assuming a cusp-marginal ridge occlusal scheme, the palatal cusp of the maxillary first premolar will occlude with the:",Buccal cusp of the mandibular first premolar,Buccal cusp of the mandibular second premolar,Distal central fossa of the mandibular first premolar,None of the above,,,C,
You fabricated a provisional for tooth # 14. The oblique ridge extends from the mesiobuccal to the distobuccal cusp:,True,False,,,,,B,
You are fabricating a provisional crown on tooth # 30. Mandibular first molars are wider mesiodistally than buccolingually:,True,False,,,,,A,
Occlusion is the dynamic relationship between the incising or masticating surfaces of the maxillary and mandibular teeth:,True,False,,,,,B,
"Mrs. Bluestein is referred to your office for complex full mouth rehabilitation. Her medial history lists hypertension, anticoagulant therapy, hip replacement in 1999 and she takes an antidepressant medication. She will need extensive treatment including multiple fixed prostheses, several extractions, two quadrants of periodontal surgery, implant placement and then completion of her restorative work. Treatment time is estimated to be about 12 months. Your treatment plan requires provisional fixed prostheses. The material of choice for this provisional should be:",PMMA,Stainless steel crowns,Bis-Acryl,None of the above,,,C,
The retention of a crown is directly proportional to the length of the axial walls:,True,False,,,,,A,
"Assuming a Class I cusp-marginal ridge occlusal scheme, the Maxillary left central incisor will occlude with the right mandibular lateral incisor and the right mandibular canine:",True,False,,,,,B,
The styloid process is anterior to the condyle:,True,False,,,,,B,
"When preparing the taper of the distal wall of a molar, the head of the handpiece would be tilted towards the:",Buccal,Mesial,Distal,Lingual,,,B,
The retention of an Intracoronal restoration is directly related to the opposing external walls:,True,False,,,,,B,
"Assuming a cusp-marginal ridge occlusal scheme, the buccal cusp of the maxillary second premolar will occlude with:the embrasure of mandibular first and second premolars.",True,False,,,,,B,
"The closer your grip is from the head of the handpiece, the more control you will have due to movement of the fulcrum:",True,False,,,,,A,
"When fabricating provisional restorations, the facial surfaces of # 8 and # 9 are more convex than the facial surfaces of # 7 and# 10",True,False,,,,,B,
You fabricated a provisional for tooth # 19. The lingual height of contour is located in the:,Occlusal 1/3,Middle 1/3,Cervical 1/3,,,,B,
"When fabricating a provisional for tooth # 14, the largest cusp is:",Mesiobuccal,Distobuccal,Mesiolingual,Distolingual,,,C,
"You prepared a Class III restoration for exercise one, you placed a wide bevel on the ________ surface:",Mesial,Distal,Facial,Lingual,,,C,
While listening to music in the Sim Lab we have heard:,Pitbull,Taylor Swift,Drake,Pink,"All of the above Correct answer, btw",,E,
"Your patient, Ms. Swift, a well-known performer, presents to your office one Wednesday evening at 5:30 pm. Your children are waiting for you to take them to dinner and roller skating. You have placed her in a Bis-Acryl provisional from tooth # 3 to tooth # 12. The provisional has broken between teeth # 9 and # 10. You will repair this break by making undercuts on the distal of # 9 and the mesial of # 10. You will use_________________ to place the segments back together:",Krazy Glue,PMMA,Flowable,Both b and c,,,C,
"What time is it, when it is time to go to the dentist:",Eight o'clock,Ten o'clock,"Tooth Hurty - Correct answer, btw",None of the above,,,C,
Statement One: When mixing alginate we add powder to water. Statement Two: When mixing stone we add powder to water,Both statements are true,Both statements are false,"Statement one is true, statement two is false","Statement one is false, statement two is true",,,D,
Bis-Acryl is a:,Composite,Unfilled Resin,Resin,a and c,None of the above,,D,
Statement One: Diamond numbers are standardized regardless of the manufacturer. Statement Two: Carbide bur numbers are standardized regardless of manufacturer.,Both statements are true,Both statements are false,"Statement One is true, statement two is false","Statement One is false, statement two is true",,,D,
PMMA provisional restorations wear at a lower rate than Bis-Acryl:,True,False,,,,,B,
Vertical Dimension of Occlusion occurs when there is space between the maxillary and mandibular teeth:,True,False,,,,,B,
The position in which the condyle moves from pure rotation to translatory movement is known as:,Centric occlusion,Lateral Excursion,Terminal Hinge Position,None of the above,,,C,
The occlusal scheme where a tooth in one arch touches two teeth in the opposing arch is known as Cusp-Fossa occlusal scheme:,True,False,,,,,B,
Condylar motion occurs in how many planes:,One,Two,Three,Four,,,C,
Statement One: The Curve of Spee is a mediolateral position of the mandibular and maxillary occlusal surfaces Statement Two: The Curve of Wilson is an anterior-posterior curve of the buccal and lingual cusps,Both statements are true,Both statements are false,"Statement one is true, statement two is false","Statement one is false, statement two is true",,,B,
"When fabricating a provisional for tooth # 8, the cingulum is offset towards the mesial:",True,False,,,,,B,
Right Lateral excursion demonstrates the rotation of the_______ Condyle and translation of the _______ condyle:,"Right, left","Left, right",Both left and right condyles rotate,Neither condyle rotates,,,A,
Statement One: Horizontal Overlap enables disclusion of the posterior teeth Statement Two: Vertical Overlap increases the duration of occlusal contacts,Both statements are true,Both statements are false,"Statement One is true, statement two is false","Statement One is false, statement two is true",,,B,
"When treatment planning a FULL arch fixed prosthesis with periodontally compromised teeth, we would select which occlusal scheme:",Canine Guidance,Group Function,,,,,B,
The most common occlusal scheme with natural teeth is,Cusp-Marginal Ridge,Flat plane occlusion,Cups-Fossa,None of the above,,,A,
MIP is represented by:,A,B,C,D,E,,A,
MO is represented by:,A,B,C,D,E,,C,
HAT is represented by:,A,B,C,D,E,,D,
MP is represented by:,A,B,C,D,E,,B,
CR is represented by:,A,B,C,D,E,,E,
