title,Periodontics I Quiz 1 (Spring 2018),perio1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
In which way can deepening of the gingival sulcus occur?,Apical movement of the gingival margin,Coronal migration of the attachment,Coronal movement of the gingival margin,None of the above,,C,
"If a patient has 4mm of Gingival Overgrowth and at the same site has a probing depth of 6mm, how much attachment loss does the patient have at that site?",2mm,6mm,9mm,0mm,,A,
The mucogingival junction is:,Present facially and absent lingually in the mandible,Absent facially but present palatally in the maxilla,Absent facially and palatally in the maxilla,Present facially but absent palatally in the maxilla,Present facially and palatally in the maxilla,D,
Which statement about “Marginal Gingiva” is true?,Approximately 1mm wide,Free Gingival Groove is seen in 75% of cases,It is attached,None of the above,,A,
The alveolar mucosa:,Has no boundaries,Firmly bound down to the underlying bone,"Red, movable and its surface is smooth and shiny",Blend imperceptibly with attached gingiva,Pink and movable,C,
Which of the following are classic signs of gingival inflammation?,Bleeding on probing,Redness,Swelling,All of the above,,D,
The causes of Gingival Overgrowth do not include:,Trauma,Medication use,Genetics,Plaque Accumulation,,A,
Which is a characteristic of the interdental “col”?,Exists when a diastema is present,Conforms to the shape of the interproximal contact area,Exists only in health Is located outside the gingival embrasure,Composed of alveolar bone only,,B,
Which type of epithelium contains a Superficial Layer which contain few keratin filaments and still have a nuclei?,Junctional Epithelium,Oral Gingival Epithelial,Sulcular Epithelium,They all contain a superficial layer which contain few keratin filaments and still have a nuclei,,C,
The function of the Periodontal Ligament (PDL) includes:,Providing the tooth with sensation of pressure and pain,Maintaining the vitality of the surrounding cells through nutritive support,Helping absorb light and hard forces on the attachment apparatus of the tooth,All of the above,,D,
