title,PCOD I Midterm Exam (Fall 2020),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
"Assuming that the yellow is the pulpal floor, and the blue is the occlusal, the walls on this preparation are:",Parallel,Divergent,Convergent,,,B,images/pcod1-midterm-fall-2020/fig1.jpeg
"After use a bur can become dull, at that point you should throw it in the garbage.","Statement one is false, the second statement is true","Statement one is true, the second statement is false",Both statements are true,Both statements are false,,B,
All the statements are true except:,"Burs can be classified as fissure, inverted cone, round, or pear shaped.",The numbering of a bur is consistent from manufacturer to manufacturer.,A 56 is a fluted fissure bur (spiral),557 is a cross cut fissure bur,All statements are true,E,
It is important to place floss in both holes of the rubber dam clamp because:,You only need to place floss in one of the holes- two holes is excessive,Placing floss in the small holes is time consuming and placing it on the arch of the clamp is faster and just as acceptable.,In the case of fracture of the clamp,,,C,
"When placing a rubber dam on a mandibular tooth, it is important that the clamp:",Stays above the height of contour,Stays below the height of contour,Stay on the height of contour,The height of contour has nothing to do with the rubber dam clamp.,,B,
Bunched-up rubber dam found between the teeth is usually due to the holes being:,too small for the tooth,too large for the tooth,punched too far apart,punched too close together,,C,
Why is proper ergonomics important?,Increases isometric fatigue and muscle spasm,Increases steadiness and accuracy,Decreases field of vision,Can cause disfigurement,,B,
When you are practicing dentistry you should be seated:,At the edge of the seat,Thighs parallel to the floor,Forearms of are at 45 degree angle,Feet are just touching floor,,B,
Which type of caries begins on cementum?,Root Surface caries,Approximal caries,Pit and fissure caries,All caries,,A,
True/False: During a fire drill it is important you grab your car keys and jacket in case you cannot return to the building.,True,False,,,,B,
In an email regarding your absence what information do you have to disclose?,The reason you will be absent,Only that you will be absent,COVID Test results,All of the answer choices,,B,
Please select the following true statement:,A mask needs to cover only your mouth,Masks do not need to be worn in the school bathroom,A mask is no longer considered PPE,Masks should be worn at all times,,D,
While in simlab the following is true:,You must follow the arrows on the floor,Maintain social distancing,Wear your faceshield,All of the answer choices,,D,
Choose the statement that does NOT apply: In dentistry a modified pen grasp,Is most effective and stable,Produces a tripod effect,Enhances control,Decreases tactile sensitivity,,D,
"Select the FALSE statement, a bur can be:",Multi-bladed,Rotary,A variety of shapes,All be the same length,,D,
"True/False: The greater the number of blades, the better the cutting and the smoother the surfaces.",True,False,,,,A,
Fissure burs have rounded corners because:,They create less stress in the cut tooth,They eliminate internal sharp angles,They remove less tooth structure,All of the answer choices,,D,
To make divergent walls I would use the following bur,330,169,56,789,,B,
In order to keep a restoration in place we must be MOST concerned with:,Access Form,Retention form,Outline form,Convenience form,,B,
The isthmus of a preparation should be wide enough to accommodate,The smallest end of the smallest plugger,The smallest end of the larger plugger,The larger end of the smallest plugger,The larger end of the largest plugger,,A,
At minimum a cavity preparation needs to be _____ into dentin.,1mm,1.5mm,0.5mm,0.75mm,,C,
"On a Class II preparation, how wide does your proximal box need to be buccal lingually?",2mm,3mm,4mm,"No measurement can be given, it will be different for all patients",,D,
"On a Class II premolar preparation, how wide does the proximal box need to be mesio-distally?",1.25mm,1.5mm,2mm,"No measurement can be given, it will be different for all patients",,A,
On a Class II preparation there is a reverse curve on the mesial buccal aspect of the preparation. This is important to get a 90 degree angle to the tangent of the tooth at the cavosurface margin.,Both the statement and reason are correct,Both the statement and reason are incorrect,The statement is correct but the reason is incorrect,The statement is incorrect but the reason is correct,,A,
You are trying to incorporate all the grooves into your prep…,"when doing so, there is no need to preserve cusps just make sure to connect all the grooves.",But make sure to preserve the cusps by following the grooves by preparing and contouring around the cusps.,"cusps are areas of increased decay so question is irrelevant, you will always need to remove cusps to access decay.",,,B,
A basic set up is made up of the following instruments? I. Typodont II. Mirror III. Explorer IV. Rubber dam,I & IV,I & III,II  & III,III & IV,,C,
If you are not feeling well you should:,Ask your buddy what he did,Stay home,Come to school as long as you don’t have temperature,Contact Karen Longo,Two of the answer choices are correct,E,
Which of the following is not a use for a dental mirror?,Retraction,Indirect illumination,Transilluminaiton,Indirect Vision,All of the answer choices are uses of the dental mirror,E,
Which type of mirror do we use in TCDM?,Front surface,Flat Surface,Concave Surface,Plane Surface,,A,
Which statement is false?,the dental mirror is always held in your dominant hand,A dental mirror is utilized when working on maxillary teeth,A dental mirror is made of two pieces that can come apart,The dental mirror is always part of a basic set up,,A,
What measurement is the arrow pointing to on the perio probe?,4mm,5mm,6mm,You can not tell because this perio probe is missing lines.,,B,images/pcod1-midterm-fall-2020/fig31.jpeg
When preparing a Class I on a maxillary molar,You create one large preparation in the shape of a butterfly,You must always cross the oblique ridge,You have two separate preparations on the occlusal surface; one on the buccal and one on the lingual,"You have two separate preparations on the occlusal surface; one beginning in the mesial fossa, and one beginning in the distal fossa",,D,
"Whenever you are assessing the occlusal depth of a preparation, measurement will be taken from:",Anywhere in the preparation,Adjacent to the tallest cusp,From the lowest portion of the occlusal surface,Adjacent to the marginal ridge,,C,
The shape of a tooth preparation that helps prevent fracture of a restoration during function is referred to as:,resistance form,retention form,convenience form,outline form,none of the answer choices,A,
The cavosurface margin is defined as:,the junction of the internal walls of the preparation with the external surface of the tooth,the junction of any two walls of the preparation,the margin closest to the pulpal floor of the preparation,the margin in closest proximity to the pulp,none of the answer choices,A,
On a class II how wide does the box need to be buccal lingually?,2mm,As wide as you want,As wide as needed to break contact,3 mm,,C,
Which component is not a factor in the caries disease process?,Host,Bacteria,Substrate,Time,None of the answer choices,E,
True/False: Bacteria directly cause decay.,True,False,,,,B,
Why is saliva so important?,Helps protect oral musoca,Helps in remineralization,Helps with digestion,All of the answer choices,,D,
Which bacteria below is a specific caries producing bacteria?,Streptococcus salivarius,Streptococcus mutans,Streptococcus oralis,Streptococcus mitis,,B,
What is critical pH below which a tooth can begin to demineralize?,6,6.5,5.5,5,,C,
Define acidogenic:,The ability to avoid acid,The need for acid as a nutrient,The ability to produce acid,The ability of acid to be protective,,C,
The bacteria biproduct created by consuming carbohydrates is,Lactic acid,Pyruvic acid,Sugar,,,A,
Which of the following is a correct location for a retention groove in a slot preparation?,Axiogingival line angle,Axiopulpal line angle,Axiofacial line angle,Axiomesial line angle,,C,
"As caries progresses from enamel to dentin and toward the pulp interproximally, the radiographic appearance resembles which of the following?",V shape in the enamel with the apex toward the DEJ and V shape in dentin with apex toward the pulp,"V shape in enamel with apex toward the approximal surface and V shape in dentin with the apex toward the pulp, resulting in a diamond appearance","V shape in enamel with the apex toward the DEJ and V shape in dentin with the apex toward the DEJ, resulting in bowtie appearance",V shape in enamel with the apex toward the approximal surface and V shape in dentin with the apex toward the DEJ,,A,
"On a completed Class III preparation, all of the following should be present except:",Broken gingival contact,Broken incisal contact,Broken facial contact,Gingival and incisal walls parallel to each other,Labial wall parallel to the long axis of the tooth,B,
An Ellis Class II fracture is one that:,Is only in the enamel,Reaches the dentin,Reaches the pulp,Would be found in a Class IV preparation,"Both reaches the dentin, and would be found in a Class IV preparation",E,
