title,Removable Prosthodontics Quiz 3 (Fall 2017),rempros,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which anterior teeth on the maxillary arch has the greatest distal tilt,lateral incisors,central incisors,canines,premolars,molars,C,
What part of the mandibular posterior teeth line up over the crest of the ridge,central fossas,cusp tips,buccal of molars,buccal of premolars,,A,
The curve of spee is formed by which of the following teeth,Maxillary 1st and 2nd molars,Mandibular premolars and molars,Mandibular molars only,Maxillary premolars and molars,Mandibular second molars,A,
The type of flask that is used to process a full denture is called,Split ring flask,Dual flask,duplicator flask,none of these,,A,
What is the name of the waxing technique where additional wax is used to enhance esthetics,festooning,Articulation,Layering,Veneering,,A,
When setting up mandibular posterior teeth what surfaces form a straight line,lingual of molars and premolars,buccal of canines,buccal and lingual cusp tips,none of these,,C,
What is the most commonly used separating material used in processing a denture,Vaseline,Alcohol,Wax,Varnish,,A,
What is the primary objective of setting denture teeth.,Set the teeth such that the occlusal forces are distributed at right angles to the crest of the ridge,Set the teeth such that only the lingual cusps of the mandibular teeth are in contact,Set the teeth such that the anterior teeth have light contact,Set the teeth such that teeth are canine protected,,A,
What occurs when mandibular posterior teeth are set up on an incline,the denture will move when the patient closes,the incline would provide stability to the denture,the denture would be more esthetic,the denture would be more comfortable for the patient,,A,
What landmark is used in the selecting mandibular posterior teeth,anterior to the retromolar pad,distal of the canine to distal of the canine,where the mandible rises,all of these,,D,
Lateral forces placed on a mandibular denture are minimized when,vertical forces are centered on the crest of the ridge,horizontal forces are places on cuspal inclines,mandibular lingual cusps are set in occlusion,by extending the flange,,A,
"In a full upper/ full lower denture, the amount of vertical overlap of the anterior teeth is",o mm.,1mm.,2 mm.,3mm,,A,
Which is not a consideration for a denture set up with a monoplane occlusion,there is a 2mm. overlap of the maxillary anterior teeth,Posterior teeth are positioned over the ridge,Teeth are set on a flat plane of occlusion,Mandibular buccal cusps touch the occlusal plane,,A,
What occurs when separating material is not removed from the undersurface of the teeth during processing,Teeth may eventually break away from the denture,Teeth may shift during processing,Denture may fracture,Denture may not fully cure,,A,
What simple techniques can be used to provide an enough space to set teeth,trim the root surface of the teeth,trim the base plate,both of these,none of these,,C,
