title,Ethics Final Exam (Summer 2016),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Professionalism, i.e. the totality of professional responsibility, includes ALL of the following, EXCEPT:",Understanding one's legal and ethical obligations.,The obligation to maintain competence and skill throughout one's professional life.,Ability to exhibit communication skills.,Knowing what is best for a patient and making sure that they do it,,,,D,
Which of the following facts about prescription drug and heroin abuse are TRUE?,Heroin users can control their habit at any time.,Four in five new heroin users started out misusing prescription painkillers.,Dentists do not play a role in the prescription drug and heroin use problems in the United States.,The rate of heroin overdose deaths in the United States has remained steady from the year 2000 until the present.,Prescribing rates for prescription opioids has adolescents and young adults has decreased steadily since the 1990's.,,,B,
94% of respondents in a 2014 survey of people in treatment for opioid addiction said they chose to use heroin because:,"They thought that they would be perceived as being ""cooler"" than if they were taking prescription drugs.",There was less chance of them being caught by their parents than if thery were using prescription drugs.,Heroin had fewer potentially dangerous side effects than prescription opiods.,Prescription opioids were far more expensive and harder to obtain.,"The ""high"" from heroin was more predictable than the ""high"" from prescription drugs.","The ""high"" from heroin was more satisfying than the ""high"" from prescription drugs.",,D,
"Persons with Substance Abuse Disorders engage in the recurrent use of alcohol and/or drugs which cause clinically and functionally significant impairment, such as:",Health problems.,Disability,"Failure to meet major responsibilities at work, school, or home.",Two of the three above choices.,All three of the above choices.,,,E,
"Which of the following behaviors are NOT commonly exhibited by ""Drug-Seeking Patients""?",Claims to be from out of town and just visiting friends or relatives.,Tries to be seen at the end of office hours or even after regular hours.,Does not have any preference for specific drugs or any knowledge about which drugs will work best for their problem.,Reports that they have lost their prescription.,Tries to make the practitioner feel guilty or sympathetic or even directly threatens the practitioner.,,,C,
Which of the following statements are TRUE?,"We, as dentists, have an ethical obligation to prescribe opiod analgesics in a responsible manner in order to limit drug abuse.","We, as dentists, have an ethical obligation to keep our pateints free of pain at all costs.","We, as dentists, have no obligation to our patients other than to keep their teeth healthy and their smiles beautiful","We, as dentists, have an ethical obligation, to make all decisions for our patients because our education and training enables us to know what is best for them.  This will help to limit drug abuse.",,,,A,
Which of the following statements about Prescription Monitoring Programs (PMP) are NOT TRUE?,PMP Registries can be used to verify drug-use history.,"In New York State, prescribers are required to consult the PMP Registry when prescribing controlled substances.",New York State PMP Registry reports list all drugs that a patient has ever taken.,"In New York State, the 2012 requirement for prescribers to check the PMP Registry before prescribing controlled substances led to a 75% drop in patients who were seeing multiple prescribers to obtain the same drugs in 2013.",,,,C,
The New York State Dental Association can help to protect the license and privelege to practice of a dentist who is sufferig from substance abuse and addiction if they seek help by calling the toll-free number set up by the Association.  All calls are kept confidential.,True,False,,,,,,A,
It is important to keep the following in mind when trying to decide the correct ethical response when confronted with an issue:,There is only one ethical answer when evaluating a situation.,All facts presented have to be accepted as being true.,Obtaining additional information may only add to confusion when attempting to arrive at an ethical solution.,"Consultation with personnel at the ADA Ethics Hotline, at your malpractice insurer, or a lawyer knowledgable in the field can be helpful in arriving at an ethical solution.",Listing a number of potential solutions when analyzing an ethical dilemma will delay arriving at the best solution.,,,D,
One of your faculty members has been carrying the Ethics Wallet Card provided by the American College of Dentists in his wallet since he received it years ago.  He refers to it when necessary and makes decisions based on the principles described on the card.  The fact that he considers his ethical obligations to be of extreme importance is one of the reasons that his colleagues and the public can consider him to be a true Professional.,True,False,,,,,,A,
A dentist decides that he cannot do the procedure that was planned on a patient who is a minor.  He lies to the parent about the reason for cancelling the case.  Was this ethical?,Yes.,No.,It depends on the age of the dentist..,More information is needed to decide if this is ethical or not.,,,,D,
Which of the following statements about ETHICS is NOT TRUE?,Ethics are moral principles that govern the character and conduct of an individual or group.,Ethics seek to answer three fundamental questions: 1.  What should we do? 2.  Why should we do it? 3.   How will we benefit from doing this?,The object of ethics is to emphasize spirit or intent rather than law.,Dental ethics applies moral principles and virtues to the practice of dentistry.,,,,B,
