title,Orthodontics Midterm Exam (Spring 2018),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
Which is not part of routine orthodontic records?,Panoramic X-ray,Cephalometric x-ray,Photos of face and teeth,Hand-wrist radiograph,D,
Anatomic points are drawn on panoramic x-rays and angles/measurements are derived from these points,True,False,,,B,
A large photo mirror is used for occlusal views of the dental arches,True,False,,,A,
Which of the following is not a routine photograph taken as part of orthodontic records?,Center-teeth in occlusion,Submental view,Right Buccal view,Left buccal view,B,
"Considering modern dental radiography, the “SLOB” rule is better than a cone beam x-ray to assess the bucco-lingual position of an impacted Maxillary canine",True,False,,,B,
"When taking intraoral photos, the center view with teeth in occlusion and the right/left buccal views should have the occlusal plane in the middle of the image and parallel to the edge of the photo",True,False,,,A,
Which of the following best represents the value of extra-oral and intra-oral photos as part of orthodontic records?,Define starting occlusal relationship,Define facial balance,Allow evaluation of treatment progress,All of the above,D,
Panoramic x-rays do not provide information on which of the following?,Direction of facial growth,Root position and length,Eruption during the mixed dentition,The presence of missing teeth,A,
Growth of the jaws is downward and forward,True,False,,,A,
The main growth site in the mandible is the chin,True,False,,,B,
Sutures are the main growth sites in the mandible,True,False,,,B,
A normo-divergent individual is also known as?,Low-angle,Normal angle,High angle,Tri-angle,B,
What might one expect to see in a hyperdivergent individual?,Very deep bite,Anterior open bite,Short lower face,A line tangent to the mandibular plane lies below the base of the cranium,B,
A high angle grower is characterized by what directions of growth,"More downward, less forward","Less downward, more forward",Neither downward nor forward,Upward and backward,A,
A line drawn tangent to the mandibular plane that intersects the head below the base of the cranium is characteristic of what type of grower?,Hyper-divergent,Normo-divergent,Hypo-divergent,High angle,C,
Orthodontists favor the Palmer system of tooth numbering,True,False,,,A,
Orthodontists can use the leeway space to help correct crowding situations because?,The erupting premolars are larger than the deciduous molars,The erupting premolars are smaller than the deciduous molars,The erupting premolars are equal in size to the deciduous molars,The premolars do not erupt,B,
Patients should never be evaluated for orthodontic treatment until the second deciduous molars have exfoliated,True,False,,,B,
"In a class 1 relation, the mesio-buccal cusp of the upper first molar is anterior (mesial) to the buccal groove of the lower first molar",True,False,,,B,
Angle defined the jaw relationship as “normal” in what class of occlusion?,Class 1,Class 2,Class 3,Class 4,A,
A prognathic or protrusive mandible is characteristic of what class of occlusion?,Class 1,Class 2,Class 3,Class 4,C,
Angle defined a retrusive mandible as characteristic of what class of occlusion?,Class 1,Class 2,Class 3,Class 4,B,
The normal value for overjet is approximately 2.5-3 mm,True,False,,,A,
A transverse discrepancy is also known as a?,Deep bite,Open bite,Crossbite,Overbite,C,
Which is NOT true of overbite?,Is a vertical measurement,Represents the vertical degree of overlap of the upper and lower incisors,Is commonly confused with overjet by the public,Is considered normal at 100 percent,D,
"From a frontal perspective, the occlusal plane should always be canted relative to the face",True,False,,,B,
The occlusal plane should be flat in an ideal occlusion and is therefore affected by curves of Spee,True,False,,,A,
"The more the class II the patient, the more the overjet increases",True,False,,,A,
What of the following is NOT true of overjet?,Esthetics often promote desire for overjet correction,Risk of anterior trauma increases with increased overjet,"Without incisal guidance, continued eruption of mandibular teeth can be destructive to upper anterior palatal tissue",Severe overjet is irrelevant to risk of trauma to upper anterior teeth,D,
An overjet of 6 or more mm is considered “mild”,True,False,,,B,
An overbite of 30-60% is considered “moderate”,True,False,,,A,
An open bite can result in difficulty eating certain foods such as pizza,True,False,,,A,
A deep bite can be destructive to upper anterior palatal tissues,True,False,,,A,
Which of the following is true about a crossbite?,Always anterior only,Always posterior only,Can present both anterior and posterior,Is always bilateral,C,
Facial balance is influenced by race and ethnicity,True,False,,,A,
Which is NOT true of Ricketts E-line?,Is a line from the tip of the nose to the chin,The lips should fall well forward of the line in a Caucasian individual,The lips should fall at or behind the line in a Caucasian individual,African- American or Hispanic individuals might have their lips fall forward of the E-line,B,
"The further the lips are back from the E-line, the less the nose and chin will appear dominant",True,False,,,B,
What is lip competence?,Ability to Whistle,Ability to play a brass instrument,Ability to close the lips without strain,Ability to properly chew food,C,
Muscle strain in the chin region while trying to close is typical of what?,Deep overbite,Class I relation,Lip incompetence,Canted occlusal plane,C,
When considering proper incisor inclination or angulation:,Incisors should be flared significantly,Incisors should be retroclined significantly,Incisors should be leaning slightly forward,Retroclined incisors is always a treatment goal,C,
Distally splaying Maxillary lateral incisors is an early clue to possible what?,Crossbite,Crowding,Maxillary canine impaction,Spacing,C,
Maxillary canine impaction is uncommon,True,False,,,B,
"In a 9-year-old patient, a panoramic x-ray shows the maxillary canines erupting towards the midline. You should:",Ignore the finding,Retake the Panoramic x-ray,Assume the permanent canines will erupt ideally,Consider removal of Maxillary deciduous canines,D,
Buccally impacted Maxillary Canines can resorb the roots of adjacent lateral incisors,True,False,,,A,
Which is true for an exposure of a Maxillary impacted canine?,Rarely done procedure,Is performed by the general dentist,Never delays orthodontic treatment time,An attachment is placed on the canine and the orthodontist teases the canine down onto place,D,
When should a typical patient be screened with a panoramic x-ray for potential Maxillary canine impaction?,age 9,Age 6,Age 7,Age 12,A,
Removal of deciduous canines will always prevent Maxillary canine impaction,True,False,,,B,
Lip Incompetence is a desirable facial feature and should never be eliminated,True,False,,,B,
Lip competence should be taken into account when planning orthodontic treatment,True,False,,,A,
Facial balance is equally as important as occlusion in planning orthodontic intervention,True,False,,,A,
