title,DAO Final Exam (Summer 2018),dao,final,"1 question (about the term for vertical overlap of anterior teeth) was a fill-in-the-blank question in the source, not multiple choice, so it was omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,correct,image
"When examining a large group of people, which two teeth are most likely to be congenitally missing? (The Universal numbering system is used.)",#7 or 10,# 8 or 9,#1 or 16,#20 or 29,,C,
"When examining a large group of people, what is the most frequent location where extra (supernumerary) permanent teeth may be found?",Maxillary incisor area,Mandibular premolar area,Mandibular incisor area,Maxillary premolar area,,A,
"A person has four mandibular incisor crowns, but one of them appears twice as wide as the others. On the radiographs this double-wide crown appears to share one root with one canal. What is this condition called?",Fusion,Gemination or twinning,Peg lateral incisors,Hutchinson's incisors,Two mesiodens,B,
It might be difficult for a dentist to extract a tooth exhibiting dilaceration. What is dilaceration?,Accessory roots,Ankylosis,Fusion,Hypercementosis,A severely bent root,E,
What term can be used to describe the condition where no teeth form within the jaws?,Total anodontia,Complete taurodontia,Hutchinson's syndrome,Hypodentinogenesis imperfecta,Ankylosis,A,
Congenital syphilis may cause which of the following dental malformations? (Read all choices before answering.),Talon cusp,Hutchinson's incisors,Mulberry molars,Dens in dente,Hutchinson's incisors and mulberry molars,E,
"Which dental malformation appears as small, round enamel growths located on the root furcations of molars?",Fusion,Enamel pearls,Dens in dente,Concrescence,Hypercementosis,B,
"In ideal class I occlusion, the maxillary canine opposes (occludes with):",The incisal edge of a mandibular lateral incisor,Both mandibular first and second premolars,The distal marginal ridge of a mandibular lateral incisor,A mandibular canine and first premolar,A mandibular canine and a mandibular lateral incisor,D,
Which of the following defines the relationship of first molars in ideal class I occlusion?,The tip of the distobuccal cusp of the maxillary first molar is aligned directly over the distobuccal groove on the mandibular second molar.,The tip of the distobuccal cusp of the maxillary first molar is aligned directly over the mesiobuccal groove on the mandibular first molar.,The tip of the mesiobuccal cusp of the maxillary first molar is aligned directly over the distobuccal groove on the mandibular first molar.,The tip of the mesiobuccal cusp of the maxillary first molar is aligned directly over the mesiobuccal groove on the mandibular first molar.,The tip of the distobuccal cusp of the maxillary first molar is aligned directly over the distal triangular fossa on the mandibular first molar.,D,
Tooth #26 occludes with teeth #7 and 8.,True,False,,,,A,
What permanent tooth erupts into the space previously held by the primary second molar?,First molar,Second molar,First premolar,Second premolar,,D,
What is the Universal number of the adult (secondary) tooth that erupts into the space that was previously occupied by primary tooth B?,#1,#3,#5,#7,# 10,C,
"What would you estimate to be the dental age of a child with the following teeth: all permanent incisors and permanent first molars, and all primary canines and molars?",2 to 5 years,5 to 7 years,8 to 9 years,10 to 11 years,Over 12 years,C,
Which anterior teeth are wider mesiodistally than incisocervically? (Read all answers.),Primary central incisors,Primary canines,Permanent central incisors,Permanent canines,Both the primary central incisors and the permanent central incisors,A,
A mandibular primate space is usually found in the primary dentition between the:,Central incisors,Central and lateral incisors,Lateral incisor and canine,Canine and first molar,First and second molars,D,
Which two teeth have their mesial surfaces contacting one another? (Universal numbers are used here to denote the teeth.),#1 and #16,#25 and #26,#1 and #32,#8 and #9,#17 and #16,D,
"In an adult mouth with ideal tooth alignment and in ideal occlusion, which surface of tooth #16 touches tooth #17? (The tooth numbers are using the Universal numbering system.)",Distal,Mesial,Occlusal,Lingual,Buccal,C,
A maxillary first molar is most likely to have ___ roots and ___ root canals?,2; 2,2; 3,3; 2,3; 3,3; 4,E,
"Using the international (Federation Dentaire) numbering system, a French dentist identified decay in tooth #21. What is the Universal number of that tooth that would be used when supplying information to an insurance company in the United States?",#1,#8,#9,#16,None of these answers is correct.,C,
Which tooth has the shortest root relative to its crown?,Mandibular lateral incisor,Maxillary lateral incisor,Mandibular central incisor,Maxillary central incisor,,D,
"Compared to permanent maxillary lateral incisors, maxillary central incisors are more likely to exhibit:",Smaller crowns,The cingulum positioned distally,Lingual pits,Deeper and smaller lingual fossae,An outline (from the incisal view) that is more round or oval as opposed to triangular,B,
Which statement(s) is/are true regarding the wear pattern of the incisal edges of anterior teeth (assuming ideal occlusion)?,Maxillary central incisors are likely to exhibit wear on the labial part of the incisal edge.,Maxillary canines are likely to exhibit wear on the labial part of the incisal edge.,Mandibular incisors are likely to exhibit wear on the facial part of the incisal edge.,Mandibular canines are likely to exhibit wear on the lingual part of the incisal edge.,None of the above statements are correct,C,
Which incisor is considered the most symmetrical?,Maxillary central incisor,Maxillary lateral incisor,Mandibular central incisor,Mandibular lateral incisor,,C,
Which statement is NOT true when describing a mandibular canine?,"From the facial view, the mesial root and crown contours are nearly in a straight line.",The incisal edge is positioned more to the lingual on the distal half (distolingual twist).,The cingulum and marginal ridges are prominent compared to maxillary canines.,The mesial cusp ridge is often close to horizontal (compared to the maxillary canines).,The cusp is less pointed (more obtuse) than on the maxillary canine.,C,
Which trait can be used to describe all canines and all types of incisors?,The mesial contact is more cervical than the distal contact.,The mesial crest of curvature (contact area) is more rounded than the distal.,The cingulum is positioned more to the mesial.,The curvature of the mesial cervical line is greater than the curvature of the distal cervical line.,The mesioincisal angle is more rounded than the distoincisal angle.,D,
Which of the following characteristics is most often true for all incisors and for all canines?,The proximal view outlines are wedge shaped.,The crowns are wider (in a mesiodistal dimension) than long (in an incisogingival dimension).,The incisal ridges are positioned slightly to the facial of the midroot axis line.,Facial crests of curvature (heights of contour) are located in the middle third of the crown.,"The proximal view outlines are wedge shaped, and the crowns are wider (in a mesiodistal dimension) than long (in an incisogingival dimension).",A,
"Which of the following roots is, on average, the longest?",Root of a maxillary canine,Root of a mandibular canine,Lingual root of a maxillary first molar,Lingual root of a maxillary second molar,Mesial root of a mandibular first molar,A,
All anterior teeth and two-cusped premolars form from how many lobes?,Two,Three,Four,Five,The number of lobes is not the same for all anterior teeth and two-cusped premolars.,C,
Which tooth is most likely to have two roots?,Maxillary lateral incisor,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar,B,
Which premolars are most likely to have three cusps and a lingual groove?,Maxillary first,Maxillary second,Mandibular first,Mandibular second,Mandibular first and second,D,
One permanent premolar has a pronounced concavity on the cervical part of the crown. Which premolar and which surface is this?,Mesial surface of the maxillary second premolar,Distal surface of the maxillary first premolar,Mesial surface of the maxillary first premolar,Mesial surface of the mandibular first premolar,Mesiolingual surface of the mandibular first premolar,C,
Which premolar usually has a mesial crown cavitation?,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar (two-cusp type),Mandibular second premolar (three-cusp type),A,
Which type of premolar is most likely to have separate mesial and distal pits with a pronounced transverse ridge but without a distinct central groove (so carious pits are often restored separately)?,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar (two-cusp type),Mandibular second premolar (three-cusp type),C,
Which premolar has two major cusps almost the same size and length?,Maxillary first premolar,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar (two-cusp type),Mandibular second premolar (three-cusp type),B,
