title,Intro to Clinical Dentistry Midterm Exam (Spring 2022),icd,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
You can wear a face shield or safety glasses you do not need to wear both.,True,False,,,,B,
How often do waterlines need to be flushed?,At the beginning of the day,At the beginning of the day and in between patients,Never,Once a week,At the end of the day,B,
How long should dental waterlines be flushed for?,10 seconds,1 minute,20-30 seconds,5 minutes,2 minutes,C,
Patients must be provided with?,Hair cover,Safety Glasses,Gloves,Gowns,Face shield,B,
Steps required when working with the lathe machine are:,"Secure all loose clothes, hair, etc. in place to prevent possible injury",Ensure guards are in place before using,Keep clear of blade and other moving parts. Keep your fingers away,Use safety glasses when using,All of the answer choices,E,
All the following are correct in regard to positive percussion except:,Asymptomatic Periapical radiolucency.,Periodontal ligament inflammation.,High Occlusion.,Periodontal abscess,Swelling,A,
"With irreversible pulpitis, your exam will show:",Periapical radiolucency.,Brief response to endo ice.,No response to endo ice.,Heightened response to endo ice and lingering pain upon stimulus removal.,None of the answer choices,D,
"Pt presents due to pain on right side and points to upper. All the teeth on UR responded normal to percussion, palpation and endo ice. Radiographic finding on UR was unremarkable. What would be the next most logical step?",Discharge patient since you weren't able to reproduce the symptoms on UR.,Prescription for antibiotic and pain medication should be given.,"Evaluate LR, since the patient might be experiencing referred pain.",Continue repeating the exam.,Test all the teeth with Endo ice,C,
Which of the following is a sign and symptom of reversible pulpitis?,Periapical pulpitis,Gross decay into the pulp,Positive response to palpation,Brief discomfort to cold and air,Lingering or spontaneous pain,D,
Patient present to the clinic for Intake. He denies any medical problem or taking any medications. Pt is a social smoker and drinker and his BMI is 45. He is considered?,ASA I,ASA II,ASA III,ASA IV,ASA V,C,
Which of the following is not a Vital Sign?,BP,Pulse,Spo2,Temperature,All the choices ae considered are vital signs,E,
Which of the following would not be considered HPI- History of Present illness?,Constant pain,Sharp pain,Dull ache,History of Diabetes,Pain meds being taken,D,
Armamentarium for Intake include all of the following except:,Intake/Emergency paper form,BP cuff,Basic exam Cassette,Patient bib and goggles,2X2 gauze,A,
The patient's chief complaint is recorded:,As the provider interprets it,In the patient's exact words,Only if they have pain,After asking the patient: “What is your Chief Complaint”,In the patients need tab,B,
Lexicomp is:,A drug data base found under links in Axium,A data base containing a patient's medication history,A data base allowing access to patient's health information,A link to all pharmacies within a 20 mile radius of the patient's house,A drug information hotline,A,
During the intake visit radiographs are taken:,Right after the patient has told you their “chief complaint”,After vital signs are taken,"After presenting to the faculty, and discussing which radiographs should be taken","Before presenting to the faculty, so you can begin discussing treatment",Right after the intra and extra oral examinations,C,
An oral risk assessment is a screening tool used to evaluate patient's health risks and quality of life.,This statement is true,This statement is false,,,,A,
When adding a “Planned Appointment”,The planned procedure must first be approved by faculty,You right click on the highlighted planned procedure in the treatment history tab and an option to add a planned appointment will appear,You must designate which clinic the planned appointment will be in,You must give a “not before date”,All of the answer choices,E,
The proper sequence to scan an entire arch is:,"First lingual surfaces, then buccal surfaces, then occlusal surfaces","First occlusal surfaces, then lingual surfaces, then buccal surfaces","First buccal surfaces, then occlusal surfaces, then lingual surfaces",Need to scan the buccal first then the lingual surfaces allowing the scanning software to figure out the occlusal,Need to scan the lingual first then the buccal surfaces allowing the scanning software to figure out the occlusal,B,
"Clicking on ""New Case"" from the Dental Desktop Home Screen will allow you to select:",In house vs. External lab,Which arch you will be scanning,If you are scanning the bite,Trimming the scan,Stitching the scan,A,
"While scanning one must ""rock back and forth""",When scanning the occlusal of the molars,When scanning the occlusal of the pre-molars,When scanning the bite,When scanning the incisal of the incisors,"There is never a need to ""rock back and forth""",D,
The Central Sterilization Processing Department (CSPD) comprises of services within the school in which dental instruments and equipment are cleaned. This applies to sterile instruments only.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,C,
All of the following will render a presumably sterile package unsterile if:,It has been on the shelf for more than one year,There is a hole in the package,The package is wet,The package has been opened,All the choices will render the package unsterile,E,
When filling out a basic RX for a digital scan the patient ID is:,The patients Axium number,Not mandatory,Can put in patients name,Can be left blank,Best put in an email to the lab with instructions,A,
Dental photographs are important for all of the following reasons except:,Communication with specialists,Aid in diagnosis and treatment planning,To send to an insurance company for justification of treatment,For legal documentation,For patient education,C,
Which computer program do you use to edit photos before you upload them to XDR?,EOS utility system,Axium,Paint,Microsoft word,Photoshop,C,
"When preparing a referral form, one needs to click on the “running man” to:",Let the secondary provider know that a referral has been requested,Let the CPL know that a referral has been requested,Let the PCC know that a referral has been requested and to schedule an appointment,Let the reception desk know to schedule an appointment for the referral,Send a message by A-mail to the appropriate clinic message group to schedule a consultation appointment,E,
If a patient is referred to Complex Care Clinic:,The patient is discharged from the undergraduate clinics.,"The patient will have their basic treatment in the student's home clinic, and the remainder of their treatment in complex Care",The students will provide basic treatment to the patient in the complex care clinic,"The student will provide the treatment, and be supervised by the Complex Care faculty",The patient can not be treated at Touro Dental Health,A,
The Code D0140 is used for:,Emergency visit only,A Focused Limited Evaluation,Evaluation of TMJ only,Evaluation of Oral Pathology only,Anesthesia Consult only,B,
An internal referral form is filled out when sending the patient for a medical consult to their Primary Care Physician. A medical consult form is created in the forms tab in Axium.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,B,
All of the following information is provided to the patient at the surgical consultation visit except:,The students that will be assigned to this patient,All elements of informed consent discussion,Pre and post-operative expectations,Discuss the potential need for a consultation with the patients Physician,Pre-anesthesia evaluation,A,
Consultations or treatment for impacted wisdom teeth requiring extraction can be performed by:,OMFS faculty only,OMFS faculty and perio faculty,OMFS faculty and Oral Pathology faculty,Faculty in the general clinics,OMFS or Endo faculty,A,
All information provided to the patient at the Oral Surgery Consultation appointment should be documented in the Consultation Note except:,All elements of informed consent,Post-operative pain management plan,Operative expectations,Post-operative expectations,Patients financial information,E,
The proper nomenclature for a supernumerary mandibular right first pre-molar?,#58,#78,#66,#59,#82,B,
An Oral and Maxillofacial Surgery Presentation includes all of the following vital signs except:,Pulse,Temperature,Blood pressure,BMI,Oxygen Saturation level,D,
The witness to the patient having signed the informed consent in the Oral Surgery Clinic can be:,Any student,Any faculty,Any of the dental assistants who witness the discussion,The PCC who is at the front desk at all times,The receptionist who greets the patients,C,
The Time Out process in the Oral Surgery Clinic allows for all of the following except:,Marking of the tooth to be extracted,A reasonable time period for the patient to decide against having the procedure done,Patient's record must be confirmed with 2 identifiers,Marking of the gingiva overlaying the surgical area if tooth/teeth cannot be marked,Site confirmed by patient with a mirror,B,
Completion of procedure codes must be done prior to patient discharge. Faculty approval of note can be done after the patient is discharged.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,C,
"Consider the following statements regarding a post-op visit: I. The medical history must be updated II. Student must “present” the patient III. Because it is a “no charge” visit, it doesn't need to be coded Which of the following statements is/are correct?","I, II, and III are all TRUE",Only I and II are TRUE,Only I and III are TRUE,Only II and III are TRUE,"None of the above statements (I, II, or III) are TRUE",B,
"When completing a “Post-op Note Template”, the words “Healing Well” should be entered in which of the following fields?",Subjective,Examination,Assessment,Plan,Conclusion,C,
A pharyngeal /throat screen should be used throughout a surgical procedure. Eye protection for the patient is NOT required since the patient often has their eyes closed.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,C,
"If a patient signed the General Consent when they registered, it is not necessary to obtain additional consent for specific procedures.",True,False,,,,B,
When setting up the operatory for a hygiene appointment all of the following should be done before the patient arrives EXCEPT:,Unwrapping the instrument cassette,Running the water lines,Placing all barriers in the appropriate place,Having a titanium scaler cassette ready in case needed,Having prophy paste and a prophy cup ready,A,
When performing a hygiene appointment local anesthesia is always indicated. The anesthesia should be administered before the “start check”.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,B,
Full mouth debridement involves the removal of plaque and calculus that interferes with the ability to perform a comprehensive exam. The patient must return after healing for an accurate evaluation and diagnosis.,Both statements are true,Both statements are false,"The first statement is true, the second is false","The second statement is true, the first statement is false",,A,
The most common OHI instructions include all of the following except:,Brushing twice a day,Flossing at least once a day,Using a fluoride mouthwash,Use of Chlorhexidine rinse,Using a fluoride dentifrice,D,
"After an SRP visit, (D4342/D4341):",The patient should be scheduled to return 4-6 weeks for a perio evaluation,If/when the patient returns (4-6 weeks after) the patient will be re-probed,If/when the patient returns (4-6 weeks after) the patient will be evaluated by the periodontist,If the patient is put on perio-maintenance they should be scheduled to come in about every three months,All the answer choices are related to after an SRP visit,E,
Statement 1: Oral Hygiene Instructions should be structured the same for every patient. Statement 2: Oral Hygiene Instruction is an important part of patient education,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,D,
