title,Orthodontics Final Exam (Spring 2021),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
"Posterior crossbite ""with a shift"" refers to a shift of ?",The mandible forward,The mandibular midline to the side of the crossbite,The mandibular midline to the opposite side of the crossbite,The maxillary midline,B,
Surgically assisted Rapid palatal expansion is indicated in,Adolescent boys,Girls aged 10-12,Adults,All children under 9,C,
Which is TRUE of bilateral posterior crossbite?,Usually requires expansion with expander,Usually associated with a shift of the lower midline,Is seen only in children,Is an antero-posterior problem,A,
A maRPE is an expander with:,Bands only on the molars,Bands only on molars and premolars,Bands on molars and mini-implants in the palate,Surgery required to open the sutures,C,
Which is TRUE of anterior crossbite:,Can cause lower incisors to move labially off the bone,Can be seen in Class III patients,Can involve multiple teeth,All of the answers,D,
Anterior crossbite of one tooth:,Is a rare occurence,Should be observed and followed,Should be treated as soon as possible,Has no effect on the opposing dentition,C,
Periodontal therapy is an important adjunct when treating an anterior crossbite of one or two teeth,True,False,,,B,
Which is TRUE of impacted canines?,Only present in the Maxilla,Are always on the lingual side of the arch,"Are best diagnosed using the ""slob"" rule",Are usually treated with canine exposure,D,
Which are helpful tools in diagnosing possible maxillary canine impaction?,Palpation of the ridge to feel for the unerupted canine,Baseline panoramic film at age 9,Looking for splayed maxillary laterals,All of the answers,D,
Correction of impacted mandibular canines involves the same considerations as impacted maxillary canines,True,False,,,B,
Which of the following is NOT a good treatment option for an impacted mandibular canine?,Extraction of the impacted canine and implant replacement,Extraction of the impacted canine and extraction of bicuspids in the other 3 quadrants,Extraction of the impacted canine and substituting a lower incisor for the canine,Exposure of the impacted canine where there is risk of periodontal compromise,D,
What is a common problem seen in cases with a buccally impacted maxillary canine?,Resorption of the root of the adjacent lateral,Difficulty in exposing the impacted canine,Difficulty in diagnosing  the impaction,Resorption of the root of the adjacent first bicuspid,A,
Which of the following is TRUE about developing maxillary canine impaction?,Extraction of deciduous canines will not help,Extraction of deciduous canines allows the permanent canines to erupt better,Should be diagnosed after full eruption of permanent teeth,Is a very rare problem,B,
"Using the Palmer system, transposition of a maxillary canine in the upper left quadrant would present as:","1,2,3,4,5,6","1,2,4,3,5,6","1,2,3,5,4,6","1,2,4,5,3,6",B,
Which is TRUE of a transposed maxillary canine?,Erupts in its normal position,Can result in asymmetric gingiva,Bone around the erupted transposed canine is usually compromised,Results in resorption of the adjacent lateral,B,
Impacted upper central incisor usually results from:,Impacted canine in the same quadrant,Posterior crossbite,Supernumerary tooth or dental lesion in path of eruption,Maxillary crowding,C,
Impacted Upper central incisor should be treated by:,Observation alone,Exposure with careful tissue maintenance,Extraction of the impacted permanent tooth,Implant placement,B,
Missing maxillary lateral incisors:,Is more common than missing third molars,Always occurs bilaterally,Requires careful implant site preparation at gingival margin and root apices,Should never be replaced by canine substitution,C,
In a situation with at least one missing lower second premolar:,Case will usually present with a missing upper lateral incisor,Roots of the remaining deciduous molar will always be short,Remaining second premolars can be small and/or delayed,Remaining deciduous second molars should be extracted,C,
Which of the following is not a good approach to maintain an implant site for a missing maxillary lateral incisor?,Maryland bridge,Fixed wires adjacent to the implant site,Zirconia bridge,Any removable appliance such as a flipper,D,
Which of the following is FALSE regarding a fixed lingual retainer?,Is contoured bucco-lingually,Is contoured occluso-gingivally,Is held in with floss during fabrication,Adhesive is placed into the contact areas to make sure the teeth don't relapse,D,
What is NOT a factor in the ability of an orthodontist to achieve ideal results?,Favorable growth,Patient cooperation,If aligners are used instead of braces,Favorable genetics,C,
What are factors involved in dental relapse?,Elasticity of PDL fibers,Squeezing of tissue,Tongue/cheek/lip forces,All of the answers,D,
Which of the following is not a fixed retainer?,Gold Chain,Lingual titanium bar,Essix Retainer,Flat titanium wire,C,
Which of the following is not part of a traditional Hawley retainer:,Clasps on the molars,Labial bow canine-to-canine for adjustment,Acrylic palate,Clasps on the bicuspids,D,
Diastema closure is usually stable and rarely requires fixed retention,True,False Case 1,,,B,
Which BEST describes the Angle classification?,Class III,Class II subdivision right,Class I,Class II division 2,C,
The overbite is considered:,Open,Moderate,Shallow,Deep,B,
E-line measurement shows the face to be:,Balanced for Hispanic,Full for Hispanic,Very flat for Hispanic,E-line does not reflect facial balance; it reflects extra space available when deciduous molars exfoliate,A,
The crowding in the maxilla is considered:,Crowding on the right side only,Mild,Moderate,Severe,D,
The upper left canine is:,Crowded but will erupt in proper position,Crowded and impacted,Crowded but will erupt mesially like the right maxillary canine,Crowded but will erupt buccally like the right maxillary canine,B,
The lower arch shows no crowding because:,Bicuspids have been extracted,Missing lower incisors,Canines are impacted,E-space allowed crowding to be eliminated,B,
The best approach to deal with the crowding and achieve a balanced occlusion is by:,Extraction of four premolars,Extraction of 3 premolars and the impacted canine,IPR,Extraction of upper bicuspids alone and upper left canine exposure,D,
The overjet in this case is:,normal,Moderate,Severe,Negative Case 2,A,
Which BEST describes the Angle classification?,Class III,Class II,Class I,Class II division 2,C,
The overbite is considered:,Open,Moderate,Shallow,Deep,C,
The midline shift in this case is due to:,Crowding,Asymmetric extraction,Facial asymmetry,Small molars on the right side,B,
Lower arch alignment would best be described as:,Moderate Crowding,Mild crowding,No crowding,Moderate spacing Bonus Case,A,
"(Bonus Question) Considering facial balance, Angle classification, degree of crowding, degree of overjet (3.5 mm), midlines…What is the best way to treat the crowding in this case?",Extraction of four bicuspids,IPR,Expansion,Upper IPR and extraction of lower right lateral incisor,D,
