title,Fixed Prosthodontics Quiz 5 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
A shoulder diamond has a rounded cutting end:,True,False,,,,B,
"When using an ION crown form to fabricate a provisional, the most important FIRST step is:",Proper mixing ratio of PMMA,Accurate contouring of gingival margins to the prepared tooth,a and b,None of the above,,B,
The EASIEST way to assure proper tooth reduction is:,Precise depth cuts,Proper axial taper,Appropriate shoulder width,a and b,None of the above,A,
"When using a PVS putty matrix for provisional fabrication, putty should be placed in a tray, painted with adhesive, because the tray:",Minimizes distortion of putty,Makes it easier to place in and out of patients mouth,Assures more even thickness of material,a and c,All of the above,E,
The marginal ridge heights of a provisional restoration should be __________ in relation to adjacent teeth:,Higher,Lower,Even,,,C,
"If a patient exhibits canine guidance, ALL teeth on the Non-Working side during lateral excursion should occlude:",True,False,,,,B,
The MOST common cause of bubbles in a set diagnostic cast is:,Improper powder:water ratio,Improper water temperature,Inadequate use of model vibrator,Too large initial additions of stone to impression,c and d,E,
"It is important to have smooth, well fitting gingival margins when fabricating a provisional because this minimizes:",Plaque entrapment,Bleeding when removing provisional,Patient discomfort,a and c,All of the above,E,
"When your patient moves into protrusive excursion, the second molars should ideally occlude:",True,False,,,,B,
"When making alginate impressions on a patient you know is a gagger, you can minimize the gag response by:",Use warm water to hasten setting time,Suggest a pleasant thought for patient to think about,Have patient move forward with head tilted down,All of the above,,D,
