title,Pain & Anxiety Control Exam 1 (Spring 2023),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Titration is not possible in which route(s) of drug administration? (Select all that may apply),Oral,Intravenous,Intranasal,Inhalational,Intramuscular,,E,
Which of the following is an example of enteral drug administration?,Rectal,Intramuscular,Intranasal,Sublingual,Intravenous,,A,
"When evaluating a 3-year old's airway for sedation, you notice that only the soft palate and base of the uvula are visible. Additionally, their tonsils appear to occupy approximately 60% of the lateral dimension of the oropharynx. What is their Mallampati Classification?",Class I,Class II,Class III,Class IV,,,C,
"When evaluating a 3-year old's airway for sedation, you notice that only the soft palate and base of the uvula are visible. Additionally, their tonsils appear to occupy approximately 60% of the lateral dimension of the oropharynx. What is their Brodsky Score?",0,1+,2+,3+,4+,,D,
The STOP-BANG Questionnaire is a tool useful in assessing which underlying medical condition?,Chronic Obstructive Pulmonary Disorder,Obstructive Sleep Apnea,Congestive Heart Failure,Atrial Fibrillation,,,B,
"The ""B"" in the STOP-BANG Questionnaire stands for?",Body Mass Index >25 kg/m2,Body Mass Index >30 kg/m2,Body Mass Index >35 kg/m2,Body Mass Index >40 kg/m2,,,C,
Consider the following statements: - A drug induced loss of consciousness during which patients are not arousable even with painful stimulation. - The ability to independently maintain ventilatory function is often impaired. - Patients require assistance in maintaining a patent airway. Which of the following types of sedation do these statements describe?,Minimal Sedation,Moderate Sedation,Deep Sedation,General Anesthesia,,,D,
Statement 1: Hypnosis is the relief of anxiety through the dentist's behavior. Statement 2: Iatrosedation is the building block for all forms of psyscho-sedation.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,B,
"Statement 1: A blood pressure cuff that is too tight, will provide a low blood pressure reading. Statement 2: A blood pressure cuff should be placed on the same arm as the pulse-oximeter.",Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,D,
Please indicate the color of the Left Limb Lead:,White,Black,Red,Green,,,C,images/painanx-exam1-spring-2023/fig10.png
The red circle on the end-tidal CO2 graph below represents which of the following?,Respiratory Baseline,Expiratory Upstroke,Inspiratory Downstroke,Alveolar Plateau,,,A,images/painanx-exam1-spring-2023/fig11.png
Statement 1: Cardiovascular monitoring is crucial during sedation because cardiovascular changes are observed well before respiratory changes. Statement 2: Cardiac arrest usually appears before respiratory arrest.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,D,
Which of the following is an acceptable range of normal for SpO2 at sea level for a patient without known pulmonary pathology?,94%-99%,95%-99%,96%-99%,97%-99%,,,B,
You are an anesthesiologist providing sedation for a patient. Which monitor will provide you with a more instantaneous assessment of your patient's respiratory status?,Pulse Oximetry,End-Tidal Carbon Dioxide,Electrocardiogram,Temperature,,,B,
"There are no distinct levels or stages of anesthesia. Each stage of anesthesia seamlessly blends to the next level, which is why practitioners intending to produce a given level of sedation should be capable of rescuing patients whose level of sedation becomes deeper than initially intended.",True,False,,,,,A,
Statement 1: Dr. Horace Wells was the first person to specialize in the field of anesthesiology. Statement 2: Dr. Horace Wells is recognized as the Founder of Anesthesiology.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,B,
What is the blood gas solubility coefficient of N2O?,0.47,3.2,0.42,0.68,,,A,
Which of the following is false regarding the properties of N2O?,It is a liquid under pressure,It requires heat for vaporization,There are no impurities present within the manufacturing of N2O,N2O is a sweet-smelling gas,,,C,
"Of the agents listed, which would you choose as an anesthesiologist if you were strictly looking for the fastest onset and fastest recovery for your patient?",Isoflurane,Enflurane,Sevoflurane,Diethyl Ether,,,C,
Statement 1: N2O is contraindicated in patients with asthma as it increases the risk of inducing bronchospasm. Statement 2: N2O is contraindicated in patients with a pneumothorax as it increases pressure in the pleural space.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,B,
Who is credited with the discovery of oxygen?,Horace Wells,William Morton,Joseph Priestly,John Collins,,,C,
The smaller holes depicted in this image represent which safety mechanism?,Pin Index Safety System,Diameter Index Safety System,Emergency Air Inlet,Quick Connect for Positive Pressure Oxygen,,,A,images/painanx-exam1-spring-2023/fig22.jpeg
What is the maximum percentage of N2O that can be administered by modern-day inhalational units?,50%,60%,70%,80%,,,C,
"The dial, circled in red, depicts what?",Regulator,Scavenger System,Oxygen Flush,Positive Pressure Valve,,,B,images/painanx-exam1-spring-2023/fig24.jpeg
"Statement #1: At the termination of N2O, the patient is to breathe 100% O2 for no less than 3-5 minutes. Statement #2: At the termination of N2O, you must titrate the O2 back slowly to 100% versus going immediately to 100% O2.",Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,A,
"During delivery of N2O at Touro Dental Health, you must record the patient's vital signs every _____ minutes and document the record of vitals within your patient's electronic health record note.",5,10,15,20,,,C,
"When an anesthesiologist administers sedation to patients 65 and older, they must consider appropriate and careful titration of intravenous sedatives as these patients represent a greater sensitivity to drugs.",True,False,,,,,A,
You are a pediatric anesthesiologist in the hospital. A 6-month-old male patient is scheduled for second-stage cleft lip repair. The case is scheduled for 7 AM. The mother reports she breastfed the patient at 4 AM. What is the earliest time this case can begin?,6 AM,7 AM,8 AM,10 AM,,,C,
Statement #1: Schedule II Controlled Substances have a high potential for abuse which may lead to severe psychological or physical dependence. Statement #2: Fentanyl is a Schedule II Controlled Substance.,Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,C,
"All of the following are true regarding benzodiazepines, EXCEPT:",Benzodiazepines are mediated by increased excitatory nerve transmission,Benzodiazepines are potential respiratory depressants,Benzodiazepines produce anterograde amnesia,Benzodiazepine dosing should be decreased in the elderly,,,A,
Flumazenil would rapidly reverse the sedative effects of which drug?,Fentanyl,Diazepam,Morphine,Propofol,,,B,
"All of the following are true regarding effects of opioid pharmacodynamics, EXCEPT:",Muscle rigidity,Constipation,Tachycardia,Miosis,Urinary Retention,,C,
"A 14-year-old female patient with a history of severe asthma is being treated in your multi-specialty dental office for a restoration on tooth #12. You have a full-time anesthesiologist on staff at your practice, however this patient did not require sedation for treatment. During your treatment, the patient begins having an asthma attack, but has brought her albuterol rescue inhaler with her and administers her regular rescue dosing. The inhaler does not resolve the symptoms and it appears she is going into bronchospasm. You call the anesthesiologist to the operatory to assist with the medical emergency. The anesthesiologist agrees with your evaluation of the patient and suspected bronchospasm and administers intramuscular epinephrine. The bronchospasm does not improve. What medication could the anesthesiologist consider administering next?",Midazolam,Ketamine,Fentanyl,Meperidine,Propofol,,B,
"A 25-year-old female patient is in your recovery room after wisdom teeth extractions with intravenous moderate sedation. You were the anesthesiologist for the case. She begins to vomit in the recovery room. You look at your anesthesia record and realize, you forgot to give the drug to help manage nausea and vomiting. Which drug should you administer intravenously in the recovery room?",Glycopyrrolate,Ondansetron,Ketorolac,Atropine,,,B,
"All of the following are true with regards to atropine, EXCEPT:",It is part of the bradycardia emergency algorithm in ACLS,Intoxication to atropine can be reversed by administering physostigmine,It acts as a competitive antagonist to acetylcholine at the preganglionic receptor,It can be used to reduce salivary secretions,,,C,
"Statement #1: A partial laryngospasm is identified by the presence of an abnormally high pitched, respiratory sound. Statement #2: A complete laryngospasm is identified by the absence of sound in the presence of spontaneous respiratory efforts.",Statement 1 is true; Statement 2 is false,Statement 1 is false; Statement 2 is true,Both Statement 1 and Statement 2 are true,Both Statement 1 and Statement 2 are false,,,C,
