title,Endodontics Quiz 1 (Spring 2019),endo,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,correct,image
What step is not taken in making a diagnosis?,the patient tells the clinician the reason for seeking help,the clinician questions the patient any symptoms and history that led to the visit.,the clinician determines a treatment plan based on the patient's description and location of pain.,the clinician performs objective clinical tests,the clinician combines objective findings with subjective details and creates a tentative differential diagnosis.,,,,,C,
Which statement is incorrect when using the term SOAP,subjective information is derived from what the patient tells us.,objective information is derived from what the clinician discovers during the examination.,assessment is the determination of the diagnosis based on subjective and objective information.,planning determines the financial arrangements that the patient will be responsible for.,,,,,,D,
What testing device in diagnosis has the highest percentage of accuracy in determining pulp vitality?,the application of heat,the application of an electric current,percussion,the application of cold,palpation,,,,,D,
An intact tooth with an area always needs root canal therapy.,True,False,,,,,,,,B,
A drawback to two-dimensional dental radiography includes:,the inability to change contrast,the inability to change angles,the inability to see defects in the cancellous bone if the cortical bone is intact,the inability to sharpen the image,,,,,,C,
The advantages of cbct imagery do not include:,examination of the tooth and surrounding tissues in three dimensions,finding hidden canals,seeing the full extent of bone loss that may be present around a root or roots,the reduction in radiation exposure compared to two dimensional digital x-rays,,,,,,D,
The most important step for a dentist planning to treat a medically compromised patient is to:,communicate with the patient's physician or physicians,take a thorough medical history,recording the patient's blood pressure,determining all the medications the patient is taking,,,,,,A,
Patient issues the dentist should be aware of when treatment planning include:,history of allergies,"history of drug interactions, adverse effects","presence of prosthetic valves, joints, stents, pacemakers etc",antibiotics required (prophylactic or therapeutic),"hemostasis (normal expected, modification to treatment)",infiltration or block anesthesia with or without vasoconstrictor,emergencies (congestive heart disease),anxiety (gagging),all the above,I,
Typical prophylactic dosages of antibiotics include:,600 mgs penicillin or 2000 mgs of clindamycin,2000 mgs of penicillin or 600 mgs of clindamycin,1200 mgs of either penicillin or clindamycin,900 mgs of clindamycin or 1800 mgs of penicillin,,,,,,B,
The number of people with diabetes today is:,about the same as it was in 1985,has substantially been reduced since 1985,has exploded today to over 12 times what it was in 1985,has marginally increased since 1985,,,,,,C,
The signs of hypoglycemia don't include:,confusion,tremors,thirst,agitation,diaphoresis (sweating),tachycardia (rapid heart beat,,,,C,
A definitive diagnosis of a peri-radicular lesion can be made only after:,biopsy,taking a periapical x-ray,taking a CBCT,culturing the contents of the root canal,,,,,,A,
Reasons for not doing endodontic retreatment include:,a cbct showing a missed canal,a tooth that had root canal therapy over 15 years ago,a tooth with an area that is getting larger,a tooth that stays persistently uncomfortable after root canal therapy,,,,,,B,
When a radiograph shows a canal disappearing as it heads apically a likely reason is:,it is getting narrower as it heads apically,the angle of the x-ray is off center and should be readjusted,the canal is splitting into 2 or more canals,there are excessive calcifications,,,,,,C,
Canals become narrower over time due to:,"physiologic aging,","pathosis,",trauma,occlusion,"the ongoing production of dentin or reparative (irregular, secondary and irritation and tertiary) dentin.",all the above,,,,F,
In searching for the pulp chamber and the canals in highly calcified teeth:,the color of dentin is lighter when the pulp tissue is underneath it,the color of dentin is darker when the pulp tissue is underneath it,the dentin is softer when the dentin is underneath it,the dentin is harder when the dentin is underneath it,,,,,,B,
Most pulp tissue has the following configuration:,round in cross section,quite wide mesio-distally,highly oval that is wider bucco-lingually than mesio-distally,of greater tapers when viewed mesio-distally,,,,,,C,
"If a vital tooth requires endodontics, instrumentation and obturation should be:",slightly over the apex,to the radiographic apex,several mm short of the apex,short of the apex by not more than 2mm,,,,,,D,
In non-vital cases instrumentation and obturation should be:,3-4 short of the apex,at or at most 2 mm short of the apex,slightly over the apex,a good 2 mm over the apex,,,,,,B,
The first objective is access that includes the following except for:,removing all caries,Conserving sound tooth structure,unroofing the pulp chamber completely,remove-ing all coronal pulp tissue (vital and necrotic),locating all root canal orifices,achieving straight-line or direct line access to the apical foramen or to the initial curve of the canal.,seeing all the canals from one point of vision,,,G,
