title,Fixed Prosthodontics Midterm Exam 2 (Fall 2019),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following are indications for a fixed prosthesis or important considerations when treatment planning for a fixed prosthesis:,The need to prevent the overeruption of opposing teeth and the drift of teeth neighboring the edentulous space.,A limited number of edentulous areas which would not otherwise be more satisfactorily restored with a removable partial denture.,Esthetics.,"Patient motivation, including time availability.",Clinical and technical ability.,All except b,All of the above.,G,
The “lost wax technique” is used for fabricating feldspathic porcelain veneers:,True,False,,,,,,B,
"When fabricating provisional restorations, the facial surfaces of teeth 8 and 9 are more convex than the facial surfaces of teeth 7 and 10:",True,False,,,,,,B,
"When preparing a ceramic inlay, the intersection of the internal and external walls should be beveled:",True,False,,,,,,B,
Which is/are NOT an indication(s) for placement of a porcelain laminate veneer:,Improve the shade of the tooth,Close a diastema,Modify the shape of tooth,Strengthen incisal biting force as compared to intact enamel,Restore all endodontically treated teeth,d and e,All ARE indications for porcelain laminate veneers,F,
A saddle pontic is the most biologically acceptable pontic because it is convex in design:,True,False,,,,,,B,
"When fabricating provisional restorations, the facial height of contour of maxillary central and lateral incisors is located in the:",Cervical 1/3,Middle 1/3,Neither,,,,,A,
"Periodontal health of the gingival tissues is a major concern when planning any fixed prosthodontic treatment. For optimal periodontal health, restoration finish lines ideally should be:",Within the sulcus at least 1.0 mm and away from the free gingival margin without encroaching on the biologic width.,Terminated at the free gingival margin.,Supragingival whenever possible.,As far as possible subgingivally.,,,,C,
Silicone dioxide is a main component of:,Clay,Quartz,Feldspar,Porcelain,"a, b and c only","All of the above, a, b, c, and d",,F,
"When treatment planning for a fixed prosthesis, which of following can NOT be obtained from diagnostic casts:",The length of the abutment teeth crowns.,The inclination of the abutment teeth.,The crown to root ratio of the abutment teeth.,"Mesial/distal drifting, rotation and faciolingual displacement can be clearly see.",,,,C,
Ceramic inlays are ideal for subgingival restorations:,True,False,,,,,,B,
The forces a fixed prosthesis applies to abutment teeth should be directed and/or modified by:,Perpendicular the long axis of the teeth.,Parallel to the long axis of the teeth.,Decreasing the buccolingual dimension of the pontic(s).,b and c,None of the above,,,D,
Extensive existing restorations are NOT a contraindication to the fabrication of porcelain laminate veneers:,True,False,,,,,,B,
The type of pontic that often necessitates surgical gingival intervention is:,Modified ridge lap,Ridge lap,Ovate,None of the above,,,,C,
The intermediate ingredient(s) in the formation of porcelain is/are:,Feldspar,Heat,Coloring agents,Leucite,All of the above,,,D,
"All of the following statements concerning pontics are true, EXCEPT one, which one is the exception:","Regarding ease of cleaning and tissue health, proper pontic design is more important than the choice of the material used in fabrication.",The contour and nature of the pontic contact with the ridge is very important.,The area of contact between the pontic and the ridge should be small.,The portion of the pontic approximating the ridge should be as concave as possible.,The pontic should not exert pressure on the ridge.,,,D,
Pressed ceramic porcelain veneers are more difficult to fabricate than feldspathic porcelain veneers:,True,False,,,,,,B,
All ceramic restorations are popular because of their superior esthetics and generally favorable gingival tissue response. The finish line of choice when fabricating an all ceramic crown is a:,90 degree shoulder,Bevel,Chamfer,a and c,,,,D,
Under which of the following conditions would the margins of a porcelain crown be placed subgingivally: 1) Esthetics requires it. 2) Dental caries involvement demands it. 3) Adequate retention requires it. 4) All porcelain fused to metal crowns should be placed subgingivally.,"1,2","1,2,3",1 only,4 only,,,,B,
"When preparing a crown on a tooth with a short occlusal/incisal to gingival length (short clinical crown), the taper of the axial walls should be:",Average,Maximal for proper convenience form,Minimal to assure maximum retention,20 degree taper,,,,C,
Direct composite veneers are indicated primarily for multiple tooth restorations because of their ease of placement:,True,False,,,,,,B,
A ridge lap pontic is ideal when there is extensive loss of maxillary anterior bone:,True,False,,,,,,A,
Porcelain strength and translucence arises mainly from the process of:,Ionic condensation,Syneresis,Vitrification,Brush heap structure,All of the above,,,C,
"In a fully dentulous patient, what occlusal relationship is most frequently used when treatment planning a fixed prosthesis?",Centric relation,Protrusive excursion,Lateral excursion,Maximal intercuspation (Centric occlusion),None of the above,,,D,
"When fabricating a provisional restoration, tooth 21 has a pointed buccal cusp and resembles the facial surface of tooth 22 in that regard:",True,False,,,,,,A,
The ideal preparation for a ceramic crown includes all of the following EXCEPT:,Adequate incisal/occlusal reduction.,Sharp mesial/incisal and distal/incisal line angles.,Shoulder or chamfer of adequate width,Axial walls of appropriate taper.,,,,B,
Progressive destruction of the periodontal tissues after insertion of a fixed prosthesis is MOST likely due to:,Type of material used to fabricate prosthesis,Trauma caused by tooth preparation,Rough surfaces and poorly fitting margins,Impression technique,,,,C,
Horizontal overlap of the anterior teeth is known as overbite:,True,False,,,,,,B,
Indirect tooth colored restorative materials are moredurable than direct composites:,True,False,,,,,,A,
"When preparing a gold onlay for tooth # 30, shoeing is used for which cusp:",Buccal,Lingual,Both cusps,,,,,B,
"When discussing pontic design, deformation is related to occluso-gingival thickness, but not buccolingual width:",True,False,,,,,,B,
"The most common ridge deformity is a Class II ridge deformity, where the ridge width is normal, but the ridge height is lost:",True,False,,,,,,B,
"When fabricating a provisional for tooth #8, the cingulum is offset towards the mesial:",True,False,,,,,,B,
"When fabricating a porcelain laminate veneer, it is necessary to round all prepared line angles to reduce stress concentration which could lead to fracture:",True,False,,,,,,A,
Porcelain laminate veneers are less likely to wear the opposing dentition than a direct composite restoration:,True,False,,,,,,B,
Indirect composite restorations have _______ compared to direct composite restorations:,Fewer marginal voids,Less microleakage,Less postoperative sensitivity,More polymerization shrinkage,"a, b and c only",All of the above,,E,
