title,Periodontics I Midterm Exam (Spring 2017),perio1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
The boundaries of the attached gingiva are:,Mucogingival junction and vestibule,The gingival margin and mucogingival junction,The gingival margin and free gingival groove,Mucogingival junction and free gingival groove,Always the same as the boundaries of keratinized gingiva,D,
The mucogingival junction appears,facially and palatally in the maxillary gingiva,Only palatally in the maxillary gingiva,Only facially in the maxillary gingiva,Neither facially or palatally in the maxillary gingiva,Only facially in the mandibular gingiva,C,
The alveolar mucosa,appears Pink and movable,is firmly bound down to the underlying bone,"appears red, movable with a smooth and shiny surface",Blends imperceptibly with attached gingiva,Has no boundaries,C,
Which is a characteristic of the interdental “col”?,Conforms to the shape of the interproximal contact area,Exists when a diastema is present,Composed of alveolar bone only,Is located outside the gingival embrasure,Exists only in health,A,
Which statement is incorrect with respect to a healthy gingival sulcus?,space exists between the tooth surface and the marginal gingiva,Interproximally its depth is up to 3mm,The depth of the sulcus is measured with a periodontal probe,May bleed upon gentle probing,,D,
All of the following are true of fibrotic gingiva except:,Tissue may appear healthy,Stippling may return,Occurs due to acute inflammation,Consistency is firm,May be seen in smokers,C,
Which statement about the Free Gingival Groove is false?,it is approximately 1mm wide,It occurs least frequently in the mandibuar molar and maxillary premolar regions,It is seen in 75% of adults,It occurs most frequently in the mandibuar incisor and premolar regions,,C,
The 2 primary processes involved in the formation of dental plaque,Aggregation and matrix formation,Adherence and growth,Interbacterial and host nutritional intake,Pellicle formation and environmental forces,Aggregate and environmental forces,B,
Plaque accumulation has a direct effect on,The severity of periodontitis,The severity of gingivitis,The level of material alba,The amount of tooth mobility,,B,
Calculus formation may:,Occur in the absence of plaque and has a primary role in the development of gingivitis,be the primary cause of periodontitis and requires the presence of bacteria,Occur in the absence of plaque and doesn't have a primary role in the development of gingivitis,does not occur in the absence of plaque and has no role in the development of gingivitis,,C,
Which is not true regarding collagen in the PDL?,Type XIII occurs in the PDL when the ligament is not in function,Types I and III make up 95% of the collagen,Type I is uniformly distributed,"Type III is involved with collagen turnover, tooth mobility, &collagen fibril diameter",Types IV and VII are associated with epithelial cell rests and blood vessels,A,
Which statement is true?,The anatomic and clinical crown is covered by enamel,The anatomic root is covered by cementum while the clinical root is covered by periodontal tissue,The clinical crown is 1/3 of the anatomic crown,,,B,
The main blood supply to the free gingiva is supplied from,PDL arterioles,Interdental arterioles,Supraperiosteal arterioles,Cementum arterioles,,C,
Which of the following is true regarding the texture of the gingiva?,Stippling is always present in attached gingiva,healthy free gingiva is stippled,Stippling is produced by protuberances and depressions in the gingiva,Does not vary with age,,C,
Which of the following statements is NOT a characteristic finding in healthy gingiva?,Increased flow of GCF,The depth of the gingival sulcus is greater than 3mm,Absence of JE rete pegs,Small numbers of PMN's in the JE lamina propria,,B,
Which of the following statements is NOT a characteristic of the PDL?,Neural crest origin,Decreases in width with increasing age,Contains well defined mature elastic fibers,Is wider at the crest,,C,
The cortical plate of mandibular bone is?,Thinnest along the lingual surface,Thinnest along the posterior buccal surface,Thinnest along the anterior buccal surface,Always of uniform thickness,,C,
The major function of acellular extrinsic fiber cementum (AEFC) is to:,maintain the width of the PDL space,attach the PDL to the cementum,cover the apical third of the roots and in the furcations,cover the cervical portion of the enamel,,B,
The mature tooth precementoblasts derives from:,restz of mallassez,vascular precursors,stem cells in the PDL and/or bone marrow,bone marrow only,osteoblasts,C,
Which of the following statements about gingival CT is incorrect?,it is derived from neural crest ectomesenchyme,"it contains well organized, functionally oriented collagen bundles","it contains Types I, III, IV, V, VI, and VII collagen",it has a high rate of turnover,,A,
What is not true regarding Keratinocytes,they undergoe continuous differentiation from basal layer to surface epithelium,they maintain a capacity for production of protein,they can divide once it has left the basement membrane,"they produce Keratin which protects against friction, microbial invasion, and desiccation",,C,
What is false about Oral Sulcular Epithelium?,it is poorly stratified,it has a permeability barrier,It is not cornified,it has decreased specialization for attachement,,B,
What is false regarding Junctional Epithelium,develops from enamel organ,attaches to tooth surface via desmosomes and internal basal lamina,no permeability barrier,pathway for transmigration of PMN's to sulcus,,B,
"In health, which area has the most amount of attached gingiva",Mandibular Anterior Facial,Maxillary First Premolar area,Maxillary Anterior Facial,,,C,
in the findings of the Tarnow Study (1992) of distance between contact point and crest of bone - which is false?,The papilla was always complete when the distance was <5mm,"When the distance was 6mm, the pappila was complete in in 25% of cases",When the distance was >7mm the pappilla was incomplete in  75% of cases,None of the above,,B,
The consistency of healthy gingiva,hard and stiff,firm and resilient,soft and pliable,none of the above,,B,
What is a sufficient zone of attached gingiva,"Total gingival width is 6mm, with 3mm sulcus depth","Total gingival width is 7 mm with 7 mm of sulcus depth,","Total gingiva width is 3mm, with 4mm of sulcus depth",Sulcus depth plays no role in amount of attached gingiva,,A,
Which is not a clinical sign of gingivitis?,exudate,swelling,bleeding,redness,tooth mobility,E,
A Periodontal pocket extending apically beyond alveolar crest is known as:,a gingival pocket,an infrabony pocket,a suprabony pocket,a pseudo pocket,,B,
"A periodontal pocket caused by enlargement of marginal gingiva, without migration of JE (junctional epithelium) is a:",pseudopocket,true pocket,infrabony pocket,suprabony pocket,3-walled pocket,A,
What is false about free gingiva,it is easily retractable,it is continuous with attached gingiva,it includes marginal gingiva,it is not attached to teeth,,A,
What is true about the mucogingival junction?,separates alveolar mucosa from attached gingiva,separates lining mucosa from masticatory mucosa,does not remain stable throughout life in relation to the lower border of the mandible,all of the above,,A,
Which is not a feature of a Suprabony Pocket?,Base of pocket is coronal to bone,Transseptal fibers are restored horizontally,There is angular bone loss,PDL fibers follow a horizontal pattern,,C,
What is false regarding tooth mobility?,If a tooth has mobility that is just perceptible it is classified as Miller's Class 1,It can be caused by hormonal changes,It can't be due to a periapical abscess,Single rooted teeth often have greater mobility than multiple-rooted teeth,,C,
What is false regarding Epidemiologic Indices?,They overestimate the true clinical condition,They are used for statistical analysis,They need to define clinical conditions objectively,They must be reproducible,,A,
Which of the following are contents of a periodontal pocket?,GCF,Desquamated epithelial cells,PMN's,a and c,All of the above,E,
Which of the following is not one of the Limitations of Radiographs?,Crater and dense bone will not show up,Radiographs reveal major destructive changes in bone,Changes in angulation,Distortions,,B,
Which is not true regarding Supragingival Calculus?,Frequently hard and dense,does not absorbs pigments and tobacco stains,Located coronal to the gingival margin,It is a contributing factor to disease progression,,B,
