title,Oral Diagnosis & Oral Medicine Final Exam (Summer 2020),oralmed,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"When administering an inferior alveolar nerve block, which local anesthetic should you avoid?",4% articaine,2% lidocaine,0.5% bupivicaine,3% mepivacaine,,,,A,
Which of the following categories of tooth wear is INCORRECTLY matched with the etiology for each patient?,Abrasion: A fisherman who holds her hook between her teeth presents with a circular defect between centrals,Attrition: An aggressive tooth-brusher presents with worn away incisal edges due to excessive occlusal brushing,Erosion: A patient recovering from an eating disorder in which they purge by vomiting presents with “cupped out” cusp tips caused by excessive acid in their mouth,Abfraction: A patient who has worn through 5 occlusal night guards presents with a cervical wedgeshaped defect,,,,B,
Which of the following is the definition of dependence?,"When the body accommodates to the influences of a drug, and on sudden discontinuation, the patient experiences withdrawal syndrome that includes reactions opposite those produced by a particular drug",Greater doses are required to produce the same intensity of effect formerly provided by a smaller dose,"A compulsive behavior centered on seeking a drug and its effects for nonmedical reasons, generally pleasure",,,,,A,
Burning mouth syndrome (BMS) patients are frequently seen by various clinicians and many tests are performed in the hope of finding an underlying physical cause for the burning.,True,False,,,,,,A,
If a patient were otherwise healthy at what blood pressure reading should you defer elective dental care?,180/110,160/100,140/90,170/105,,,,A,
Statement 1: Dental anomalies are fun observations for dentists and do not need to be recorded in the patient’s chart as they have no clinical significance. Statement 2: It is possible that a patient presents with more than one dental anomaly as some anomalies are associated with others.,"Statement 1 is true, statement 2 is true","Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true","Statement 1 is false, statement 2 is false",,,,C,
It has been shown that the risk for occurrence of a serious preoperative cardiovascular event is increased in patients who are unable to a meet a:,4-MET demand during daily activity,5-MET demand during daily activity,6-MET demand during daily activity,7-MET demand during daily activity,8-MET demand during daily activity,,,A,
Which of the following are signs of increased serum concentrations of lidocaine?,Paresthesia,Drowsiness,Muscle twitching,Convulsions,Coma,Cardiovascular/respiratory collapse,All of the answer choices,G,
Primary burning mouth syndrome is known to be caused by:,Bacteria,Virus,Fungus,None of the answer choice,,,,D,
A patient is taking warfarin and needs an extraction.  You will need to order an INR prior to proceeding with the extraction. Which number represents the level below which it is considered safe to perform the procedure?,Less than 2.5,Less than 3.5,Less than 4.5,Less than 5.5,,,,B,
Pseudoallergic reactions are always mediated by T cells and or B cells.,True,False,,,,,,B,
A diagnosis of primary burning mouth syndrome often predicts the development of squamous cell carcinoma or other cancers.,True,False,,,,,,B,
The incidence of allergic reactions to local anesthetics in general dental practice is high.,True,False,,,,,,B,
Which of the following is true of microdontia?,Associated with hyperdontia,"True generalized microdontia occurs when the teeth are within normal limits but the jaw is small, making the teeth appear smaller",“Peg laterals” are never bilateral,Lateral incisors and third molars are the most commonly involved teeth,,,,D,
What is the Food and Drug Administration’s maximum daily dose of acetaminophen?,1g,2 g,3 g,4 g,,,,C,
Which of the following can be used as an alternative medication to achieve local anesthesia for those patients who have an allergy to the local anesthetics typically used in dental practice?,Diphenhydramine (Benadryl),Acetylsalicylic acid (Aspirin),Ibuprofen (Advil),Acetaminophen (Tylenol),,,,A,
Identification of clubbing of the digits is most likely to be directly associated with:,Cardiopulmonary insufficiency,Cirrhosis,Presence of malignancy,Infective endocarditis,Ameloblastoma,,,A,
Which of the following is true regarding an enamel pearl/enameloma,Presents no periodontal challenges,Occurs near furcation of maxillary or mandibular molars,Never contain a pulp horn,Never detected on radiographic exam,,,,B,
Primary burning mouth syndrome may include:,Burning sensation,Taste changes,Feeling of dry mouth,All the answer choices,,,,D,
Major anaphylactoid reactions to medications should be managed with:,Diphenhydramine (Benadryl),Lidocaine,Epinephrine,,,,,C,
"You have administered prilocaine to your 16 y.o. patient for her extractions with nitrous oxide.  You have given several injections as you were having difficulty obtaining adequate anesthesia.  She now appears cyanotic, what are you considering?",Respiratory depression from delivery of nitrous oxide,Methemoglobinemia,,,,,,B,
Which of the following is/are used to treat angina pectoris?,Nitroglycerin,Beta-adrenergic blocking agents,Calcium channel blockers,Nitroglycerin and Beta-adrenergic blocking agents,Nitroglycerin and Calcium channel blockers,All the answer choices,,F,
Which of the following is true of dentinogenesis imperfecta?,There are multiple genes involved in this process,There is only one radiographic presentation,Affected teeth are less prone to wear,The condition can be inherited,,,,D,
Primary burning mouth syndrome is more common in men compared to women.,True,False,,,,,,B,
Type A reactions include true allergic reactions to medications.,True,False,,,,,,B,
What is the name of the condition depicted in the clinical image below:,Burning Mouth Syndrome,Kaposi Sarcoma,Geographic Tongue,Transient lingual papillitis,Recurrent intraoral herpes simplex,,,C,
"True or false, the condition picture in question #26 is a malignant lesion",True,False,,,,,,B,
Which answer best describes the picture below:,Pigemented macule,Exophytic papule,Fluctuant nodule,Erythematous plaque,Herpetiform ulcer,,,A,
The abnormality in the clinical image below most likely represents a:,Squamous cell carcinoma,Mucocele,Herpes labialis,Pleomorphic adenoma,Aphthous ulcer,,,E,
What treatment recommendations can you make for the patient picture in question #29,Chemotherapy,Excision,Enucleation,Corticosteroids,Antifungal treatment,,,D,
