title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2020),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following statements regarding alveoplasty procedures is FALSE?,Simple alveoplasty utilizes a buccal flap to adequately expose the buccal bone.,Intraseptal alveoplasty does not utilize a buccal flap to expose the buccal bone.,A disadvantage of an intraseptal alveoplasty is that the ridge width is lessened.,A simple alveoplasty works well to contour irregularities of the buccal bone.,Alveoplasty procedures must be utilized to eliminate all bony undercuts.,,E,
"Whenever a tuberosity reduction is performed, bone and soft tissue must both be removed.",This statement is TRUE.,This statement is FALSE.,,,,,B,
Which of the following statements regarding the removal of inflamed fibrous hyperplastic soft tissue such as an epulis is FALSE?,"When a small, well-localized area of fibrous hyperplasia is excised, simple closure of the mucosal wound margins should be performed.","When a large area of inflammatory fibrous hyperplasia is excised, primary closure of mucosal tissues would result in reduction or elimination of the labial vestibule.","When a large area of inflammatory fibrous hyperplasia is excised, supraperiosteal removal followed by suturing of the mucosal edge to the periosteum at the depth of the vestibule should be performed to preserve the labial vestibule.",The amount of tissue excised determines the depth of the labial vestibule.  Suture technique does not have any effect on this depth.,,,D,
"Which of the following statements (A, B, C, D) about frenectomy procedures is FALSE?",This procedure may be done with a laser.,Suture techniques can influence the final result.,The Z-plasty technique involves additional incisions after the frenum is excised with the intent of decreasing loss of vestibular depth.,Frenectomy may be useful in reducing denture displacement.,"None of the statements (A, B, C, D) are FALSE. All of the statements (A, B, C, D) are TRUE.",,E,
"Which of the following statements regarding the Transpositional Flap Vestibuloplasty, also known as the Lip Switch Procedure, is NOT TRUE?",Bone height of at least 5 mm is required for this procedure to be useful.,"If adequate lingual vestibular depth is not present, this procedure will not be useful.",This procedure involves a supra-periosteal dissection along the anterior aspect of the mandible.,The exposed labial tissue heals by secondary intention.,Disadvantages of the procedure include possible relapse and vestibular scarring.,,A,
Which of the following statements regarding Immediate Denture techniques for a full upper denture is FALSE?,Posterior teeth should be extracted initially with adequate time allowed for healing prior to denture fabrication.,Immediate Dentures allow patients to maintain their anterior teeth for esthetic and psychological benefits until their dentures are inserted.,Final ridge form is simulated by removing the teeth to be extracted on the final models prior to denture fabrication.,This technique can utilize either digital or conventional analog impressions.,Dentures should be inserted and adjusted when the anterior teeth are removed and then left out for at least one week to allow for healing.,,E,
"Which of the conclusions to the following sentence are FALSE: The purpose of this course is to teach dental students about Oral and Maxillofacial Surgery so that as general practitioners, you can:",understand what oral surgical treatments are available for your patients.,understand the risks and benefits of oral surgical procedures that your patients may undergo.,understand the post-operative course for your patients following various oral surgical procedures.,perform any oral surgical procedure that your patients may need.,talk to your patients about oral surgical procedures.,,D,
Which of the following statements about obtaining a medical history is FALSE?,Asking questions that seem redundant may yield different information.,Medical history should be updated for all patients once a year.,Asking age-appropriate questions to children and adolescents when they are separated from their parent/guardian may yield important information that was not obtained from the parent/guardian.,Patients’ health literacy must be considered when interpreting answers.,Patients may realize secondary gain by misinforming the history taker.,,B,
"It’s 3 months from now and (hopefully) you are seeing your first TDH clinic patient.  They get impatient waiting for the elevator so they take the stairs.  They climb one flight, stopping along the way.  They continue to clinic on the elevator. You question them and learn that they have coronary artery disease with stents placed 3 months prior.  They also have poorly controlled diabetes. Which ASA classification describes this patient:",ASA I.,ASA II.,ASA III.,ASA IV.,ASA V.,,C,
Which of the following does NOT have an effect on a patient’s hemostasis status?,Type I diabetes.,Chemotherapy.,Use of NSAIDs such as ibuprofen.,Liver disease.,Heparin given during renal dialysis.,,A,
"Which of the following statements (A, B, C, D) is TRUE?",Target specific oral anticoagulants should always be discontinued prior to performing dental extractions.,Patients on antiplatelet therapy such as baby aspirin (81 mg) and/or clopidogrel should always stop these medications prior to undergoing dental extractions.,Warfarin should always be discontinued 3 days prior to dental extractions.,Patients on heparin for dialysis should always have their INR checked prior to undergoing extractions.,"None of the statements (A, B, C, D) are TRUE. All of the statements (A, B, C, D) are FALSE.",,E,
Which of these statements regarding platelets is FALSE?,Patients may have bleeding issues after extractions due to quantitative problems with their platelets.,Patients may have bleeding issues after extractions due to qualitative problems with their platelets.,"Normal platelet count ranges from 150,000 to 450,000 platelets per microliter of blood. If a patient has fewer than 100,000 platelets per microliter, platelet transfusions should be given before extractions or abnormal bleeding will occur.",Timing of surgical procedures for patients with a history of qualitative platelet issues may be critical as this condition is often episodic.,Administration of DDAVP and/or corticosteroids may increase platelet levels.,,C,
"The following management techniques are all recommended when treating diabetics, EXCEPT:",Administration of prophylactic antibiotics before all surgical procedures.,Preference for patients to have mild to moderate hyperglycemia rather than hypoglycemia during surgical procedures.,Delay elective surgical procedures until poorly controlled diabetic patients are better controlled.,Patients’ insulin doses should be adjusted based on pre-op intake and anticipated post-op intake.,"Patients should be observed for signs of hypoglycemia during procedures.  These signs may include hypotension, hunger, drowsiness, nausea, diaphoresis, tachycardia, and mood change.",,A,
Which of the following statements pertaining to HIV+ patients is TRUE?,About 1/5 of HIV+ patients have a decreased platelet count which puts them at significant risk of bleeding during and/or after oral surgical procedures.,Prophylactic antibiotics should be administered to all HIV+ patients prior to oral surgical procedures because they have an increased risk of developing post-operative infections.,Prophylactic antibiotics should be administered to HIV+ patients with a CD4+ T cell count <700 prior to oral surgical procedures.,Prophylactic antibiotics should be administered to HIV+ patients with a neutrophil count <500 prior to oral surgical procedures.,A decision to administer prophylactic antibiotics to HIV+ patients prior to oral surgical procedures should be based solely on their HIV status and should not take into account any other conditions that they may have.,,D,
"All of the following are potential risks or problems with unnecessary prescribing of antibiotics, EXCEPT:",Adverse reactions.,Allergic reactions.,Gastrointestinal issues.,Development of resistant organisms.,Cost.,All of these are potential risks or problems.,F,
Which of the following statements regarding the management of patients who are having or have had chemotherapy or radiation therapy is TRUE?,Patients who are having or have had chemotherapy or radiation therapy all have the same risk for developing infections following oral surgical procedures.,Patients who have had radiation treatment are more prone to infections including ORN (osteoradionecrosis) following oral surgical procedures in the maxilla than the mandible.,Patients with a history of chemotherapy will generally exhibit a reduction or elimination of their risk for infection following oral surgical procedures after the chemotherapy is stopped and their hematopoietic system has been allowed to recover.,The risk of infection following oral surgical procedures in patients who have had radiation therapy is not related to the dose or field of the radiation.,"In patients undergoing pre-irradiation extractions, the teeth should be removed as simply as possible without reduction of sharp areas and without achieving primary soft tissue closure.",,C,
Which of the following statements made by an asthmatic patient may make you think that they are at increased risk of having an “asthma attack” during treatment?,“The frequency of my asthma attacks has decreased since I was a child.”,“I have never needed to go to the Emergency Room for my asthma.”,“My asthma attacks only occur when I exercise.”,“I have only been intubated for my asthma twice in the past year.”,None of these statements would make you think that your patient is at increased risk of having an “asthma attack”.,,D,
Which of the following statements is FALSE?,It may be problematic if a patient’s blood pressure and/or heart rate is significantly higher or lower than their baseline values.,Patients with congestive heart failure should not be placed in the supine position.,Epinephrine may increase a patient’s heart rate and/or blood pressure.,"If a patient tells you that they had cardiac stents placed, you know that they had a myocardial infarction.",Patients with atrial fibrillation are often anticoagulated.,,D,
What is the most important piece of information to gather during your patient assessment directly from your patient?,Chief complaint/concern.,Extraoral Exam.,Intraoral Exam.,Panoramic Radiograph.,Periapical Radiographs.,,A,
In which of the following scenarios is extraction NOT indicated?,Tooth 9 which is class I mobile due to traumatic occlusion.,Tooth 19 retained root tips with PAR increased from 6 months prior.,Tooth 29 with pulpal necrosis and the patient refuses endodontic treatment.,Tooth 6 with class III+ mobility and chronic severe localized periodontal disease.,Tooth 32 with associated operculum and pericoronitis.,,A,
In which of the following patient scenarios would an extraction be possibly contraindicated?,72-year-old male with a recent history of stage IV oropharyngeal cancer who had head and neck radiation therapy in the area of the maxilla and mandible 10 months ago.,28-year-old female with pericoronitis of tooth 17 who is 8 weeks pregnant (i.e. in her first trimester).,56-year-old male with a history of coronary artery disease and now controlled hypertension on enalapril and aspirin.,A & C.,A & B.,All of the above.,E,
"Please assess this scenario and determine whether this would be a complicated or uncomplicated tooth extraction: 33-year-old female, otherwise healthy, presents with a partial bony impacted tooth 16. There is a distal operculum with some localized irritation and one of the mesial cusps is visible.",Complicated.,Uncomplicated.,,,,,A,
"Please assess this scenario and determine whether this would be a complicated or uncomplicated tooth extraction: 62-year-old male, with controlled type II diabetes, presents with severe pain on tooth 24. It has deep periodontal pocketing with bleeding on probing and has class III mobility.",Complicated.,Uncomplicated.,,,,,B,
Please assess this scenario and determine whether this would be a complicated or uncomplicated tooth extraction: 87-year-old male who has a cardiac pacemaker and is on warfarin. His INR is 2.3. He presents with asymptomatic but grossly carious tooth 30. There is no crown structure left and the tooth was previously endodontically treated. It is deemed nonrestorable and indicated for extraction.,Complicated.,Uncomplicated.,,,,,A,
"When extracting anterior maxillary or anterior mandibular incisors, what directional forces do you put on the tooth when using your forceps to deliver the tooth?",Buccal.,Apical.,Rotational.,A & B.,A & C,B & C,F,
On which of the following teeth is it CONTRAINDICATED to use a cowhorn forceps during extraction?,Tooth 18.,Tooth 19.,Tooth 30.,Tooth 31.,Tooth 32.,,E,
You have completed an extraction of tooth 19 on a 47-year-old patient. You notice that the buccal cortical plate has an area of sharpness. Which of the following instruments should you use to smoothen the sharp area?,Bone file.,Rongeur.,Currette.,A&B.,A&C.,All of the above.,D,
Which of the following instruments are specifically used for cheek retraction?,Weider.,Seldin.,Minnesota.,A&B.,A&C.,B&C.,F,
