title,Oral Pathology Exam 2 (Spring 2020),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Based on the Intro to Salivary Gland Disease presentation, which of the following salivary gland diseases is considered congenital?",Salivary gland aplasia,Acute sialadenitis,Necrotizing sialometaplasa,Sjogren syndrome,Mucoepidermoid carcinoma,Pleomorphic adenoma,Chronic sialadenitis,A,
Which of the following represents benign neoplasia?,Salivary gland aplasia,Acute sialadenitis,Necrotizing sialometaplasa,Sjogren syndrome,Mucoepidermoid carcinoma,Pleomorphic adenoma,Chronic sialadenitis,F,
Which of the following represents the appropriate treatment for mucoceles?,Salt water rinses and massage,Local excision with adjacent glands and duct,Aspiration of fluid content with close clinical follow-up,Culture and sensitivity and indicated antibiotic,Simple rupture and observation,,,B,
In which glands does sialolithiasis most commonly occur?,Equal distribution,Sublingual glands,Submandibular glands,Parotid glands,Minor salivary glands,,,C,
"All of the following are appropriate treatment modalities for sialolithiasis, EXCEPT one. Which one is the EXCEPTION?",Surgical excision,Extracorporeal shockwave lithotripsy,Evaluation of gland function to determine if it should be removed as well,Retrograde high-speed sub-sonic water jet,,,,D,
"With which the following disease processes do the following clinical features most align? Diffuse, painful, tender and often unilateral swelling, associated with overlying skin warmth and erythema, and a low-grade fever.",Salivary gland aplasia,Acute sialadenitis,Necrotizing sialometaplasa,Sjogren syndrome,Mucoepidermoid carcinoma,Pleomorphic adenoma,Chronic sialadenitis,B,
The Shirmer 1 Test is primarily used in the diagnosis of:,Salivary gland aplasia,Acute sialadenitis,Necrotizing sialometaplasa,Sjogren syndrome,Mucoepidermoid carcinoma,Pleomorphic adenoma,Chronic sialadenitis,D,
One of the following diseases is associated with an increased risk of developing lymphoma. Which disease is it?,Salivary gland aplasia,Acute sialadenitis,Necrotizing sialometaplasa,Sjogren syndrome,Mucoepidermoid carcinoma,Pleomorphic adenoma,Chronic sialadenitis,D,
"From the assigned publication.  All of the following diseases were considered in the differential diagnosis of the asymptomatic, blue, dome-shaped lesion of the patient’s buccal mucosa, EXCEPT one.  Which one is the EXCEPTION?",Hematoma,Blue nevi (singular is nevus),Hemangioma,Kaposi sarcoma,Squamous cell carcinoma,,,E,
From the assigned publication.  Mucoepidermoid carcinoma is known to clinically mimic mucoceles.,True,False,,,,,,A,
"From the assigned publication.  All of the following modalities were discussed as part of the management of mucoepidermoid carcinoma, EXCEPT one.  Which one is the EXCEPTION?",Chemotherapy,Post-operative radiation,Neck dissection,,,,,A,
"All of the following are completely comprised of mesenchymal tissues, EXCEPT one. Which one is the EXCEPTION?",Extracellular matrix,Salivary gland acinar elements,Liopmatous tissue (adipose),Neural tissue,Vascular tissue,Muscular tissue,,B,
From which type of tissue is Kaposi sarcoma primarily derived?,Extracellular matrix,Salivary gland acinar elements,Liopmatous tissue (adipose),Neural tissue,Vascular tissue,Muscular tissue,,E,
Which tissue type is most likely to demonstrate a yellow hue?,Extracellular matrix,Salivary gland acinar elements,Liopmatous tissue (adipose),Neural tissue,Vascular tissue,Muscular tissue,,C,
What is the most common location for the fibroma to develop?,Buccal mucosa,Labial mucosa,Hard palate,Tongue,Gingiva,,,A,
The giant cell fibroma occurs more commonly compared to the typical fibroma.,True,False,,,,,,B,
"The epulis fissuratum commonly occurs in patients WITHOUT removable oral prosthetics (dentures, complete or partial).",True,False,,,,,,B,
Inflammatory papillary hyperplasia is ALWAYS associated with C. albicans.,True,False,,,,,,B,
Epulis granulomatosa is most similar to:,Pyogenic granuloma,Fibroma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,Giant cell fibroma,,,A,
Which of the following diagnoses may warrant a further work-up for hyperparathyroidism?,Pyogenic granuloma,Fibroma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,Giant cell fibroma,,,D,
Which of the following is LEAST likely to recur?,Pyogenic granuloma,Fibroma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,Giant cell fibroma,,,E,
Which of the following is MOST likely to have calcified tissue identified on histopathologic examination?,Pyogenic granuloma,Fibroma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,Giant cell fibroma,,,C,
Which of the following is MOST likely to present with a report of pain?,Traumatic neuroma,Granular cell tumor,Palisaded encapsulated neuroma,Schwannoma,Neurofibroma,,,A,
Which of the following is MOST likely to present with a history of trauma?,Traumatic neuroma,Granular cell tumor,Palisaded encapsulated neuroma,Schwannoma,Neurofibroma,,,A,
Which of the following demonstrates histopathological findings that may include Verocay bodies?,Traumatic neuroma,Granular cell tumor,Palisaded encapsulated neuroma,Schwannoma,Neurofibroma,,,D,
Both neurofibromatosis 1 and multiple endocrine neoplasia 2B are life threatening syndromes that may initially be diagnosed based on findings in the oral cavity.,True,False,,,,,,A,
Which of the following demonstrates histopathological findings that may include pseudoepitheliomatous hyperplasia?,Traumatic neuroma,Granular cell tumor,Palisaded encapsulated neuroma,Schwannoma,Neurofibroma,,,B,
The congenital granular cell lesion must be completely excised in order to prevent recurrence.,True,False,,,,,,B,
Which syndrome is associated with the development of malignant peripheral nerve sheath tumors?,Sjogren syndrome,Neurofibromatosis 1,Multiple endocrine neoplasia 2B,,,,,B,
What is the term for the granulation tissue emanating from an abscess that forms a papule or a nodule?,Parulis,Epulis granulomatosum,Abscess,Fistula,Stoma,,,A,
Lipomas must be excised as they may rarely transform into liposarcomas.,True,False,,,,,,B,
"All of the following are present at birth, EXCEPT one.  Which one is the EXCEPTION?",Hemangioma of infancy,Rapidly involuting congenital hemangioma,Non-involuting congenital hemangioma,Congenital granular cell lesion,,,,A,
Which of the following may be treated with a beta blocker medication?,Hemangioma of infancy,Rapidly involuting congenital hemangioma,Non-involuting congenital hemangioma,Congenital granular cell lesion,,,,A,
"All of the following are features of Sturge-Weber Angiomatosis, EXCEPT one.  Which one is the EXCEPTION?",Port wine stains,Leptomeningeal angiomas,Intracranial “tramline” calcifications,Pyogenic granuloma-like lesions,Angiosarcoma,,,E,
Cystic hygroma is a type of:,Lymphatic malformation,Capillary malformation,Venous malformation,Arteriovenous malformation,Combined malformation,,,A,
What is the most common oral location for an osseous or cartilaginous choristoma?,Buccal mucosa,Labial mucosa,Hard palate,Tongue,Gingiva,,,D,
Most soft tissue sarcomas of the oral cavity are managed adequately by chemotherapy.,True,False,,,,,,B,
Which virus is associated with the development of Kaposi sarcoma?,HHV-8,HSV-1,HSV-2,HHV-3,EBV,,,A,
Which of the following represents the most common site for metastasis to the oral soft tissues?,Buccal mucosa,Labial mucosa,Hard palate,Tongue,Gingiva,,,E,
