title,Practice Management I Exam 1 (Spring 2019),pmgmt1,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
What do dentists agree to accept under the terms of a PPO contract?,A specified fee schedule as payment for covered services.,A specific percentage discount off their usual charges.,The administrator's determination of covered services.,All of the above are correct.,,D,
All of the following are credited with promoting PPO growth EXCEPT:,Preferred per capita payment system.,Increased demand from purchasers,Expanded recruitment efforts.,Widespread acceptance of providers.,,A,
The methodology used to develop PPO fee schedules is dependent on which of the following?,The education level and credentials of the provider network.,The administrator's corporate strategy and goals for its PPO product.,Past trends that create the basis for current economic models.,The influence of the American Dental Association's CDT codes.,,B,
What problem may a dentist encounter when administrators do not permit patients to assign payment (known as assignment of benefits) to an out - of - network dentist?,Dentists have difficulty collecting from some patients.,The patient may receive the check and find other uses for the money.,Cheating dentists are commonplace in the PPO market.,Both “a” and “b” are correct answers.,,D,
"In PPOs, which of the following helps steer participants to network dentists?",Lower participant coinsurance and deductibles.,Higher annual and lifetime maximums.,A and b are correct.,None of these.,,A,
The combination of reduced benefits and higher fees are powerful disincentives for patients to seek treatment from __________.,in-network providers,out-of-network providers,point-of-service plans,exclusive provider organizations,,B,
These features would identify an indemnity or point-of-service (POS) plan.,Combination of networks.,Members can choose any dentist.,Benefit level and provider reimbursement vary.,All of the above are correct.,,D,
Patient advantages from receiving care from a PPO in-network dentist are,Usually lower fees than out-of-network dentist,Lower copayments for services,Fixed benefit level for most fees,All of the above,,D,
Financial incentives for dentist accepting capitalization plans,Higher copayments,Fixed per capita fee delivered monthly,Higher copayments for hygiene visits,Higher deductible collection,None of the above,B,
"In evaluating participation in PPO &Managed Care plans, failure to understand nuances can result in:",Erroneous assumptions.,Flawed analysis.,Error-ridden purchasing decisions.,All of the above are correct.,,D,
What term is most commonly discussed and used to measure claims paid to network dentists?,Average network discount.,Effective discount.,"Usual, customary &reasonable.",Specific percentile.,,C,
"Under a PPO plan, which of the following variables may change if a member uses an out-of-network dentist?",Coinsurance.,Deductibles.,Dentist charges.,All of the above,,D,
What do PPO plans include to push members toward in-network providers?,Richer benefits.,Financial incentives.,Lower contracted fees.,All of the above.,,D,
Jessie and Patricia are members of a PPO plan. Jessie sees an in-network dentist while Patricia continues to see a dentist outside the network. Both pay 20 percent of allowable charges. Which of the following accounts for Jessie paying less out of pocket than Patricia?,Jessie pays 20 percent of a lower contracted fee.,Patricia pays 20 percent of the full charge for services.,Patricia violates the rules of the dental benefits plan.,Both “a” and “b” are correct.,,D,
What is the key characteristic of PPO plan?,volume of patients,Advertisement of the dental practice,Filled unoccupied chair time,All of the above,,D,
Members that switched from DHMO plans to join PPOs did so because of:,Premium savings.,Larger networks and fewer complaints.,Higher cost of dental services.,None of the above is correct.,,B,
DHMOs are designed to be __________ dental plans.,Higher monthly cost,Low cost,High copays,More selection of dentist,,B,
"True or False: In a “closed panel” dental plan, patients have access to benefits when they seek care from a dentist not in the network.",True,False,,,,B,
What type of patients are known to overutilize a DHMO plan?,Fast food workers,School Teachers,Factory workers,Truck drivers,,B,
Well-designed dental plans create incentives for patients to do all of the following EXCEPT:,Maintain oral health by receiving regular dental care.,Treat disease at the earliest possible time.,Hold dentists accountable for patient neglect.,Be vigilant in daily oral health regimens.,,C,
The Birthday Rule:,Coordinates benefits between two Insurance companies,Coordinates benefits between two dental providers,Coordinates benefits between similar dental services,All of the above,None of these,A,
The Agencies that administer the ADEX examinations are:,SERTA,CDCA,CITA,WREB,B and C,E,
OSHA,Is an environmental organization that protects patients,Is a state agency that issues licenses and permits.,Is an agency the promotes safety in the workplace.,Is an agency that monitors insurance companies.,None of these,C,
The National Data Bank is,A federal agency for drug enforcement,A state agency for insurance solvency,A national repository of adverse disciplinary actions,A collection agency for collection of debt,,C,
The members of the American Board of Dental Examiners (ADEX) are primarily,Professors from American dental schools,Members of the American Dental Association,Members of State Boards throughout the United States,Professional examiners in the U.S.,None of these,C,
