title,Pathomedicine Exam 5 (Fall 2023),patho,exam5
question,option_a,option_b,option_c,option_d,correct,image
Which statement is true about Hepatitis A?,It is a DNA virus,Transmission primarily occurs through the fecal-oral route,Middle-aged adults are the most susceptible hosts,Incidence in the US has remained consistently high since 2001,B,
What is a key consideration in dental management for patients with liver disease?,Antibiotic prophylaxis is always recommended,NSAIDs and acetaminophen should be avoided in end-stage liver disease,Blood pressure monitoring is not necessary,Elective treatment is not contraindicated in patients with active hepatitis,B,
What is the most common cause of esophageal varices?,Peptic ulcer disease,Alcoholic liver disease,Gastroesophageal reflux disease (GERD),Esophageal cancer,B,
What is a typical cause of Mallory-Weiss tears in the esophagus?,Gastroesophageal reflux disease (GERD),Severe vomiting,Ingestion of corrosive substances,Physical trauma to the throat,B,
All of the following are symptoms typically associated with gastroesophageal reflux disease (GERD) EXCEPT one. Which one is the EXCEPTION?,Heartburn,Dysphagia,Regurgitation of sour-tasting gastric contents,Excessive salivation,D,
Which of the following is most likely to be a complication of Barrett Esophagus?,Esophageal adenocarcinoma,Hiatal hernia,Mallory-Weiss tear,Eosinophilic esophagitis,A,
Which of the following is the most common cause of acute gastritis?,NSAIDs,Helicobacter pylori infection,Autoimmune reaction,Excessive alcohol consumption,A,
Which of the following outcomes may be observed in a patient with H. pylori gastritis?,Increased risk for mucosa-associated lymphoid tissue (MALT) lymphoma,Increased risk for gastric adenocarcinoma,Relapse and reinfection,All of the above,D,
What is the most common cause of peptic ulcer disease?,Stress,H. pylori infection,Genetic predisposition,Excessive alcohol consumption,B,
Where do the majority of peptic ulcers occur?,Esophagus,Stomach,Duodenum,Jejunum,C,
In which demographic is inflammatory bowel disease (IBD) most commonly observed?,Adolescent females with a predilection for Eastern European Jews,Middle-aged males with a high-fat diet,Elderly individuals with a long history of smoking,Young children with a history of repeated antibiotic use,A,
Which of the following is a distinguishing feature of Ulcerative Colitis compared to Crohn's disease?,Involvement from mouth to anus,Skip lesions,Inflammation limited to mucosa and submucosas,Fistula formation,C,
Which of the following is true of dental management for patients with mild inflammatory bowel disease (IBD)?,They should be referred to their physician prior to treatment,They should only receive emergency dental care,Antibiotic prophylaxis is required prior to invasive dental treatment,NSAIDs should be avoided for pain management,D,
What is the most common cause of cholecystitis?,Viral infection,Bacterial infection,Alcohol abuse,Gallstones,D,
