title,Intro to Clinical Dentistry Exam 1 (Spring 2019),icd,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Student doctors are expected to act with professionalism as outlined in the clinic manual. This clinic handbook policy Includes all Except,Proper Dress code for the clinic,uniform hair styles,Proper personal hygiene,Work and time management,,,B,
TCDM Formative and Summative Clinical Rubrics differ in:,Formatives have three achievement level columns while summative have two achievement level columns,Summative have three achievement level columns while Formatives have two achievement level columns,The criteria for each one are different,B and C,There is no difference between them,,A,
Infection Control procedures are not meant to protect against,Blood Pathogens,Saliva,Viral Pathogens,Needle sticks,All of the choices are protected by infection control procedures,,E,
The World Health Organization Recommends Respiratory and Cough etiquette to prevent disease transmission to include,Spatial separation for patients with respiratory symptom,Refusing to treat patients that exhibit respiratory symptoms,Placing gloves gowns and masks on patients that exhibit respiratory symptoms,No special treatment of patients with respiratory symptoms,,,A,
A key aspect of proper interview technique is,reactive listening,scaring the patient into revealing all information,refrain from asking personal questions,Establishing empathy with the patient,leading a patients' response to questions,,D,
Four Handed Dentistry achieves,a more efficient work flow,an increase in muscular stress on the provider,less focus on patient treatment,better control of staff work responsibilities,,,A,
Restorative Clinical findings on the TCDM Treatment Plan Worksheet,Should include documentation of all existing restorations,Should include treatments proposed from a restorative point of view,"Should only include pathology, such as caries and failing restorations",,,,C,
The importance of Phase 1 treatment in a Comprehensive Treatment Plan:,Is to Provide a strong foundation for further treatment,Is to Stop further destruction to the current occlusal scheme,Is not relevant in implant restorations,A and B are correct,,,D,
To review all clinical formative and summative rubrics a student can access them,By navigating to the Student R/O Data Drive on the school network,Only In the clinics where they are posted,Only with permission from their group leader,,,,A,
Implementation of infection control practice in the pre-clinic is to,Promote a climate of safety to prevent transmission of pathogens,To understand the difficulty in always maintaining infection control,Retrain ourselves to think about cross contamination in our environment,All of the above are correct,,,D,
Communication can only effectively occur:,when respect is given to each party involved,If your ideas are the best ones for the situation,When you are the one with the power to implement the idea,None of the above,,,A,
Non-verbal communication includes,Body language,Attitude,tone,gestures,a and d,,E,
The most overlooked method of communication and probably the most important method of communication is,Verbal,Non verbal,Listening,Written,,,C,
"As health care providers, communication skills",Help us get all the information we may need from our patients,Allow us to educate our patients about their care,Increase workplace productivity,All of the above are correct,,,D,
Team members that collaborate on procedure and instrument setup,Are more likely to work as efficient partners,Are being redundant since only one person needs to do that job,Should setup the trays as they individually see fit,None of the above are correct,,,A,
The Zone of activity for an assistant in a right handed setup is,7-10 o'clock zone,9-12 o'clock zone,2-4 o'clock zone,4-7 o'clock zone,,,C,
Assistant to operator instrument transfer includes,holding the new instrument between the thumb and index finger,removing the old instrument using the middle and ring finger,removing the old instrument using the ring and the pinky finger,holding the new instrument between middle and ring finger,A and B,A and C,F,
Functions of an assistant include,Instrument transfer,suction,Retraction of tongue and cheeks,All of the above,,,D,
Open ended questions,Lead the patient to the answer the question,Are questions that do not have answers,Allow the patient to elaborate on the question in their own words,A and C,None of the above,,C,
An Extra Oral Exam should include all except,Visual inspection of facial structures,Palpation of lymph nodes,Palpation of mandibular glands,Visual inspection of the pharynx,,,D,
Intra oral exams on intake are used to detect pathology on all these areas EXCEPT,On the lips and vermillion borders,buccal Mucosa,tongue,teeth,,,D,
Blood Pressure measurement must be taken at every patient appointment,True,False,,,,,A,
"Interacting with patients can produce feelings of anxiety. To reduce these feelings, a student should",Be well prepared with notes and a script to follow,"Don't prepare, it will make you more anxious",Act cool with the patient and start off with jokes,None of the above,,,A,
"A male patient that reports a history of high blood pressure, and takes medication for the hypertension presents to you on intake. You take the patient's blood pressure with a result of 100/60. The patient is in no distress and seems fine. Given the patient's history what would be a reasonable next move",Retake the blood pressure to make sure you reading was accurate,Ask the patient if low blood pressure is common for him,Ask the patient if he properly took his medication today,Not worry about it since the blood pressure is not high,All except D,,E,
The various methods of palpating structures either in the head and neck or intraorally,Is to use the fingers on two hands and feel the tissue between them,Is to use two fingers on one hand and feel the tissue between them,Use fingers on one hand to press against a firm structure such as bone or jaw,All of the above,None of the above,,D,
Intake is a screening exam to see if a patient,Can be accepted as a teaching case,Has the proper insurance to be a patient in the clinic,Has treatments that students need to complete competencies,None of the above,,,A,
It is important to ask about a patient's Chief Complaint early in the interview because,It communicates to the patient that you are concerned with the main reason for the appointment,You can determine if this is an interesting case,You can get an idea as to whether urgent care is needed,You can determine if the patient will be able to be treated in the clinic,"A, B and C and Correct",A and C are correct,F,
The HIPPA (PHI) consent form is the most important one of all the consents,True,False,,,,,B,
"if a patient fills out a medical and dental history form, why do we need to question the patient about it?",To get additional information about what was reported on the form,Most patients lie on these forms so we have to question their information,We do this so we can enter it into AxiUm,It's not really necessary to review the forms,,,A,
"during an intake exam, data that is recorded includes",Full dental Charting,Radiographs,Periodontal probing,Social History,,,D,
Treatment notes in AxiUm,Are legal documents,Cannot be deleted,Are required for all treatment performed,All of the Above are correct,,,D,
Diagnosis Codes in dentistry,Are needed to properly bill insurance companies,Are used to accurately describe the condition being treated by the attached procedure,Are used as a method of assessing the ability of a student to understand a condition and what procedure is used to treat that condition,B and C,All of the above,,D,
Comprehensive Treatment Plans,Only include the patients Chief Complaint,Are only needed if the patient request one,Are necessary for the proper treatment of a patient,Can be done on with whatever information you have at the time,,,C,
Using a Treatment Plan Worksheet to organize a treatment plan,Will make it easier to formulate a complex treatment plan,Can make you miss things when formulating a treatment plan,Cannot be used in simpler treatment plans,None of the Above,,,A,
According to the American College of Prosthodontics a Class I Edentulous Patient Has,Substantially Compromised ridge,Moderately Compromised ridge,Minimally compromised Ridge,Has nothing to do with ridge health,,,C,
"A Patient presented to you with a 3 unit bridge #9-#11 that has severe recurrent decay. This patient has not had regular dental care in some time and exhibits bleeding and swollen gingiva. After complete examination, you determine the patient has Generalized Mild Periodontitis. A treatment plan is fabricated where you will • Remove the old 3 unit bridge #9-#11 excavate decay and place a provisional 3 unit bridge. • Then treat the periodontal condition • Once the periodontal condition is resolved- complete the new 3 unit bridge Q. Removing the old 3 unit bridge and placing a provisional restoration is considered a ?",Phase 2 treatment,Phase 0 Treatment,Phase 1 Treatment,Does not fit in any Phase Category,,,C,
"A Patient presented to you with a 3 unit bridge #9-#11 that has severe recurrent decay. This patient has not had regular dental care in some time and exhibits bleeding and swollen gingiva. After complete examination, you determine the patient has Generalized Mild Periodontitis. A treatment plan is fabricated where you will • Remove the old 3 unit bridge #9-#11 excavate decay and place a provisional 3 unit bridge. • Then treat the periodontal condition • Once the periodontal condition is resolved-complete the new 3 unit bridge Q. Completing the 3 Unit Bridge is considered a?",Phase 2 treatment,Phase 0 Treatment,Phase 1 Treatment,Does not fit in any Phase Category,,,A,
Bleeding Index is measured by dividing the sites that bleed by the total amount of probing sites multiply by 100,True,False,,,,,A,
"On the clinical rubrics, the criteria Oral Risk Assessment Assess the patients risk for these areas EXCEPT:",Caries,Periodontal disease,"Head, Neck, and Oral Cancer","None,-All listed areas are assessed",,,D,
Bleeding and Plaque indexes,give us detailed information regarding gingival health,are a way to view the general health of the gingiva,Do not tell us anything about gingival health at all,None of the above,,,B,
"when formulating a treatment plan, it is not important to consider all, EXCEPT",Patients' Budget for treatment,Treatment goals for the patient,clinic schedule,Faculty availability for treatment plan presentation,,,B,
"Periodontitis, as opposed to Gingivitis, is determined by the finding of periodontal pockets",With any bone lose,With more than 3mm of bone lose,Even without bone lose,Only if bone loss is in more than 30% of the probing sites,,,A,
"A good strategy to employ when asking patients about sensitive social history, such as drug use, Is to",Explain that all information is held in the strictest confidence,Tell the patient by law they must comply,Assure the patient that you only need the information to treat them safely,A and C,All of the Above,,D,
A patient with severe systemic disease is classified as a,ASA I,ASA II,ASA III,ASA IV,,,C,
