title,Multidisciplinary Patient Management Final Exam (Summer 2022),mpm,
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A key consideration in deciding whether to join a Dental PPO or Dental HMO is unused chairside hours.,True,False,,,,,A,
PPO plan fees are generally lower than UCR fees.,True,False,,,,,A,
A deductible is:,paid by the patient,a fee that must be collected,many times an annual fee,occurs in many indemnity plans,All of the above,,E,
Insurance claim forms do not have to reflect discounts given to patients.,True,False,,,,,B,
Falsification of dental insurance claims is considered a criminal offense.,True,False,,,,,A,
A DPO is a,Dental policy Organization,Dept. of public operations,Dental Provider Organization,None of these,,,C,
The organization responsible for updating the CDT code is,DEP,ADA,CDC,OSHA,None of the above,,B,
The National Provider Number is used to,provide uniform prescription writing,provide a unique number to identify a provider,provide compliance to standards,identify an advanced degree,none of the above,,B,
What term is used to describe not collecting a deductible or copayment?,Deductible,Copayment,Waive,Assignment,None of the Above,,C,
The Term UCR stands for,Usual Consistent Relative,Usual Customary and Reasonable,Usual Customary and Reliable,None of the Above,,,B,
Dental Maintenance Organization (DMO) plan requires that the patient choose a dentist that participates with the plan.,True,False,,,,,A,
"A person may be guilty of insurance fraud if one knowingly makes a false, fraudulent, or misleading statement or omits a material fact from a record, bill, or claim form when submitting for reimbursement from an insurance carrier.",True,False,,,,,A,
Preferred Provider Organization (PPO) plan is an Indemnity Plan.,True,False,,,,,A,
An employer decides to provide its own self-funded dental plan; the plan is regulated by the Department of Insurance.,True,False,,,,,B,
Self-insured dental plans do not require a dentist to submit claim forms.,True,False,,,,,A,
A Capitation Plan is a form of an Indemnity Plan,True,False,,,,,B,
Dental Maintenance Organization (DMO) plans generally have which of the following:,Annual maximum,Annual deductible,Pre-set co-payment schedules,a & b,b & c,,C,
Preferred Provider Organization (PPO) plans fees are generally lower than UCR Fees.,True,False,,,,,A,
CDT is:,criteria for identifying caries,codes for identifying dental procedures,uniform criteria for premedication,All of the above,None of the Above,,B,
Capitation benefit plans pay the dentist a per-person or per-family dollar amount per month as a form of compensation for dental care.,True,False,,,,,A,
Dental Maintenance Organization (DMO) plans require that claim forms be submitted as services are rendered.,True,False,,,,,B,
Payment for dental services rendered occurs in all of the following except:,PPO Plans,Indemnity,HMO plans,a and b,,,D,
National repository of adverse actions taken against a Dentist.,NPIB.,OSHA,HIPAA,National Data Bank,None of these,,D,
What is the best method for receiving detailed information regarding a patients’ benefits?,Reviewing previous claims experience,the personnel office of the employer,from the patient,by requesting a pre-determination of benefits,examining information printed on the insurance card.,,D,
Insurance claim forms should contain the following information except:,Insurance group number,Social security number,Date of birth of patient,Patients’ marital status,,,D,
When submitting an insurance form after offering a discounted fee to a patient,the regular fee for services are submitted for payment,the PPO fee is submitted for payment,the discounted fee is submitted for payment,the UCR fee is submitted for payment,none of these,,C,
The “Birthday Rule”:,Is used to identify the oldest parent,Is used to identify which parent is primary,The primary is the insurance that pays the most,A & C are correct,None of the above are correct,,B,
If a crown is prepped in December and inserted in January,the claim may be sent in as being performed in December.,the date of service is the date the preparation of the tooth.,the insertion date of the crown in January must be used.,Any treatment date may be used,none of these,,C,
What staff members may be prosecuted for submitting a false claim form?,office manager,dental assistant,receptionist,insurance clerk,none of the above,,E,
Indemnity Insurance Plans are used to represent a Capitation Plan,True,False,,,,,B,
Dental Maintenance Organization (DMO) plans generally have which of the following:,Annual maximum,Annual deductible,Pre-set co-payment schedules,a & b,b & c,None of the above,C,
For patients who are covered by more than one insurance carrier the dentist should,submit the claim to only one insurance carrier since it is illegal to have two or more insurance benefit plans,submit claims to both insurance carriers without telling either of the two about each other,coordinate the benefits of the primary carrier with the secondary carrier,none of the above,,,C,
Capitation benefit plans pay the dentist,after the Dentist submits a claim form,based on a sliding scale,a per-person or per-family dollar amount,per Dentist encounter,When the patient sees the Dentist,,C,
"When submitting insurance claims for a minor child less than 18 years of age where both parents have dental benefit coverage, the dentist must:",Let the parents decide which insurance will pay first,Send the claim to either of the insurance companies,Determine which parent is primary and which is secondary,Submit the claim for the parent who brought the form in first,None of the above,,C,
A deductible is,paid by the patient,a fee that must be collected,many times an annual fee,occurs in many indemnity plans,all of the above,,E,
Falsification of dental insurance claims is considered a criminal offense,True,False,,,,,A,
Payment for dental services rendered occurs in all of the following except:,Indemnity,HMO plans,Direct Reimbursement Plans,a and b,none of these,,B,
Insurance claim forms should contain the following information except:,Insurance group number,Social security number,Date of birth of patient,Patients’ blood type,,,D,
Self-insured dental plans do not require a dentist to submit claim forms,True,False,,,,,B,
Dental Maintenance Organization (DMO) plans require that claim forms be submitted as services are rendered.,True,False,,,,,B,
