title,Pain & Anxiety Control Exam 1 (Spring 2020),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following sensory nerve fibers transmit the sensation of pain?,A-alpha fibers &A-delta fibers,A-beta fibers &C fibers,A-delta fibers &C fibers,A-delta &A beta fibers,,,,C,
All of the following are effects of adding a vasoconstrictor to a local anesthetic EXCEPT:,Increased rapid uptake of the local anesthetic into the systemic circulation with increased potential systemic toxicity,Slower uptake of local anesthetic into the circulation with decreased potential systemic toxicity,Increased duration of local anesthesia with reduced potential systemic toxicity,Vasoconstriction with reduction in bleeding at the site of injection,,,,A,
A 32 year old healthy male has an acute abscess involving tooth #6 which requires an incision and drainage and extraction. Why is it more difficult to obtain adequate pain control with local anesthesia?,"Low pH of tissues increases the charged form of the anesthetic, reducing diffusion across nerve membranes",Vasoconstriction of the tissues prevents the local anesthetic to reach the intended location,"Purulent exudates raise the pH of the tissues, reducing diffusion across nerve membranes",Bacteria present in infected tissues produce toxins that neutralize the local anesthetic by enzymatic degradation,,,,A,
"The mandibular division of the trigeminal nerve is entirely sensory and provides no motor innervation to the temporalis, masseter, lateral &medial pterygoid muscles.",True,False,,,,,,B,
The purpose of using an aspirating syringe when administering dental local anesthesia is,To ensure a more stable control of the dental syringe,To enable the dentist to inject the local anesthetic at a faster rate,To ensure that the dentist is not injecting directly into a blood vessel,To reduce pressure on the thumb pad of the dentist,,,,C,
The harpoon of the dental syringe engages:,The rubber stopper of the dental cartridge,The diaphragm of the dental cartridge,The neck of the dental cartridge,The aluminum cap of the dental cartridge,,,,A,
Which one of the following needles has the smallest inner and outer diameter,#30 gauge short needle,#27 gauge long needle,#25 gauge short needle,#21 gauge long needle,,,,A,
"Which needle is less likely to deflect when inserted through tissue, and also permit easier aspiration?",#30 gauge short needle,#27 gauge long needle,#27 gauge short needle,#25 gauge long needle,,,,D,
"You are performing a posterior superior alveolar nerve block and prior to injection you aspirate and see bright red blood filling the dental cartridge. If you accidently proceeded with the injection of the contents of a full cartridge of 2% Lidocaine with Epinephrine 1:100,000 which one of the following would pose the greatest risk(s)?","Rapid systemic rise in the concentration of Lidocaine and Epinephrine into the bloodstream, potentially leading to the systemic effects of these drugs","Rapid onset of anesthetic effect to the region, creating prolonged numbness",Delayed onset of local anesthetic effect preventing you from performing painless dentistry,Delayed metabolism and elimination of the local anesthetic.,,,,A,
You are performing a posterior superior alveolar nerve block and prior to injection you aspirate and see bright red blood filling the dental cartridge. What is the most likely blood vessel(s) that the needle has entered?,Inferior alveolar artery,Pterygoid plexus of veins,Retromandibular vein,Superficial temporal artery,,,,B,
"Which nerve is responsible for sensory innervation to the maxillary second &third molars, and the distal portion of the maxillary first molar?",Inferior alveolar nerve,Infraorbital nerve,Middle superior alveolar nerve,Posterior superior alveolar nerve,,,,D,
The Maxillary division of the Trigeminal Nerve exits the skull through,Jugular foramen,Stylomastoid formamen,Foramen rotundum,Foramen ovale,Greater palatine foramen,,,C,
The Maxillary division of the Trigeminal Nerve is responsible for all of the following EXCEPT:,Sensory innervation from the midface and upper teeth,Pain and temperature sensation of the midface,Motor innervation to the muscles of the upper lip,Discriminative touch sensation of the midface,,,,C,
