title,GDA Final Exam (Summer 2023),gda,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
What defines the period of middle childhood?,The prepubertal period,The eruption of the primary teeth,Mixed dentition of primary and permanent teeth,Development of the adrenal glands,,C,
During what season is growth in height the fastest?,Spring,Summer,Winter,Fall,,A,
"Deficiency of which of the following vitamins is related to the development of rickets, or defective mineralization and calcification of the bones that causes bowing and fracture?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin E,D,
Fill in the blanks. _____________________ is the most important hormone related to growth and development and secreted by the _________________________.,Somatotropin (HGH); pituitary,Estrogen; ovaries,Thyroid hormone; parathyroid,Somatotropin (HGH); thymus,,A,
Which germ layer gives rise to the blood cells and connective tissue?,Endoderm,Mesoderm,Ectoderm,,,B,
Which aortic arch gives rise to the common carotid artery?,Arch 1,Arch 2,Arch 3,Arch 4,Arch 5,C,
Which Cranial Nerve innervates Pharyngeal Arch 1?,CN V,CN VII,IX,XII,,A,
Match the correct Cranial Nerve with its number name and function.,CN I Olfactory; Sense of Sight,CN V Trochlear; Downward and Inward Eye Movement,CN VIII Facial; Equilibrium,CN XII Hypoglossal; Speech movements of the tongue and swallowing,None of the above are correct,D,
What is the fate of pharyngeal cleft 1?,External auditory meatus,Thyroid,Thymus,Tonsils,Obliteration,A,
True or False: The thyroid is part of the pharyngeal apparatus.,True,False,,,,B,
The capability of a cell to become several different types of cells is known as:,Morphogenesis,Mitosis,Growth,Complexity,Pluripotential,E,
True or False: The critical period is the time when the developing tissue or system is least likely to be effected by teratogen exposure.,True,False,,,,B,
Which of the following is TRUE about use of marijuana during pregnancy?,Marijuana does not cross the placental barrier.,Marijuana use causes an increased risk of miscarriage.,Marijuana use causes a decrease in carbon dioxide in the fetal blood.,Marijuana use during pregnancy is unrelated to developmental delays in childhood.,,B,
Which of the following is classified as a Class X drug in pregnancy?,Coumadin,Pencillin,Tylenol,Benadryl,Sudafed,A,
High stress during pregnancy released which of the following hormones that are potentially dangerous to the developing fetus.,Gonadatropin,Cortisone,Estrogen,Adrenaline,,B,
