title,Complete Dentures Final Exam (Fall 2017),cd,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
The minimum number of implants necessary to support a full lower denture is?,five,four,two,three,,C,
The following are advantages of implant overdentures except.,Denture stability,Increased biting efficiency,Easier conversion into a fixed prosthesis,psychological,Superior mucosal frenum control,E,
How many implants are generally required to fabricate a maxillary denture with an open palate?,four,two,one,eight,,A,
What type of bone remains due to long term complete denture wearing?,Laminar Bone,Crestal Bone,Tuberosity Bone,Basal Bone,,D,
What is the name of the part of the implant at the top of the implant?,Implant platform,Implant body,implant threads,Implant coping,Implant hex tool,A,
The types of endosseous implant include.,internal hex,external hex,both a and b,neither a or b,,C,
What is the name of an attachment that connects the implant to the denture base?,locator,major connector,guide plane,framework,,A,
The part of the implant attachment system that is used to ensure that the denture does not get locked in while attempting to connect the denture to the implant?,block out spacer,implant thread,washer,attachment,,A,
What is the name of the implant part that is screwed into the implant body?,abutment,locator,major connector,framework,,A,
"In an implant retained overdenture,IThe component that snaps onto the implant abutment is made of what type of material?",nylon,acrylic,rubber,stone,,A,
The component of a locator attachment that contains the insert that snaps onto the abutment is called?,Locator tool,Locator core,Locator abutment,Locator housing,Locator sleeve,D,
The anterior portion of an occlusal rim,has a 15-degree pitch,is flat,is concave,is retrusive,,A,
What technique is used to provide a negative imprint of an edentulous ridge and adjacent tissues to provide a study cast?,Alginate impression,Bite registration,Shade selection,Shim fabrication,,A,
What makes the most accurate impression ?,An even thickness of impression material,Number of undercuts,Presence of a copious amount of saliva,An abundance of tissue,,A,
"When portions of an impression tray are exposed when taking an alginate impression, it is considered:",Favorable because the tray is properly seated,Unfavorable because an even thickness of the impression material is absent in that area,Favorable because the material set faster in the area,Unfavorable because it is less comfortable to the patient,,B,
The future of dental impressions is evolving from elastic impression materials to:,Digital impressions,Alginate impressions,Bite registration materials,Advanced impression materials,,A,
Material used to alter a stock impression tray to better adapt to the contours of the patient's mouth is.,Cotton rolls,Stone,Putty,Alginate,,C,
A wafer like material that is initially soft and adapts to a preliminary cast to fabricate a custom tray is called.,Triad material,Light body impression material,Sticky wax,Putty,,A,
What material is painted on an adapted triad material prior to curing in a light curing oven?,Air barrier,Vaseline,Separator,Impression material,,A,
The part of the custom tray that touches the tissue when taking a final impression is called.,Tissue stops,Handles,Air barrier,Wax shims,,A,
The technique used to extend an intentionally shortened stock tray to capture the fullest extent of the patients' vestibule is called.,Border molding,Tissue conditioning,Labial moulage,alveoloplasty,,A,
Areas that may develop sore spots due to an overextended denture is called.,Relief areas,Supporting areas,Tissue bearing areas,Tuberosity areas,,A,
What is the name of the negative imprint that captures all structures of which a denture is made?,final impression,wax shim,bite registration,face bow,,A,
A tray made of a photoactivated polymer adapted on a cast and used to fabricate an occlusal rim is called a.,Baseplate,Custom tray,Final impression,Face bow,,A,
The base plate for complete denture fabrication is extended.,to the extent of the vestibule,1mm shy of the vestibule,beyond a wax shim,3mm beyond the alveolus,,A,
The approximate dimensions of the length of the labial portion of an maxillary occlusal rim is.,20 to 22 mm,10 to 12 mm,6 to 8 mm,14 to 18 mm,,A,
What is the approximate width of the anterior portion of the occlusal rim?,3 to 5 mm,5 to 7 mm,9 to 12 mm,10 to 30 mm,,A,
What is the height of the posterior plane of occlusion for mandibular teeth?,½to 2/3 the height of the retromolar pad,6 to 9 mm,3 to 5 mm,½length of the labial flange,,A,
The flat border extended beyond the flanges that is used to scribe markings to designate where teeth are going to be set is called.,Land area,Retromolar area,Frenum,Vestibule,,A,
The device that is used to record the positional relationship of the maxillary arch to the condyles is called.,Face bow,Occlusal records,Bite registration,Incisal pin,,A,
The part of the face bow that is used to transfer the relationship of the actual bow to the bite fork is called the.,Transfer rod,Earpiece,Occlusal rim,Bite registration,,A,
The anatomic landmark located immediately posterior to the labial frenum is called.,Fovea Palatine,Tuberosity,Incisive papilla,Buccal Frenum,,C,
What anatomic structure connects the buccal frenum to the maxillary tuberosity?,Buccal vestibule,Mid palatine Raphe,Soft Palate,Hamular notch,Tongue,A,
A relatively repeatable position on the patients' face that is referred to in denture construction is called.,Ala tragus line,Vertical dimension of occlusion,Centric Relation,Occlusal rims,,A,
Which facial type is widest at the hairline and narrowest at the angles of the jaw.,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,C,
Which facial type is where the sides of the face from the hairline to the levels of the condyles to the angles of the jaw are straight and parallel?,Square Face,Square tapering ovoid Face,Tapering Face,Ovoid Face,,A,
Which facial type is where the sides of the head are parallel from the condyles upward. From the condyles downward along the sides of the face the outline tapers in to the angles of the jaw?,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,B,
Which facial type is widest through the center at the level of the condyles. It curves upward and downward to form an oval outline?,Square Face,Square Tapering Face,Tapering Face,Ovoid Face,,D,
What is a type of material that is used on the inner surface of a flask to prevent stone from attaching to a cast?,Poly vinyl Siloxane,Alcohol,Plaster,Vaseline,,D,
Which anatomic landmark located in the anterior maxilla can be used to identify a patients’ midline?,Incisive Papilla,Buccal frenum,Rugae,Hamular notch,,A,
