title,GDA Quiz 2 (Summer 2016),gda,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"A child presents to your office with his adoptive parents for his first dental visit. The parents report on the medical history that the child has fetal alcohol syndrome. What facial characteristics can you expect to note clinically on head and neck exam I. Thin upper lip II. Flat mid-face III. Small, widely spaced eyes IV. Deformed teeth and enamel defects",I,II,III,IV,"I, II and IV",all of the choices,none of the choices,E,
Rubella is the leading cause of what development defect in the developed world?,Blindness,Deafness,Attention Deficit Disorder,Congenital heart defects,,,,B,
"Tetracycline, an antibiotic and known teratogen, is responsible for what defect in teeth?",Missing lateral incisors,"Small, malformed molars",Brown and yellow staining and discoloration,Neonatal teeth,,,,C,
"Which of the following illegal drugs is related to high addiction rates in mother and unborn baby, respiratory distress, severe withdraw symptoms including irritability and convulsions and higher incidence of HIV transmission from mother to fetus?",PCP,Heroin,Cocaine,Marijuanae Alcohol,,,,B,
The capability of a cell to give rise to several different kinds of specialized cells is known as:,Induction,Complexity,Critical period,Pluripotential,,,,D,
Which of the following is true about diagnostic radiation in relation to pregnant patients?,The FDA states diagnostic radiation is not contraindicated in pregnant patients,Use of a lead apron with a thyroid collar is indicated,The risk of birth defects from the radiation from one full mouth series (FMX) is 9 in 1 billion,It is important to communicate and educate expecting patients so that all parties feel comfortable with treatment options,All of the choices,,,E,
"What FDA classification is given to drugs that have been proven safe in animal fetal studies but there are currently no adequate, well-controlled studies in humans?",Category A,Category B,Category C,Category D,Category X,,,B,
Which of the following hormones is released by the mother in response to stress that can cause birth defects in the developing fetus?,Cortisone,Testosterone,Growth hormone,Secretin,Estrogen,,,A,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,,,C,
What medication is appropriate for pain management following a dental procedure for a patient that is pregnant?,Ibuprofen,Codeine,Aspirin,Toradol,Acetaminophen,,,E,
Which of the following are consequences of poor maternal nutrition on the developing fetus?,Lower IQ,Increased risk of diabetes,Increased heart disease and high blood pressure,Abnormal brain development,All of the choices,,,E,
