title,Removable Prosthodontics Midterm Exam (Spring 2022),rempros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
"In the above picture, the circle indicates what part of the RDP framework?",Camper's plane,Major connecter,Direct retainer,Fox plane,,C,images/rempros-midterm-spring-2022/fig1.jpeg
"The maxilla, due to its arch form, has significantly greater area for support for a denture base than the mandible",True,False,,,,A,
Fabricating a complete denture requires many important steps from impression taking to toothshape and shade selection. What are the three factors for successful fit of a complete denture once it has been fabricated?,"Stability, resiliency, and temperature","Stability, support, and retention","Retention, resiliency, and temperature","Support, temperature, and retention","Retention, flexibility, and support",B,
What type of RPD is shown in the above picture?,Tooth Borne (Tooth Supported),Tooth/Tissue Borne (Tooth and Tissue Supported),,,,B,images/rempros-midterm-spring-2022/fig4.jpeg
"At the wax try-in, the maxillary plane appears to be correct, yet when the patient closes lightly incentric relation, the mandibular teeth appear to show too much. The patient's lips do not contact unless the patient forces them to do so. What is the most likely error that has occurred?",Excessive vertical dimension of occlusion,Inaccurate face-bow transfer,Over closed vertical dimension of occlusion,Excessive amount of freeway space,,A,
Which arch increases in radius as it resorbs?,Maxilla,Mandible,Both,Neither,,B,
"When viewed from the front, a properly contoured maxillary rim:",Is parallel to the patient's ears,Is parallel to the patient's interpapillary line,Shows 1mm of wax when the patient is at rest,b and c only,All of the above,D,
When setting maxillary anterior teeth;,The central incisor should have its incisal edge slightly below the occlusal plane,The cervical neck of the canine should be placed palatally,The incisal edge of the lateral should be 1mm above the occlusal plane,The six incisors should all have their long axis perpendicular to the occlusal plane,,C,
Tooth loss leads to:,Loss of vertical dimension of occlusion,Over closure of the mandible leading to a protruded mandibular position,Collapse of facial structures,All of the above,,D,
The vibrating line is,Where the incisal edges of the maxillary anterior teeth meet the lip during “V or F” (fricative) sounds,Marks the transition from immovable to moveable tissues on the hard palate,Is also known as the wet-dry line on the lower lip,a and c only,,B,
"As discussed in the class, the thickness of the disto-buccal flange of the maxillary denture is dependent upon",The passage of the condyle during translation,The passage of the coronoid process during opening and closing,The presence of tori in the palate,The anatomy of the posterior denture teeth selected,All of the above,B,images/rempros-midterm-spring-2022/fig11.jpeg
The denture teeth composition shown below consist of:,Polymethylmethacrylate,Interpenetrating Polymer Network,Porcelain,None of the above,,B,images/rempros-midterm-spring-2022/fig12.jpeg
The retromolar pad is important for which of the following?,Determines the placement of the occlusal plane,Indicates the posterior extent of the mandibular denture,All of the above,None of the above,,C,
"A 51-year-old female patient presents to your clinic requiring full mouth extractions. You explainthe treatment options to her, and she elects upper and lower complete dentures. You explain to the patient that fabricating an immediate denture (I/D) to insert after the full mouth extractions is a great option. What is the time frame an immediate denture can be used?",An I/D can continue to be used as a prosthesis for the rest of the patient's life,An I/D should only be used for about 1 to 2 days post oral surgery,An I/D can be used up to 1 full year post oral surgery,An I/D can be used up to 6 months post oral surgery,An I/D is not a viable option for full mouth extractions,D,
The maxilla and mandible show similar patterns of resorption,True,False,,,,B,
