title,Complete Dentures Quiz 1 (Fall 2017),cd,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The Orbicularis Oris muscle has which effect on the maxillary buccal frenum,Pull the frenum laterally,No effect,Pulls the frenum in a posterior direction,Pulls the frenum anteriorly,None of these,D,
The Buccinator Muscle pulls the Maxillary buccal frenum,Backward,Forward,No effect,Mesially,None of these,A,
The dividing line between the labial vestibule and the buccal vestibule is the,Labial frenum,Tongue,Commissure,Buccal frenum,None of these,D,
The area located anterior to the hamular notch and posterior to the buccal frenum is called,Buccal Frenum,Labial frenum,Vibrating line,Mylohyoid ridge,,A,
The anatomic landmark situated distal to the maxillary tuberosity and anterior to the pterygoid bone is called the,Hamular notch,Mylohyoid ridge,Genial Tubericle,Pterygoid bone,None of these,A,
Which two areas are the primary support areas for the maxillary denture 1-Maxillary tuberosity 2-Maxillary palate 3-Maxillary Frenum 4-Maxillary Tori,1 &3,1 &2,2 &3,None of the above,,B,
Which areas is a primary relief area for the maxillary denture,Incisive papilla,Maxillary tuberosity,Maxillary Palate,Vibrating line,None of these,A,
What bilateral mucous duct like structure is located at the junction of the hard and soft palate,Fovea Palatine,Lingual Salivary Duct,Parotid Duct,None of these,,A,
What Mandibular structure is located in the lingual mid-line of the anterior mandible:,Lingual Frenum,Buccal Frenum,Rugae,Hamular Notch,,A,
Which structure may contain fibers from the Obicularis Muscle?,Buccal Frenum,Median Palatal Raphe,Hamular Notch,Buccal Vestibule,None of these,A,
The portion of the maxilla and mandible that remains after teeth are extracted is called the.,frenum,tuberosity,notch,alvelous,palate,D,
Application of a moldable material to the borders of an intentionally shortened tray for the purpose of capturing the tissue bearing area of a prosthesis is called.,Tissue conditioning,Border molding,Muscle molding,All of the above,None of the above,B,
The area that extends lingually from the retromolar pads is called the.,Retromylohyoid space,Tuberosity,Tori,Buccal Frenum,Genial Tubercle,A,
What term is used to describe the use of an impression material after border molding to take a final impression.,Tissue conditioning,Wash,Muscle molding,Preliminary impression,None of the above,B,
What could result from an over-extended custom tray.,The tray would impinge on the tissue resulting in an inaccurate impression,The mucosa would become inflamed and appear reddened,The tray could possibly break resulting in a weak impression,Nothing would result in the accuracy of the impression,A more accurate impression would be made,A,
