title,Space Exploration Trivia,testing
question,option_a,option_b,option_c,option_d,option_e,correct
Venus is the hottest planet in our solar system.,True,False,,,,A
Which space agency launched the first human into space?,NASA,Soviet Union,ESA,China National Space Administration,,B
The International Space Station orbits at an altitude of about 400 km above Earth.,True,False,,,,A
How many planets are in our solar system?,7,8,9,10,11,B
Mars has two moons named Phobos and Deimos.,True,False,,,,A
What is the name of the galaxy that contains our solar system?,Andromeda,Milky Way,Triangulum,,,B
"A light-year measures time, not distance.",True,False,,,,B
Which spacecraft mission was the first to land humans on the Moon?,Apollo 11,Apollo 13,Voyager 1,Sputnik 1,,A
Approximately how long does it take light from the Sun to reach Earth?,8 seconds,8 minutes,8 hours,8 days,8 milliseconds,B
Saturn is the only planet in our solar system with rings.,True,False,,,,B
