title,Oral Pathology Final Exam (Spring 2022),oralpath,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is the treatment of choice for a palatal cyst of a newborn?,No treatment,Incisional biopsy,Excisional biopsy,Radiation,,A,
Elevation of the ala of the nose is characteristic for which cyst?,Lymphoepithelial cyst,Nasopalatine duct cyst,Nasolabial cyst,Thyroglossal duct cyst,Dermoid cyst,C,
"A yellow nodule of the tonsillar pillar is biopsied, revealing a cyst lining with associated inflammation(primarily comprised of lymphocystes). Which of the following is the most likely diagnosis?",Lymphoepithelial cyst,Nasopalatine duct cyst,Nasolabial cyst,Thyroglossal duct cyst,Dermoid cyst,A,
A Sistrunk procedure is the treatment of choice for which cyst?,Lymphoepithelial cyst,Nasopalatine duct cyst,Nasolabial cyst,Thyroglossal duct cyst,Dermoid cyst,D,
Which is true of the following statements: Statement 1: Sharp or dull prolonged pain that is not relieved immediately upon removal of stimulus is characteristic of reversible pulpitis Statement 2: Reversible pulpitis will exhibit percussion sensitivity,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Branchial cleft cysts present as lateral neck swelling Statement 2: HPV-related squamous cell carcinoma often presents as a lateral neck swelling,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
What portion of the tooth is associated with/encompassed by a dentigerous cyst?,Crown,Lateral root surface,Furcation,Apex,Dentigerous cysts are not associated with teeth,A,
Between what teeth would you most likely find a lateral periodontal cyst?,14/15,8/9,31/32,20/21,24/25,D,
Which odontogenic cyst is most likely to recur after surgery?,Orthokeratinized odontogenic cyst,Calcifying odontogenic cyst,Lateral periodontal cyst,Dentigerous cyst,Odontogenic keratocyst,E,
Which of the following cysts is most likely to be located in the anterior mandible and cross the midline?,Orthokeratinized odontogenic cyst,Glandular odontogenic cyst,Lateral periodontal cyst,Dentigerous cyst,Odontogenic keratocyst,B,
Which is true of the following statements: Statement 1: A calcified falx cerebri is a finding in nevoid basal cell carcinoma (Gorlin) syndrome Statement 2: Glandular odontogenic cysts are findings in nevoid basal cell carcinoma (Gorlin) syndrome,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
Which is true of the following statements: Statement 1: Ameloblastomas are derived from odontogenic mesenchyme Statement 2: Odontogenic myxomas are derived from odontogenic epithelium,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is the most common odontogenic tumor,Ameloblastoma,Adenomatoid odontogenic tumor,Calcifying epithelial odontogenic tumor,Ameloblastic fibroma,Odontogenic myxoma,A,
"Which is true of the following statements: Statement 1: One of the most common multilocular radiolucencies of the posterior mandible is a leiomyoma Statement 2: Prior to biopsying a multilocular radiolucency of the jaw, aspiration is required",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Multiple osteomas is a component of which syndrome?,Nevoid basal cell carcinoma (Gorlin) syndrome,Cherubism,Gardner syndrome,Neurofibromatosis type 1,MEN2B,C,
Which patient is most likely to present with an adenomatoid odontogenic tumor?,12-year-old female with an impacted canine,20-year-old male who took a football to the face and now has a scalloped radiolucency between his teeth,56-year-old male with a multilocular radiolucency,75-year-old male with a rapidly expansile sunburst mixed radiolucency/radiopacity involving the mandible,90-year-old female with a lump of the lateral neck,A,
Which is true of the following statements: Statement 1: Cementoblastomas are most often associated with the mandibular molars and premolars Statement 2: Clear cell odontogenic carcinomas are more common in the maxilla,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
"Which is true of the following statements: Statement 1: Complex odontomas are found in the anterior jaw and look like tiny, malformed teeth Statement 2: Ameloblastic fibromas and fibroodontomas commonly occur after the age of 40",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Stafne defects are more common in men Statement 2: Stafne defects often occur inferiorly to the inferior alveolar nerve canal,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
An “empty cavity” best describes the surgical findings of which entity?,Aneurysmal bone cyst,Traumatic bone cyst,Brown tumor,Ameloblastoma,None of the options,B,
Central giant cell granulomas may be seen in the context of which condition?,Hyperthyroidism,Hypothyroidism,Hyperparathyroidism,Hypoparathyroidism,,C,
Which is true of the following statements: Statement 1: Focal cemento-osseous dysplasia most often occurs in women Statement 2: Periapical cemento-osseous dysplasia most often occurs in men of European descent,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
True or False: The bone of florid cementoosseous dysplasia always remains vital,True,False,,,,B,
Which is true of the following statements: Statement 1: You can always distinguish between cementoosseous dysplasia and ossifying fibroma under the microscope Statement 2: Ossifying fibromas frequently transform into osteosarcomas,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which is true of the following statements: Statement 1: Monostotic fibrous dysplasia is associated with McCune Albright syndrome Statement 2: Café-au-lait macules are associated with Jaffe Lichenstein syndrome,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Radiation therapy for fibrous dysplasia is known to lead to higher rates of:,Odontogenic keratocyst,Carcinoma arising in a cyst,Chondrosarcoma,Osteosarcoma,Ameloblastoma,D,
Which is true of the following statements: Statement 1: Carcinoma arising in a cyst is more common in men than in women. Statement 2: Carcinoma arising in a cyst is the most common form of oral cancer.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
"Which is true of the following statements: Statement 1: Epidermoid cysts of the skin are common lesions. Statement 2: They typically present as a subcutaneous, non-painful nodule.",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
"True or False: It is completely safe to take jaw bone biopsies, extract teeth and place dental implants in patients with florid cemento-osseous dysplasia.",True,False,,,,B,
"A patient presents with a painful, fluctuant nodule on the interdental papilla between teeth #3 and #4. Endo ice and electric pulp testing are positive on both teeth #3 and #4. Periodontal pocketing is absent on all surfaces of teeth #3 and #4. Bitewing and periapical radiographs fail to demonstrate any abnormalities. As you are palpating the nodule it decompresses and a yellow-white fetid fluid drains out. You correctly recognize this fluid as purulence. The nodule was a localized, circumscribed collection of purulence. What is the most likely diagnosis?",Periapical abscess,Periapical granuloma,Periodontal abscess,Pyogenic granuloma,Gingival abscess,E,
