title,Periodontics II Quiz 2 (Fall 2018),perio2,quiz
question,option_a,option_b,option_c,option_d,correct,image
Biologic Width (Supracrestal Attached Tissues) is defined as the physiologic dimension of:,Junctional epithelium and gingival sulcus,Junctional epithelium and connective tissue attachment,Connective tissue attachment and gingival sulcus,Attachment loss and recession,B,
The excisional new attachment procedure is performed in order to:,Remove the inflamed tissue surgically,Perform osseous surgery after scaling and root planning,Treat interdental crater areas,Obtain better esthetics,A,
Statement 1:The modified Widman flap allows instrumentation Statement 2: but does not attempt to reduce pocket depth,"The first statement is true, and the second statement is false","The first statement is false, and the second statement is true",Both statements are true,Both statements are false,C,
"In a gingivectomy, one uses a(n):",Internal bevel incision,External bevel incision,Vertical incision,Sulcular incision,B,
A full-thickness flap includes all of the following EXCEPT:,Gingival epithelium,Gingival connective tissue,Cortical plate of bone,Periosteum,C,
Which of the following occurs when the “Biologic Width” is violated?,Acute Pain,Loss of alveolar bone,Acute Gingival Inflammation,None of the above,B,
What would be a contraindication to performing “Crown Lengthening”?,Causing furcation exposure,Having Altered Passive Eruption,Having sulcus depth less than 2mm,None of the above are contraindications,A,
In the Gargiulo article about “Biologic Width” what was the average width of the Epithelial Attachment?,1.07mm,0.97mm,2.04mm,0.69mm,B,
What is the rate of epithelial migration after a periodontal surgical procedure is performed?,2.0mm per day in every direction,1.5mm per day in every direction,1.0mm per day in every direction,0.5mm per day in every direction,D,
Healing of a Gingivectomy has the following characteristics:,Healing is faster than that of a flap procedure,Epithelialization usually takes 4-5 weeks,The site heals by primary intention,All of the above,B,
