title,Pain & Anxiety Control Final Exam (Spring 2019),painanx,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Who was acknowledged for discovering anesthesia in the United States?,Dr. Horace Wells,Dr. William Morton,Dr. John Collins Warren,Dr. Bigelow,,,,,A,
"Statement 1: nitrous oxide is a sweet smelling, non-irritating gas. Statement 2: The nitrous oxide cylinder is green.",Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,B,
Which of the following impurities within nitrous oxide manufacturing is the most dangerous?,N2 - Nitrogen,NO - Nitric Oxide,NH4 - Ammonia,CO - Carbon Monoxide,,,,,B,
Statement 1: Nitrous oxide is a gas under pressure in cylinders; Statement 2: Liquid nitrous oxide requires heat for vaporization into the gaseous state.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,C,
Which of the following gases has the lowest blood gas solubility?,Halothane,Isoflurane,Sevoflurane,Desflurane,,,,,D,
A gas with a high blood solubility will require ________ periods of time for the onset of clinical effects to develop.,Longer,Shorter,Equal,,,,,,A,
You should avoid nitrous oxide in which of the following?,Bowel obstruction,Pneumothorax,Middle ear disease,All of the above,,,,,D,
Statement 1: Nitrous oxide is used alone to produce general anesthesia. Statement 2: Nitrous oxide produces sedation and analgesia.,Statement 1 and Statement 2 are true,"Statement 1 is true, Statement 2 is false","Statement 1 is false, Statement 2 is true",Statement 1 and Statement 2 are false,,,,,C,
"In order to prevent delivery of less than atmospheric levels of oxygen, nitrous systems utilize which of the following safety features?",Pin Index Safety System,Diameter Index Safety System,Oxygen Fail Safe,Oxygen Flush,All of the above,,,,E,
Your patient requires sedation by a dentist anesthesiologist in order for you to place a composite resin on tooth #19. You tell the anesthesiologist that your patient has a lot of secretions and it's making it difficult to place your restoration. Which medication would be most appropriate to control the secretions in this situation?,Glycopyrrolate,Scopolamine,Atropine,Diphenhydramine,,,,,A,
