title,Practice Management II Exam 1 (Fall 2022),pmgmt2,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
The corporate or DSO dentistry model may compromise the treating dentist’s ability to determine an independent treatment plan for the patient.,True,False,,,,A,
"If your dental assistant is not passing instruments properly, whose responsibility is it to properly train him/her?",The dentist,Another assistant or office manager,Both,,,A,
Long term staff retention is best achieved by:,High salaries,A pretty office,Showing respect for your employees,Good benefits,,C,
What is the most important factor in your patient agreeing to your recommended treatment plan?,It is the least expensive treatment,Good communication skills,You can get it done quickly,You’ll fill out their insurance forms for them,It doesn’t matter if patients have to wait to see the dentist because it will not affect the quality of their treatment.,B,
"It is OK to answer the phone, say please hold and then immediately put the person on hold.",True,False,,,,B,
"The office environment- appearance, smells, cleanliness, etc. will affect the level of anxiety a patient might feel.",True,False,,,,A,
It’s OK to let the answering machine pick up the phone during lunch time because it is important for employees to have that time together to nurture their relationships.,True,False,,,,B,
The music playing in the office should be the doctor’s and employee’s favorite music.,True,False,,,,B,
"It doesn’t matter how long a patient waits in the reception area, as long as they are seen promptly when they get to the operatory",True,False,,,,B,
"If the dentist is running late, the patient in the reception area should be given the opportunity to reschedule",True,False,,,,A,
Patients don’t mind if they overhear staff members discussing their personal affairs from an adjacent part of the office,True,False,,,,B,
"If you’re seating a crown and having problems, it’s OK to rush and push harder because you don’t want to inconvenience your next patient that’s in the reception area",True,False,,,,B,
"If your employee is repeatedly passing you the wrong instrument, it is OK to admonish them in front of the patient because it’s taking more time to complete that patient’s treatment.",True,False,,,,A,
"If you’re fitting a crown and you notice a slight open margin, it’s OK to go ahead and cement it because the patient will never know.",True,False,,,,B,
"If your employee is repeatedly passing you the wrong instrument, it is OK to admonish them in front of the patient because it’s taking more time to complete that patient’s treatment.",True,False,,,,B,
Long term staff is comforting to patients and makes their treatment easier.,True,False,,,,A,
"Because you practice in a State where ‘employment at will’ is the law, it’s OK to fire an employee on a whim and you won’t have a problem. There is one assistant who is much weaker than the other assistants. The dentist yells at her. This will have no effect on the other assistants as they are being lauded for their efforts.",True,False,,,,B,
Your spouse is unemployed and you need help in the office. It’s OK to hire him/her.,True,False,,,,B,
"Your hygienist is a ‘prima donna’ and refuses to clean and sterilize her own instruments or help the assistant with other instruments. Since the hygienist is a valued employee and produces income, this is an acceptable attitude.",True,False,,,,B,
Your sole dental assistant who you have relied on for 12 years falsifies an insurance form so that she will receive a benefit payment for treatment that was never done. You should terminate her.,True,False,,,,A,
"The staff is going out for pizza after work, and they invite you, as an associate to join them. The senior dentist in the practice is not invited. It’s OK for you to go.",True,False,,,,B,
"If you are an associate in an office and you have a very difficult dental visit with a patient, it’s OK to seek comfort and support from your dental assistant.",True,False 24. It’s OK to offer patients a discount if they pay you in cash. *a. True b. False 25. Two staff members have a dispute. It’s best to let them work it out over time and revisit the problem in a week or two. a. True *b. False,,,,B,
