title,Pain & Anxiety Control Exam 2 (Spring 2021),painanx,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,correct,image
Please select all aspects required during proper patient selection prior to determining if a patient is a candidate for sedation/anesthesia in the dental setting.,Physical Examination,Airway Assessment,Medical History,American Society of Anesthesiology Physical Status,All of the answers,None of the answers,,,,E,
The following image represents which Mallampati Classification?,Class I,Class II,Class III,Class IV,,,,,,C,images/painanx-exam2-spring-2021/fig2.jpeg
"A 22 year-old female patient presents to your oral surgery office for extraction of #1,16,17,32 and requests intravenous sedation for the procedure.  As a part of your airway assessment, you notate the following findings: - Thyromental Distance: 2 fingerbreadths - Interincisal Distance: 3 fingerbreadths - Neck Range of Motion: no limitations to neck flexion or extension - Mandibular Protrusion: unable to perform the upper lip bite test, edge to edge in protrusion Do any of the preceding findings make you concerned about the potential difficulty of this patient’s airway during sedation? If yes, please select which findings you’re concerned with:",Thyromental Distance,Interincisal Distance,Neck Range of Motion,Mandibular Protrusion,Thyromental Distance and Interincisal Distance,Thyromental Distance and Mandibular Protrusion,Mandibular Protrusion and Interincisal Distance,"Thyromental Distance, Interincisal Distance, Mandibular Protrusion",None of the answers,F,
"A drug induced depression of consciousness during which patients respond purposefully to verbal commands, either alone or accompanied by light tactile stimulation and requires no interventions to maintain a patent airway, whereby spontaneous ventilation is adequate. This statement above describes which of the following type of sedation?",Minimal Sedation,Moderate Sedation,Deep Sedation,General Anesthesia,,,,,,B,
Patients may require or often require assistance in maintaining a patent airway via airway adjuncts such as endotracheal tubes or laryngeal mask airways in which type(s) of sedation?,Minimal Sedation,Moderate Sedation,Deep Sedation,General Anesthesia,Minimal Sedation and Moderate Sedation,Moderate Sedation and Deep Sedation,Deep Sedation and General Anesthesia,,,G,
An oral surgeon who plans on providing moderate sedation to his patient during wisdom teeth extraction must also be prepared and properly trained to rescue that patient from deep sedation.,True,False,,,,,,,,A,
The video presented during lecture of the pediatrician performing multiple vaccinations on his pediatric patient was an example of which of the following:,Primary Care Visit,Hypnosis,Iatrosedation,Intramuscular Sedation,,,,,,C,
Which of the following are benefits of the intramuscular injection technique:,Rapid onset of action versus enteral route,Reliable absorption into the cardiovascular system versus enteral route,Ability to rapidly reverse the effect of the drug administered,Ability to titrate the drug administered,Rapid onset of action versus enteral route and reliable absorption into the cardiovascular system versus enteral route,Rapid onset of action versus enteral route and ability to rapidly reverse the effect of the drug administered,Rapid onset of action versus enteral route and ability to titrate the drug administered,Reliable absorption into the cardiovascular system versus enteral route and ability to rapidly reverse the effect of the drug administered,Reliable absorption into the cardiovascular system versus enteral route and ability to titrate the drug administered,E,
Which of the following routes of administration of sedation is the most effective method of ensuring predictable and adequate sedation in all patients?,Intramuscular,Intranasal,Inhalation,Intravenous,,,,,,D,
Please indicate the color of the Right Arm Limb Lead:,White,Black,Red,Green,,,,,,A,images/painanx-exam2-spring-2021/fig10.png
"The upward sloping line (indicated by the red circle on image) on the EtCO2 graph, represents which of the following:",Respiratory baseline,Expiratory Phase,Alveolar Plateau,Inspiratory Phase,,,,,,B,images/painanx-exam2-spring-2021/fig11.jpeg
"In terms of temperature monitoring during anesthesia, it is important because: Statement 1: fluctuations in core body temperature during the perioperative period can inhibit wound healing. Statement 2: heart rate and respiratory rates of patients decrease with increasing core body temperature.",Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,A,
"In reviewing the attached patient’s anesthesia record, please properly select the patient's blood pressure and heart rate at 7:05am.",BP: 118/70; HR: 78,BP: 110/70; HR: 77,BP: 130/75; HR: 88,BP: 140/80; HR: 92,,,,,,A,images/painanx-exam2-spring-2021/fig13.jpeg
"When recording vital signs intraoperatively during general anesthesia, the vital signs must be recorded every:",Continuously,5 minutes,10 minutes,15 minutes,30 minutes,,,,,B,
"You are a dentist anesthesiologist performing an anesthesia consult for in office intravenous moderate sedation on a 17 year-old female.  You are verbally reviewing her medical history and she denies having any medical problems or taking any medications.  She tells you that she remembers being told that she may have diabetes.  You decide to check her glucose with your glucometer.  It is 360 mg/dL.  What is the proper venue for sedation for this patient given her current information, assuming the case is urgent and cannot be delayed.",In Office Sedation with proper control of glucose and close monitoring,Hospital Setting with proper control of glucose and close monitoring,None of the answers,Either venue is appropriate,,,,,,B,
Who is recognized and credited with the discovery and introduction of anesthesia by both the ADA (American Dental Association) and the AMA (American Medical Association)?,Horace Wells,William Morton,John Collins,Bigelow,,,,,,A,
"A 4-year-old male patient with no significant medical history, presents to the operating room for fullmouth rehabilitation under general anesthesia.  A mask induction with inhalational gases is performed in order to establish intravenous access and induce general anesthesia for nasotracheal intubation. Chose the inhalational agent below that would have the fastest onset of sedation/anesthesia.",Desflurane,Sevoflurane,Isoflurane,Halothane,,,,,,A,
Statement 1: Nitrous Oxide is the most potent of the anesthetic gases. Statement 2: Nitrous Oxide produces analgesic effectiveness of 10-15 mg of morphine.,Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,B,
A 39-year-old female presents emergently to the operating room for surgical correction of a bowel obstruction.  She has not had anything to eat or drink for over 12 hours.  Which of the following balanced anesthetic techniques would you avoid?,"Induction with midazolam, propofol and fentanyl. Maintenance with sevoflurane and nitrous oxide.","Induction with midazolam, ketamine and fentanyl.  Maintenance with sevoflurane and oxygen.","Induction with midazolam, propofol and fentanyl.  Maintenance with desflurane and oxygen.","Induction with midazolam, ketamine and fentanyl.  Maintenance with isoflurane and oxygen.",,,,,,A,
"A 19-year-old male reports a history of anxiety at his dental appointments.  His previous dentist always delivered N2O/O2 during his appointments.  Patient reports it's the only way he can sit for his appointments.  He has no significant medical history.  You titrate N2O/O2 to a mixture of 40% N20 and 60% O2 inhalation during your dental treatment that lasts >1 hour.  Towards the end of treatment he states he urgently has to go to the bathroom.  You quickly take the nasal hood off his nose and allow him to run to the bathroom.  When he returns to the chair, he reports he has a headache and feels nauseous. What is the likely cause of these symptoms?",Stage II Anesthesia,Diffusion Hypoxia,Diffusion Hyperoxia,Diffusion Hypercarbia,,,,,,B,
Which of the following are effects of nitrous oxide-oxygen delivery to patients?,"Hearing, touch and pain sensations are all decreased","Heart rate, cardiac output and blood pressure remain stable",Vasodilation facilitates intravenous catheter placement,All of the answers are effects of nitrous oxide-oxygen delivery,,,,,,D,
Statement 1: Methionine synthase is inactivated by nitrous oxide. Statement 2: This inactivation causes polycythemia.,Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,A,
Select the most common sized cylinder for portable oxygen tanks.,B,H,G,E,,,,,,D,
A full tank of portable oxygen contains how many liters of oxygen and how much pressure?,660 L; 1900 psig,1600 L; 750 psig,690 L; 2500 psig,1800L; 650 psig,,,,,,A,
The pressure gauge for nitrous oxide cylinders is not an accurate measurement of the contents remaining in the cylinder.,True,False,,,,,,,,A,
"If you wanted to control the secretions of your patient but did not want to cause sedation, which anticholinergic agent would be best?",Atropine,Scopolamine,Glycopyrrolate,Atropine and Glycopyrrolate,All of the answers,,,,,C,
What is Verrill's Sign?,Drooping of the upper eyelid,Nystagmus gaze,Masseter trismus,Non-responsiveness to eyelash stimulation,,,,,,A,
Statement 1:  Diazepam has a longer duration of action than midazolam. Statement 2:  Oxazepam is an active metabolite of midazolam.,Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,A,
Which of the following is a histamine antagonist utilized in sedation?,Propofol,Midazolam,Promethazine,Ketamine,,,,,,C,
Which of the following is true regarding propofol?,It is an isopropylphenol,It is an antiemetic,It causes hypotension,It is partially cleared by the lungs,All of the answers,None of the answers,,,,E,
Which of the following opioid agonists may cause an increased heart rate?,Morphine,Fentanyl,Meperidine,Remifentanil,,,,,,C,
Which of the following is an example of a mixed agonist-antagonist opioid?,Meperidine,Alfentanil,Butorphanol,Sufentanil,,,,,,C,
Flumazenil is a pure opioid antagonist.,True,False,,,,,,,,B,
Which of the following drugs may be useful in an asthmatic due to its effects on the lungs?,Propofol,Ketamine,Midazolam,Morphine,,,,,,B,
"You are providing IV deep sedation to an otherwise healthy 35 year-old patient and had to give some doses of atropine due to bradycardia during the procedure.  Upon discontinuation of the sedation, your patient has dilated pupils, is agitated and confused and is hot to the touch.  Which of the following medications might you give to treat these symptoms?",Neostigmine,Physostigmine,Scopolamine,Glycopyrrolate,,,,,,B,
Statement 1: 50 ppm is the max exposure limit of nitrous oxide in the operating room setting. Statement 2: 25 ppm is the max exposure limit of nitrous oxide in the dental setting.,Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,D,
Which stage of anesthesia do we bypass quickly to avoid unwanted emergencies?,Stage I,Stage II,Stage III,Stage IV,,,,,,B,
Which laryngoscope blade is depicted in this image?,Macintosh,Miller,,,,,,,,B,images/painanx-exam2-spring-2021/fig38.jpeg
"All of the following drugs can be reversed with neostigmine, except:",Rocuronium,Vecuronium,Atracurium,Succinylcholine,All of the answers,,,,,D,
Which of the following inhalational agents can cause hepatic necrosis?,Sevoflurane,Isoflurane,Halothane,Desflurane,All of the answers,,,,,C,
You are an anesthesiologist providing general anesthesia for a 1-year-old female for myringotomy tubes.  The case is scheduled for 08:00.  During your pre-operative consultation with mother and child. Mother reports she breast fed the child at 05:00. What is the earliest time the case can begin?,07:00,08:00,09:00,10:00,,,,,,C,
Malignant hyperthermia is a hypermetabolic state due to increased concentrations of ______ in the sarcoplasm.,Sodium,Calcium,Potassium,Magnesium,,,,,,B,
Statement 1: Tachycardia is the most common first sign in the clinical manifestation of malignant hyperthermia. Statement 2: Fever is an early sign in malignant hyperthermia.,Statement 1 is true; Statement 2 is false,Statement 2 is false; Statement 1 is true,Both statement 1 and statement 2 are true,Both Statement 1 and Statement 2 are false,,,,,,D,
"All of the following are triggering agents in malignant hyperthermia, EXCEPT:",Succinylcholine,Rocuronium,Sevoflurane,Isoflurane,Desflurane,All of the answers are triggering agents,,,,B,
"Which of the following inhalational agents is most commonly used in children, when inducing anesthesia?",Desflurane,Sevoflurane,Isoflurane,Halothane,,,,,,B,
"A new medication has been created by a start-up pharmaceutical company.  This medication, which will have a currently accepted medical use, has a high potential for abuse, which may lead to severe psychological or physical dependence.  The drug should be classified in which of the following schedules?",C-I,C-II,C-III,C-IV,C-V,,,,,B,
Patients treated in the Surgery Clinic at TCDM are given follow-up appointments one week after their surgery.  They should be given a prescription for narcotic analgesics that will last throughout this period.,True,False,,,,,,,,B,
Tramadol (Ultram) is an alternative medication that can be used instead of opioids since it does not have addiction or abuse potential.,True,False,,,,,,,,B,
"Which of the following behaviors may be considered ""red flags"" which are indicative of drug-seeking behavior?",Deliberately coming in for an emergency appointment early in the day.,A patient insisting that another adult stay with the patient throughout their interactions with the dentist.,A patient telling the doctor that they will make it easy for the doctor by telling them which specific non-narcotic analgesic works best for them.,Reporting a history of allergy to all narcotic analgesics.,"None of these statements should be considered a ""red flag"" which would be indicative of drug-seeking behavior.",,,,,B,
Which of the following statements is TRUE?,A patient who has had a substance abuse problem should never be given a narcotic.,A patient undergoing opioid maintenance therapy will not need pain-killers because the medication that they are receiving for this therapy will provide adequate analgesia.,Acetaminophen is contraindicated with renal insufficiency.,Naloxone (Narcan) should never be prescribed to a patient who may be taking opioids because it will make the opioids ineffective.,None of these statements are TRUE.,,,,,E,
