title,PCOD II Quiz 1 (Spring 2018),pcod2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is considered a “phase” in a solid material:,Porosity in a composite,Translucency of dental porcelain,Solubility of glass ionomer,a and b only,all of the above,A,
Internal stain of a composite restoration due to heavy smoking can be due to:,abrasion,adsorption,absorption,galvanism,none of the above,C,
Which of the following restorative materials has a compressive strength approximately equal to tooth enamel?,amalgam,composite,glass ionomer,cast gold,a and b,A,
The elastic modulus is a measurement of:,the stress to force ratio of a material in the elastic range of the stress-strain curve,the slope of the stress-strain curve below the yield strength,the stiffness of the material,b and c,all of the above,D,
The amount of stress exerted on a restoration by an opposing tooth cusp depends on:,the occlusal contact area of the opposing cusp on the restoration,the occlusal contact area of the other teeth in the mouth,the strength of the masseter muscle,a and b,all of the above,E,
Tensile strength measurements are useful when comparing:,wear resistance of restorations against natural tooth structure,stiffness of restorative materials in function,bond strength of restorative materials to tooth structure,resistance to crushing forces during mastication of food,b and d,C,
The amount of elastic deformation of a three-unit bridge under an occlusal load:,depends on the modulus of elasticity of the material,depends on the ultimate flexural strength of the material,depends on the toughness of the of the material,depends on the elongation of the material,all of the above,A,
How much masseter muscular force can an average adult exert on their posterior teeth?,125 - 150 MPa,125 - 150 kgs.,125 - 150 PSI,125 - 150 lbs.,125 - 150 grams,D,
The clinical performance of a restorative material depends on:,its chemical and physical properties,its composition and microstructure,the manner in which it is placed by the dentist,a and b only,all of the above,E,
The restorative material whose thermal expansion is closest to tooth enamel is:,amalgam,composite,glass ionomer,unfilled resin (PMMA),cast gold,C,
"As compared to a ceramic crown, a gold crown has:",lower thermal conductivity,lower hardness,higher toughness,b and c,all of the above,D,
The most important part of the placement procedure to insure good contacts for a Class II amalgam restoration is to:,place the amalgam in the carrier with a lot of pressure,condense with high pressure,use amalgam within one minute after mixing,place the matrix band at least 1 mm higher than the adjacent marginal ridge,"condense the amalgam in the proximal box up to the pulpal floor, then loosen the band ¼turn before proceeding",E,
In order to remove excess mercury from an amalgam restoration you must:,mix in the amalgamator for the proper time and speed,condense with high pressure,overbuild by at least 1 mm,all of the above,none of the above,D,
"When a material is being considered for the restoration of a large occlusal area of a second molar, a major consideration should be its:",tensile strength,shear strength,compressive strength,all of the above,none of the above,C,
The tensile strength of the bond between a composite and enamel is:,equal to the tensile strength of the enamel,around 3 times the tensile strength of the enamel,around 1/3 of the tensile strength of the enamel,around  1/10 of the tensile strength of the enamel,none of the above,C,
